Plot Title: 10364437,,,,,,,,,
#,"Date Time, GMT+06:00","Temp, °C (LGR S/N: 10364437, SEN S/N: 10344946, LBL: Temperature)","RH, % (LGR S/N: 10364437, SEN S/N: 10344946, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364437, SEN S/N: 10346459, LBL: Water Content)","PAR, uE (LGR S/N: 10364437, SEN S/N: 10349860, LBL: Photosynthetic Active Radiatio)","Rain, in (LGR S/N: 10364437, SEN S/N: 10364398, LBL: Rain)","Wind Direction, ø (LGR S/N: 10364437, SEN S/N: 10566447, LBL: Wind Direction)","Wind Speed, mph (LGR S/N: 10364437, SEN S/N: 10587098, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364437, SEN S/N: 10587098, LBL: Wind Gust)"
1,9/12/2015 14:23,19.96,83,0.3872,466.2,,318.7,0,0
2,9/12/2015 14:33,20.388,83.3,0.3877,578.7,0,318.7,0,2.26
3,9/12/2015 14:43,19.984,83.1,0.3877,663.7,0,324.3,0,0.56
4,9/12/2015 14:53,20.079,83.8,0.3877,613.7,0,325.7,0,0
5,9/12/2015 15:03,20.507,83.4,0.3877,846.2,0,325.7,0,0
6,9/12/2015 15:13,20.484,84.3,0.3877,543.7,0,325.7,0,1.12
7,9/12/2015 15:23,20.126,85.4,0.3877,371.2,0,325.7,0,0.56
8,9/12/2015 15:33,19.841,85.3,0.3877,256.2,0,325.7,0,0
9,9/12/2015 15:43,19.175,86.6,0.3872,141.2,0,325.7,0,0
10,9/12/2015 15:53,18.985,86.9,0.3872,158.7,0,325.7,0,0
11,9/12/2015 16:03,18.985,88.8,0.3872,276.2,0,325.7,0,0
12,9/12/2015 16:13,18.961,88,0.3872,318.7,0,325.7,0,0
13,9/12/2015 16:23,19.294,88.5,0.3872,246.2,0,325.7,0,0
14,9/12/2015 16:33,19.27,86.8,0.3865,146.2,0,325.7,0,0
15,9/12/2015 16:43,18.985,88.7,0.3872,96.2,0,325.7,0,0
16,9/12/2015 16:53,18.723,91.4,0.3865,51.2,0,325.7,0,0
17,9/12/2015 17:03,18.224,94.4,0.3865,31.2,0,325.7,0,0
18,9/12/2015 17:13,17.867,93.5,0.3859,33.7,0,325.7,0,0
19,9/12/2015 17:23,17.819,95.1,0.3859,31.2,0,325.7,0,0
20,9/12/2015 17:33,17.796,95.6,0.3859,26.2,0,325.7,0,0
21,9/12/2015 17:43,17.629,96.5,0.3859,16.2,0,325.7,0,0
22,9/12/2015 17:53,17.32,97.2,0.3854,8.7,0,336.9,0,0
23,9/12/2015 18:03,17.13,98.3,0.3859,3.7,0,0,0,0
24,9/12/2015 18:13,16.939,98.4,0.3859,1.2,0,0,0,0
25,9/12/2015 18:23,16.82,98.4,0.3859,1.2,0.008,0,0,0
26,9/12/2015 18:33,16.796,98.9,0.3865,1.2,0.016,0,0,0
27,9/12/2015 18:43,16.677,99.3,0.3865,1.2,0.008,0,0,0
28,9/12/2015 18:53,16.582,99.5,0.3902,1.2,0.024,0,0,0
29,9/12/2015 19:03,16.534,99.7,0.3902,1.2,0.008,0,0,0
30,9/12/2015 19:13,16.296,99.9,0.3909,1.2,0,335.5,0,0
31,9/12/2015 19:23,16.296,99.7,0.3902,1.2,0,331.3,0,0
32,9/12/2015 19:33,16.177,100,0.3909,1.2,0.008,331.3,0,0
33,9/12/2015 19:43,16.177,100,0.3927,1.2,0,331.3,0,0
34,9/12/2015 19:53,16.106,100,0.3927,1.2,0,331.3,0,0
35,9/12/2015 20:03,16.106,100,0.3934,1.2,0,331.3,0,0
36,9/12/2015 20:13,16.034,100,0.3952,1.2,0,331.3,0,0
37,9/12/2015 20:23,15.963,100,0.3946,1.2,0,331.3,0,0
38,9/12/2015 20:33,15.891,100,0.3946,1.2,0,331.3,0,0
39,9/12/2015 20:43,15.843,99.6,0.3946,1.2,0,329.9,0,0
40,9/12/2015 20:53,15.843,99.6,0.3939,1.2,0,329.9,0,0
41,9/12/2015 21:03,15.772,99.8,0.3939,1.2,0,329.9,0,0
42,9/12/2015 21:13,15.748,100,0.3939,1.2,0,329.9,0,0.56
43,9/12/2015 21:23,15.652,99.8,0.3934,1.2,0,329.9,0,0
44,9/12/2015 21:33,15.605,99.9,0.3927,1.2,0,344,0,0.56
