"Plot Title: Haa Damthang"
"#","Date Time, GMT+06:00","PAR, uE (LGR S/N: 10364436, SEN S/N: 10340315, LBL: Photosynthesis)","Temp, °F (LGR S/N: 10364436, SEN S/N: 10344948, LBL: Temperature)","RH, % (LGR S/N: 10364436, SEN S/N: 10344948, LBL: Relative Humdity )","Water Content, m³/m³ (LGR S/N: 10364436, SEN S/N: 10346471, LBL: Rainfall)","Rain, in (LGR S/N: 10364436, SEN S/N: 10364405, LBL: Rainfall)"
1,08/31/15 10:09:53 AM,668.7,61.804,82.700,0.2919,
2,08/31/15 10:19:53 AM,686.2,61.590,81.600,0.2919,0.008
3,08/31/15 10:29:53 AM,623.7,62.233,83.600,0.2914,0.000
4,08/31/15 10:39:53 AM,536.2,62.062,84.100,0.2914,0.000
5,08/31/15 10:49:53 AM,598.7,60.948,85.700,0.2914,0.000
6,08/31/15 10:59:53 AM,681.2,60.948,85.000,0.2914,0.000
7,08/31/15 11:09:53 AM,788.7,60.818,85.900,0.2919,0.000
8,08/31/15 11:19:53 AM,1036.2,61.720,83.300,0.2914,0.000
9,08/31/15 11:29:53 AM,853.7,62.577,83.300,0.2911,0.000
10,08/31/15 11:39:53 AM,611.2,61.419,85.100,0.2914,0.000
11,08/31/15 11:49:53 AM,463.7,61.419,86.200,0.2911,0.000
12,08/31/15 11:59:53 AM,433.7,60.733,87.100,0.2922,0.000
13,08/31/15 12:09:53 PM,398.7,59.315,91.500,0.2946,0.000
14,08/31/15 12:19:53 PM,331.2,59.142,92.800,0.2959,0.008
15,08/31/15 12:29:53 PM,353.7,58.626,93.300,0.2963,0.000
16,08/31/15 12:39:53 PM,378.7,56.944,95.400,0.3066,0.039
17,08/31/15 12:49:53 PM,331.2,56.599,95.800,0.3290,0.063
18,08/31/15 12:59:53 PM,268.7,56.642,95.600,0.3304,0.031
19,08/31/15 01:09:53 PM,266.2,56.642,95.200,0.3357,0.031
20,08/31/15 01:19:53 PM,261.2,56.772,95.000,0.3393,0.039
21,08/31/15 01:29:53 PM,256.2,56.988,94.700,0.3412,0.031
22,08/31/15 01:39:53 PM,241.2,57.117,95.400,0.3441,0.039
23,08/31/15 01:49:53 PM,236.2,57.160,95.500,0.3451,0.031
24,08/31/15 01:59:53 PM,323.7,56.469,96.800,0.3521,0.063
25,08/31/15 02:09:53 PM,443.7,56.208,97.800,0.3600,0.071
26,08/31/15 02:19:53 PM,486.2,57.636,97.200,0.3531,0.008
27,08/31/15 02:29:53 PM,426.2,57.765,94.200,0.3490,0.008
28,08/31/15 02:39:53 PM,348.7,57.936,93.900,0.3457,0.000
29,08/31/15 02:49:53 PM,448.7,58.023,93.700,0.3457,0.008
30,08/31/15 02:59:53 PM,428.7,58.239,93.900,0.3432,0.000
31,08/31/15 03:09:53 PM,938.7,59.830,92.600,0.3451,0.008
32,08/31/15 03:19:53 PM,561.2,59.916,91.200,0.3422,0.008
33,08/31/15 03:29:53 PM,361.2,59.745,90.200,0.3399,0.000
34,08/31/15 03:39:53 PM,321.2,59.272,90.200,0.3380,0.000
35,08/31/15 03:49:53 PM,263.7,58.755,90.100,0.3357,0.000
36,08/31/15 03:59:53 PM,176.2,58.798,90.300,0.3335,0.000
37,08/31/15 04:09:53 PM,148.7,58.498,90.900,0.3308,0.000
38,08/31/15 04:19:53 PM,158.7,57.679,92.900,0.3304,0.000
39,08/31/15 04:29:53 PM,133.7,57.247,93.800,0.3312,0.008
40,08/31/15 04:39:53 PM,218.7,57.160,94.600,0.3335,0.008
41,08/31/15 04:49:53 PM,231.2,57.333,94.800,0.3317,0.000
42,08/31/15 04:59:53 PM,151.2,57.333,94.500,0.3304,0.000
43,08/31/15 05:09:53 PM,93.7,57.247,94.500,0.3286,0.000
44,08/31/15 05:19:53 PM,81.2,57.204,93.800,0.3269,0.000
45,08/31/15 05:29:53 PM,106.2,57.290,93.500,0.3249,0.000
46,08/31/15 05:39:53 PM,88.7,57.333,93.400,0.3223,0.000
47,08/31/15 05:49:53 PM,46.2,57.031,94.300,0.3204,0.000
48,08/31/15 05:59:53 PM,26.2,56.858,94.500,0.3187,0.000
49,08/31/15 06:09:53 PM,13.7,56.556,96.000,0.3171,0.000
50,08/31/15 06:19:53 PM,6.2,56.512,95.800,0.3163,0.000
51,08/31/15 06:29:53 PM,1.2,56.556,94.500,0.3151,0.000
52,08/31/15 06:39:53 PM,1.2,56.295,96.000,0.3148,0.000
53,08/31/15 06:49:53 PM,1.2,55.733,98.000,0.3140,0.000
54,08/31/15 06:59:53 PM,1.2,55.472,98.600,0.3136,0.000
55,08/31/15 07:09:53 PM,1.2,55.515,98.900,0.3133,0.000
56,08/31/15 07:19:53 PM,1.2,55.647,98.700,0.3125,0.000
57,08/31/15 07:29:53 PM,1.2,55.863,98.300,0.3121,0.000
58,08/31/15 07:39:53 PM,1.2,55.863,98.200,0.3118,0.000
59,08/31/15 07:49:53 PM,1.2,55.906,98.100,0.3113,0.000
60,08/31/15 07:59:53 PM,1.2,55.733,98.300,0.3106,0.000
61,08/31/15 08:09:53 PM,1.2,55.602,98.800,0.3106,0.000
62,08/31/15 08:19:53 PM,1.2,55.515,99.400,0.3102,0.000
63,08/31/15 08:29:53 PM,1.2,55.429,99.700,0.3098,0.000
64,08/31/15 08:39:53 PM,1.2,55.558,99.800,0.3095,0.000
65,08/31/15 08:49:53 PM,1.2,55.429,99.900,0.3095,0.000
66,08/31/15 08:59:53 PM,1.2,55.386,100.000,0.3095,0.000
67,08/31/15 09:09:53 PM,1.2,55.299,100.000,0.3092,0.000
68,08/31/15 09:19:53 PM,1.2,55.213,100.000,0.3092,0.000
69,08/31/15 09:29:53 PM,1.2,55.342,100.000,0.3084,0.000
70,08/31/15 09:39:53 PM,1.2,55.125,100.000,0.3080,0.000
71,08/31/15 09:49:53 PM,1.2,55.213,100.000,0.3077,0.000
72,08/31/15 09:59:53 PM,1.2,55.125,100.000,0.3077,0.000
73,08/31/15 10:09:53 PM,1.2,55.038,100.000,0.3077,0.000
74,08/31/15 10:19:53 PM,1.2,54.865,100.000,0.3072,0.000
75,08/31/15 10:29:53 PM,1.2,54.820,100.000,0.3069,0.008
76,08/31/15 10:39:53 PM,1.2,54.734,100.000,0.3069,0.000
77,08/31/15 10:49:53 PM,1.2,54.865,100.000,0.3066,0.000
78,08/31/15 10:59:53 PM,1.2,54.952,100.000,0.3062,0.000
79,08/31/15 11:09:53 PM,1.2,54.820,100.000,0.3062,0.000
80,08/31/15 11:19:53 PM,1.2,54.777,100.000,0.3058,0.000
81,08/31/15 11:29:53 PM,1.2,54.648,100.000,0.3054,0.000
82,08/31/15 11:39:53 PM,1.2,54.604,100.000,0.3054,0.000
83,08/31/15 11:49:53 PM,1.2,54.604,100.000,0.3051,0.000
84,08/31/15 11:59:53 PM,1.2,54.516,100.000,0.3051,0.000
85,09/01/15 12:09:53 AM,1.2,54.387,100.000,0.3048,0.000
86,09/01/15 12:19:53 AM,1.2,54.343,100.000,0.3048,0.000
87,09/01/15 12:29:53 AM,1.2,54.343,100.000,0.3048,0.000
88,09/01/15 12:39:53 AM,1.2,54.387,100.000,0.3048,0.000
89,09/01/15 12:49:53 AM,1.2,54.343,100.000,0.3048,0.000
90,09/01/15 12:59:53 AM,1.2,54.387,100.000,0.3051,0.000
91,09/01/15 01:09:53 AM,1.2,54.516,100.000,0.3051,0.000
92,09/01/15 01:19:53 AM,1.2,54.473,100.000,0.3051,0.000
93,09/01/15 01:29:53 AM,1.2,54.300,100.000,0.3066,0.008
94,09/01/15 01:39:53 AM,1.2,54.212,100.000,0.3062,0.000
95,09/01/15 01:49:53 AM,1.2,54.037,100.000,0.3054,0.000
96,09/01/15 01:59:53 AM,1.2,54.037,100.000,0.3051,0.000
97,09/01/15 02:09:53 AM,1.2,54.037,100.000,0.3058,0.000
98,09/01/15 02:19:53 AM,1.2,54.082,100.000,0.3069,0.008
99,09/01/15 02:29:53 AM,1.2,53.951,100.000,0.3069,0.008
100,09/01/15 02:39:53 AM,1.2,53.994,100.000,0.3102,0.000
101,09/01/15 02:49:53 AM,1.2,53.951,100.000,0.3144,0.016
102,09/01/15 02:59:53 AM,1.2,53.951,100.000,0.3175,0.016
103,09/01/15 03:09:53 AM,1.2,53.908,100.000,0.3192,0.008
104,09/01/15 03:19:53 AM,1.2,53.865,100.000,0.3178,0.008
105,09/01/15 03:29:53 AM,1.2,53.994,100.000,0.3183,0.008
106,09/01/15 03:39:53 AM,1.2,53.951,100.000,0.3216,0.016
107,09/01/15 03:49:53 AM,1.2,53.908,100.000,0.3211,0.008
108,09/01/15 03:59:53 AM,1.2,53.908,100.000,0.3216,0.008
109,09/01/15 04:09:53 AM,1.2,53.820,100.000,0.3204,0.008
110,09/01/15 04:19:53 AM,1.2,53.776,100.000,0.3178,0.000
111,09/01/15 04:29:53 AM,1.2,53.865,100.000,0.3199,0.008
112,09/01/15 04:39:53 AM,1.2,53.820,100.000,0.3277,0.016
113,09/01/15 04:49:53 AM,1.2,53.733,100.000,0.3249,0.008
114,09/01/15 04:59:53 AM,1.2,53.733,100.000,0.3240,0.000
115,09/01/15 05:09:53 AM,1.2,53.865,100.000,0.3228,0.008
116,09/01/15 05:19:53 AM,1.2,53.776,100.000,0.3216,0.000
117,09/01/15 05:29:53 AM,1.2,53.820,100.000,0.3204,0.000
118,09/01/15 05:39:53 AM,13.7,53.733,100.000,0.3192,0.000
119,09/01/15 05:49:53 AM,66.2,53.994,100.000,0.3178,0.000
120,09/01/15 05:59:53 AM,83.7,54.212,100.000,0.3168,0.000
121,09/01/15 06:09:53 AM,101.2,54.343,100.000,0.3156,0.000
122,09/01/15 06:19:53 AM,68.7,54.343,100.000,0.3148,0.000
123,09/01/15 06:29:53 AM,81.2,54.255,100.000,0.3140,0.000
124,09/01/15 06:39:53 AM,76.2,54.516,100.000,0.3133,0.008
125,09/01/15 06:49:53 AM,73.7,54.516,100.000,0.3128,0.000
126,09/01/15 06:59:53 AM,76.2,54.516,100.000,0.3151,0.000
127,09/01/15 07:09:53 AM,126.2,54.516,100.000,0.3156,0.008
128,09/01/15 07:19:53 AM,181.2,54.604,100.000,0.3156,0.008
129,09/01/15 07:29:53 AM,221.2,55.168,100.000,0.3148,0.000
130,09/01/15 07:39:53 AM,268.7,55.386,100.000,0.3133,0.000
131,09/01/15 07:49:53 AM,293.7,56.079,100.000,0.3121,0.000
132,09/01/15 07:59:53 AM,316.2,55.992,99.200,0.3118,0.000
133,09/01/15 08:09:53 AM,406.2,56.165,98.700,0.3110,0.000
134,09/01/15 08:19:53 AM,556.2,56.295,98.700,0.3106,0.000
135,09/01/15 08:29:53 AM,868.7,58.626,95.100,0.3106,0.000
136,09/01/15 08:39:53 AM,1063.7,59.959,93.800,0.3102,0.000
137,09/01/15 08:49:53 AM,1271.2,61.934,91.800,0.3098,0.000
138,09/01/15 08:59:53 AM,846.2,59.229,94.300,0.3092,0.000
139,09/01/15 09:09:53 AM,898.7,60.604,92.200,0.3092,0.000
140,09/01/15 09:19:53 AM,1021.2,60.433,91.600,0.3084,0.000
141,09/01/15 09:29:53 AM,1941.2,61.248,87.900,0.3087,0.000
142,09/01/15 09:39:53 AM,1771.2,62.276,86.000,0.3084,0.000
143,09/01/15 09:49:53 AM,1221.2,64.418,80.900,0.3077,0.000
144,09/01/15 09:59:53 AM,1241.2,62.319,83.900,0.3069,0.000
145,09/01/15 10:09:53 AM,866.2,62.319,85.300,0.3066,0.000
146,09/01/15 10:19:53 AM,788.7,61.804,83.600,0.3058,0.000
147,09/01/15 10:29:53 AM,676.2,62.661,83.300,0.3054,0.000
148,09/01/15 10:39:53 AM,603.7,62.191,81.300,0.3051,0.000
149,09/01/15 10:49:53 AM,531.2,62.148,81.400,0.3051,0.000
150,09/01/15 10:59:53 AM,478.7,61.290,85.100,0.3048,0.000
151,09/01/15 11:09:53 AM,468.7,61.119,85.000,0.3048,0.000
152,09/01/15 11:19:53 AM,531.2,59.358,88.000,0.3048,0.000
153,09/01/15 11:29:53 AM,631.2,58.755,91.300,0.3062,0.000
154,09/01/15 11:39:53 AM,983.7,59.014,88.600,0.3058,0.000
155,09/01/15 11:49:53 AM,926.2,61.032,84.600,0.3054,0.000
156,09/01/15 11:59:53 AM,816.2,61.506,82.000,0.3051,0.000
157,09/01/15 12:09:53 PM,873.7,62.276,78.900,0.3048,0.000
158,09/01/15 12:19:53 PM,963.7,62.962,77.700,0.3040,0.000
159,09/01/15 12:29:53 PM,768.7,64.117,77.400,0.3040,0.000
160,09/01/15 12:39:53 PM,813.7,63.133,77.800,0.3037,0.000
161,09/01/15 12:49:53 PM,913.7,62.447,82.200,0.3033,0.000
162,09/01/15 12:59:53 PM,623.7,62.661,81.900,0.3029,0.000
163,09/01/15 01:09:53 PM,698.7,62.834,81.700,0.3026,0.000
164,09/01/15 01:19:53 PM,911.2,63.176,80.100,0.3026,0.000
165,09/01/15 01:29:53 PM,953.7,63.262,84.600,0.3026,0.000
166,09/01/15 01:39:53 PM,1183.7,62.875,81.600,0.3022,0.000
167,09/01/15 01:49:53 PM,1088.7,64.161,80.700,0.3019,0.000
168,09/01/15 01:59:53 PM,921.2,64.589,79.600,0.3019,0.000
169,09/01/15 02:09:53 PM,693.7,64.161,79.600,0.3011,0.000
170,09/01/15 02:19:53 PM,543.7,63.090,81.100,0.3011,0.000
171,09/01/15 02:29:53 PM,623.7,62.962,80.700,0.3005,0.000
172,09/01/15 02:39:53 PM,693.7,63.990,80.200,0.3001,0.000
173,09/01/15 02:49:53 PM,773.7,64.204,78.900,0.3008,0.000
174,09/01/15 02:59:53 PM,616.2,64.418,77.800,0.3005,0.000
175,09/01/15 03:09:53 PM,403.7,63.689,79.800,0.3005,0.000
176,09/01/15 03:19:53 PM,408.7,63.133,80.500,0.3001,0.000
177,09/01/15 03:29:53 PM,393.7,63.390,79.800,0.3001,0.000
178,09/01/15 03:39:53 PM,351.2,63.048,82.100,0.3001,0.000
179,09/01/15 03:49:53 PM,398.7,63.176,82.100,0.2997,0.000
180,09/01/15 03:59:53 PM,658.7,66.173,77.700,0.3005,0.000
181,09/01/15 04:09:53 PM,633.7,63.648,79.600,0.2997,0.000
182,09/01/15 04:19:53 PM,356.2,62.319,81.200,0.2994,0.000
183,09/01/15 04:29:53 PM,286.2,61.848,82.000,0.2990,0.000
184,09/01/15 04:39:53 PM,138.7,60.904,83.900,0.2990,0.000
185,09/01/15 04:49:53 PM,158.7,60.303,84.700,0.2987,0.000
186,09/01/15 04:59:53 PM,176.2,59.401,86.100,0.2987,0.000
187,09/01/15 05:09:53 PM,158.7,58.755,87.900,0.2987,0.000
188,09/01/15 05:19:53 PM,103.7,58.669,87.700,0.2987,0.000
189,09/01/15 05:29:53 PM,66.2,58.411,87.700,0.2987,0.000
190,09/01/15 05:39:53 PM,53.7,57.936,89.700,0.2987,0.000
191,09/01/15 05:49:53 PM,28.7,58.109,88.900,0.2987,0.000
192,09/01/15 05:59:53 PM,13.7,57.807,89.600,0.2984,0.000
193,09/01/15 06:09:53 PM,8.7,57.722,89.600,0.2987,0.000
194,09/01/15 06:19:53 PM,3.7,57.679,89.900,0.2984,0.000
195,09/01/15 06:29:53 PM,1.2,57.679,90.000,0.2984,0.000
196,09/01/15 06:39:53 PM,1.2,57.420,91.000,0.2990,0.000
197,09/01/15 06:49:53 PM,1.2,56.599,93.200,0.3001,0.000
198,09/01/15 06:59:53 PM,1.2,56.035,94.800,0.3095,0.031
199,09/01/15 07:09:53 PM,1.2,55.776,96.000,0.3106,0.008
200,09/01/15 07:19:53 PM,1.2,55.733,97.100,0.3087,0.000
