"Plot Title: 10364438"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364438, SEN S/N: 10344952, LBL: Temperature)","RH, % (LGR S/N: 10364438, SEN S/N: 10344952, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364438, SEN S/N: 10346477)","Wind Speed, mph (LGR S/N: 10364438, SEN S/N: 10349682, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364438, SEN S/N: 10349682, LBL: Wind Gust)","Wind Direction, ø (LGR S/N: 10364438, SEN S/N: 10349731, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364438, SEN S/N: 10349863, LBL: Photosynthesis Active Radiatio)","Rain, in (LGR S/N: 10364438, SEN S/N: 10364396, LBL: Rianfall)","Batt, V (LGR S/N: 10364438)"
1,07/15/15 10:15:30 AM,71.577,91.400,0.1724,1.12,5.08,275.2,806.2,,4.164
2,07/15/15 10:25:30 AM,71.317,94.000,0.1709,1.12,4.50,271.0,703.7,0.000,4.164
3,07/15/15 10:35:30 AM,71.190,93.300,0.1714,0.00,3.94,230.2,491.2,0.000,4.164
4,07/15/15 10:45:30 AM,70.846,91.600,0.1718,0.00,0.56,249.9,293.7,0.000,4.170
5,07/15/15 10:55:30 AM,68.871,94.200,0.1689,0.00,1.70,292.0,188.7,0.008,4.170
6,07/15/15 11:05:30 AM,68.956,95.600,0.2109,0.00,0.00,285.0,211.2,0.031,4.170
7,07/15/15 11:15:30 AM,68.527,96.800,0.2203,0.00,1.70,268.1,276.2,0.031,4.170
8,07/15/15 11:25:30 AM,69.471,97.500,0.2232,0.00,0.00,266.7,376.2,0.016,4.170
9,07/15/15 11:35:30 AM,69.942,97.000,0.2169,0.00,0.56,263.9,483.7,0.000,4.170
10,07/15/15 11:45:30 AM,70.416,96.500,0.2104,0.00,1.70,8.4,566.2,0.000,4.170
11,07/15/15 11:55:30 AM,70.930,96.300,0.2020,0.00,0.00,14.0,628.7,0.000,4.170
12,07/15/15 12:05:30 PM,71.231,94.300,0.1895,0.00,0.00,2.8,673.7,0.000,4.188
13,07/15/15 12:15:30 PM,71.103,92.400,0.1779,0.00,2.82,307.5,691.2,0.000,4.170
14,07/15/15 12:25:30 PM,71.791,91.300,0.1746,0.56,3.38,269.6,871.2,0.000,4.170
15,07/15/15 12:35:30 PM,71.490,90.700,0.1765,0.00,3.38,279.4,828.7,0.000,4.170
16,07/15/15 12:45:30 PM,72.523,90.700,0.1775,0.00,2.26,273.8,848.7,0.000,4.170
17,07/15/15 12:55:30 PM,71.964,89.200,0.1775,0.56,4.50,266.7,1003.7,0.000,4.170
18,07/15/15 01:05:30 PM,74.206,89.500,0.1775,0.00,2.26,317.3,1216.2,0.000,4.170
19,07/15/15 01:15:30 PM,73.904,87.600,0.1775,0.56,3.38,334.1,1143.7,0.000,4.170
20,07/15/15 01:25:30 PM,73.645,88.200,0.1775,0.00,2.82,23.9,1073.7,0.000,4.164
21,07/15/15 01:35:30 PM,74.381,87.900,0.1769,0.00,2.26,16.8,896.2,0.000,4.170
22,07/15/15 01:45:30 PM,73.731,86.500,0.1769,0.56,2.82,325.7,858.7,0.000,4.164
23,07/15/15 01:55:30 PM,72.955,86.400,0.1769,0.56,3.94,331.3,646.2,0.000,4.170
24,07/15/15 02:05:30 PM,72.136,86.500,0.1775,0.00,3.38,335.5,416.2,0.000,4.170
25,07/15/15 02:15:30 PM,72.007,86.800,0.1779,0.00,1.70,349.6,356.2,0.000,4.170
26,07/15/15 02:25:30 PM,72.394,87.100,0.1775,0.00,2.26,300.4,448.7,0.000,4.170
27,07/15/15 02:35:30 PM,72.007,88.400,0.1775,0.00,1.12,308.9,446.2,0.000,4.170
28,07/15/15 02:45:30 PM,71.834,86.800,0.1762,0.00,1.12,308.9,471.2,0.000,4.170
29,07/15/15 02:55:30 PM,70.543,88.900,0.1765,0.00,1.12,2.8,441.2,0.000,4.170
30,07/15/15 03:05:30 PM,70.372,91.500,0.1769,0.56,2.26,73.0,528.7,0.000,4.170
31,07/15/15 03:15:30 PM,70.673,91.300,0.1779,0.00,1.12,53.3,518.7,0.000,4.170
32,07/15/15 03:25:30 PM,71.274,90.700,0.1775,0.00,1.70,49.1,551.2,0.000,4.170
33,07/15/15 03:35:30 PM,71.447,90.100,0.1769,0.00,1.12,59.0,516.2,0.000,4.170
34,07/15/15 03:45:30 PM,71.964,90.100,0.1769,0.00,1.12,44.9,481.2,0.000,4.170
35,07/15/15 03:55:30 PM,71.404,89.800,0.1775,0.00,1.12,49.1,501.2,0.000,4.170
36,07/15/15 04:05:30 PM,71.490,90.700,0.1769,0.00,0.00,60.4,463.7,0.000,4.170
37,07/15/15 04:15:30 PM,71.661,91.200,0.1775,0.00,0.00,47.7,403.7,0.000,4.170
38,07/15/15 04:25:30 PM,71.317,90.800,0.1775,0.00,0.56,35.1,373.7,0.000,4.170
39,07/15/15 04:35:30 PM,71.146,91.200,0.1775,0.00,1.70,60.4,326.2,0.000,4.170
40,07/15/15 04:45:30 PM,71.361,89.900,0.1775,0.00,1.12,67.4,351.2,0.000,4.170
41,07/15/15 04:55:30 PM,72.093,89.000,0.1775,0.00,0.00,67.4,323.7,0.000,4.170
42,07/15/15 05:05:30 PM,71.877,88.100,0.1775,0.00,0.00,67.4,281.2,0.000,4.170
43,07/15/15 05:15:30 PM,71.404,89.800,0.1775,0.00,0.00,66.0,208.7,0.008,4.164
44,07/15/15 05:25:30 PM,70.630,91.300,0.1779,0.00,1.12,57.6,196.2,0.000,4.170
45,07/15/15 05:35:30 PM,70.630,90.700,0.1775,0.00,1.12,59.0,176.2,0.000,4.170
46,07/15/15 05:45:30 PM,70.416,91.600,0.1775,0.00,0.00,57.6,131.2,0.000,4.170
47,07/15/15 05:55:30 PM,69.942,91.800,0.1775,0.00,0.00,57.6,93.7,0.000,4.170
48,07/15/15 06:05:30 PM,69.427,92.900,0.1775,0.00,0.00,57.6,56.2,0.000,4.170
49,07/15/15 06:15:30 PM,68.999,93.600,0.1779,0.00,0.00,57.6,31.2,0.000,4.170
50,07/15/15 06:25:30 PM,69.170,93.700,0.1779,0.00,0.00,247.1,18.7,0.000,4.170
51,07/15/15 06:35:30 PM,69.213,93.000,0.1779,0.00,0.00,193.7,8.7,0.000,4.170
52,07/15/15 06:45:30 PM,68.828,92.500,0.1779,0.00,0.00,193.7,3.7,0.000,4.170
53,07/15/15 06:55:30 PM,68.742,92.800,0.1775,0.00,0.00,193.7,1.2,0.000,4.170
54,07/15/15 07:05:30 PM,68.871,92.500,0.1775,0.00,0.00,193.7,1.2,0.000,4.170
55,07/15/15 07:15:30 PM,68.742,92.900,0.1775,0.00,0.00,193.7,1.2,0.000,4.170
56,07/15/15 07:25:30 PM,68.313,94.000,0.1779,0.00,0.00,193.7,1.2,0.000,4.170
57,07/15/15 07:35:30 PM,68.056,94.800,0.1779,0.00,0.00,193.7,1.2,0.000,4.170
58,07/15/15 07:45:30 PM,67.971,94.800,0.1779,0.00,0.00,193.7,1.2,0.000,4.170
59,07/15/15 07:55:30 PM,68.142,94.600,0.1779,0.00,0.00,193.7,1.2,0.000,4.170
60,07/15/15 08:05:30 PM,68.013,94.300,0.1779,0.00,0.00,193.7,1.2,0.000,4.170
61,07/15/15 08:15:30 PM,67.928,94.500,0.1775,0.00,0.00,193.7,1.2,0.000,4.200
62,07/15/15 08:25:30 PM,67.798,95.000,0.1775,0.00,0.00,193.7,1.2,0.000,4.182
63,07/15/15 08:35:30 PM,67.627,96.000,0.1775,0.00,0.00,193.7,1.2,0.000,4.170
64,07/15/15 08:45:30 PM,67.500,96.800,0.1775,0.00,0.00,193.7,1.2,0.000,4.170
65,07/15/15 08:55:30 PM,67.158,97.200,0.1775,0.00,0.00,193.7,1.2,0.000,4.170
66,07/15/15 09:05:30 PM,66.943,97.300,0.1775,0.00,0.00,193.7,1.2,0.000,4.170
67,07/15/15 09:15:30 PM,67.372,97.300,0.1775,0.00,0.00,193.7,1.2,0.000,4.170
68,07/15/15 09:25:30 PM,67.456,97.700,0.1775,0.00,0.56,193.7,1.2,0.000,4.170
69,07/15/15 09:35:30 PM,67.199,97.900,0.1775,0.00,0.00,193.7,1.2,0.000,4.170
70,07/15/15 09:45:30 PM,67.500,97.800,0.1775,0.00,0.00,193.7,1.2,0.000,4.170
71,07/15/15 09:55:30 PM,67.543,98.000,0.1775,0.00,0.00,193.7,1.2,0.000,4.170
72,07/15/15 10:05:30 PM,67.456,98.000,0.1775,0.00,0.00,193.7,1.2,0.000,4.170
