"Plot Title: 10364437"
"#","Date Time, GMT+06:00","Temp, °C (LGR S/N: 10364437, SEN S/N: 10344946, LBL: Temperature)","RH, % (LGR S/N: 10364437, SEN S/N: 10344946, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364437, SEN S/N: 10346459, LBL: Water Content)","PAR, uE (LGR S/N: 10364437, SEN S/N: 10349860, LBL: Photosynthetic Active Radiatio)","Rain, in (LGR S/N: 10364437, SEN S/N: 10364398, LBL: Rain)","Wind Direction, ø (LGR S/N: 10364437, SEN S/N: 10566447, LBL: Wind Direction)","Wind Speed, mph (LGR S/N: 10364437, SEN S/N: 10587098, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364437, SEN S/N: 10587098, LBL: Wind Gust)"
1,02/16/16 04:46:31 PM,11.200,63.700,0.3481,2553.7,,210.6,1.70,11.83
2,02/16/16 04:56:31 PM,11.005,64.700,0.3476,41.2,0.000,164.3,1.70,7.31
3,02/16/16 05:06:31 PM,10.858,66.100,0.3476,26.2,0.000,224.6,1.12,7.90
4,02/16/16 05:16:31 PM,10.663,67.500,0.3476,13.7,0.000,308.9,0.00,2.82
5,02/16/16 05:26:31 PM,10.565,68.400,0.3476,8.7,0.000,255.5,0.00,1.70
6,02/16/16 05:36:31 PM,10.369,68.400,0.3476,3.7,0.000,308.9,0.00,1.70
7,02/16/16 05:46:31 PM,10.271,69.700,0.3476,1.2,0.000,313.1,0.00,2.26
8,02/16/16 05:56:31 PM,10.075,70.400,0.3476,1.2,0.000,87.0,0.00,1.12
9,02/16/16 06:06:31 PM,10.001,70.900,0.3481,1.2,0.000,182.5,0.00,3.94
10,02/16/16 06:16:31 PM,9.854,72.100,0.3476,1.2,0.000,303.2,0.56,5.64
11,02/16/16 06:26:31 PM,9.731,73.400,0.3476,1.2,0.000,263.9,0.00,0.56
12,02/16/16 06:36:31 PM,9.485,75.800,0.3476,1.2,0.000,263.9,0.00,1.12
13,02/16/16 06:46:31 PM,9.287,77.000,0.3476,1.2,0.000,265.3,0.00,0.56
14,02/16/16 06:56:31 PM,9.064,78.400,0.3476,1.2,0.000,265.3,0.00,0.00
15,02/16/16 07:06:31 PM,8.965,78.700,0.3481,1.2,0.000,265.3,0.00,0.00
16,02/16/16 07:16:31 PM,8.941,79.700,0.3481,1.2,0.000,265.3,0.00,0.00
17,02/16/16 07:26:31 PM,8.841,79.600,0.3481,1.2,0.000,265.3,0.00,0.00
18,02/16/16 07:36:31 PM,8.866,79.900,0.3476,1.2,0.000,301.8,0.00,2.26
19,02/16/16 07:46:31 PM,8.693,81.000,0.3481,1.2,0.000,355.2,0.00,0.00
20,02/16/16 07:56:31 PM,8.543,81.900,0.3481,1.2,0.000,355.2,0.00,0.00
21,02/16/16 08:06:31 PM,8.444,82.600,0.3476,1.2,0.000,355.2,0.00,0.00
22,02/16/16 08:16:31 PM,8.319,83.700,0.3476,1.2,0.000,355.2,0.00,0.56
23,02/16/16 08:26:31 PM,8.195,84.700,0.3481,1.2,0.000,355.2,0.00,0.00
24,02/16/16 08:36:31 PM,8.145,85.400,0.3476,1.2,0.000,355.2,0.00,0.00
25,02/16/16 08:46:31 PM,8.045,86.100,0.3476,1.2,0.000,355.2,0.00,0.00
26,02/16/16 08:56:31 PM,7.995,86.900,0.3476,1.2,0.000,355.2,0.00,0.00
