Plot Title: 10364448										
#	"Date Time, GMT+06:00"	"Temp, °F (LGR S/N: 10364448, SEN S/N: 10344949, LBL: Temperature)"	"RH, % (LGR S/N: 10364448, SEN S/N: 10344949, LBL: Relative Humidity)"	"Water Content, m³/m³ (LGR S/N: 10364448, SEN S/N: 10346468, LBL: Water Content)"	"PAR, uE (LGR S/N: 10364448, SEN S/N: 10349864, LBL: Photosynthetic Active Radiatio)"	"Rain, in (LGR S/N: 10364448, SEN S/N: 10364397, LBL: Rainfall)"	"Wind Direction, ø (LGR S/N: 10364448, SEN S/N: 10566440, LBL: Wind Direction)"	"Wind Speed, mph (LGR S/N: 10364448, SEN S/N: 10587097, LBL: Wind Speed)"	"Gust Speed, mph (LGR S/N: 10364448, SEN S/N: 10587097, LBL: Gust Speed)"	"Batt, V (LGR S/N: 10364448)"
1	3/13/2016 9:40	59.702	92.7	0.207	111.2		335.5	0	1.12	4.285
2	3/13/2016 9:50	60.39	91.1	0.2008	161.2	0	81.4	0	2.82	4.249
3	3/13/2016 10:00	60.346	91	0.2219	113.7	0	71.6	0	2.26	4.261
4	3/13/2016 10:10	59.659	91.6	0.2224	61.2	0	346.8	0.56	2.82	4.267
5	3/13/2016 10:20	59.659	91.8	0.2224	68.7	0	345.4	0	2.26	4.267
6	3/13/2016 10:30	59.745	91.5	0.2224	83.7	0	345.4	0	1.12	4.267
7	3/13/2016 10:40	59.916	91.8	0.2224	113.7	0	345.4	0	0	4.267
8	3/13/2016 10:50	60.39	91.2	0.2224	156.2	0	345.4	0	0	4.279
9	3/13/2016 11:00	60.861	90.6	0.2219	236.2	0	345.4	0	1.12	4.303
10	3/13/2016 11:10	60.561	91.2	0.2216	158.7	0	345.4	0	2.82	4.321
11	3/13/2016 11:20	60.775	91.3	0.2211	208.7	0	345.4	0	2.82	4.333
12	3/13/2016 11:30	60.733	90.9	0.2211	223.7	0	345.4	0	2.26	4.357
13	3/13/2016 11:40	61.333	89.7	0.2208	283.7	0	345.4	0	1.12	4.363
14	3/13/2016 11:50	61.462	89.5	0.2211	326.2	0	345.4	0	2.82	4.351
15	3/13/2016 12:00	62.447	87.9	0.2208	391.2	0	345.4	0	1.7	4.345
16	3/13/2016 12:10	62.319	86.8	0.2203	338.7	0	11.2	0.56	2.82	4.345
