"Plot Title: 10364448"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364448, SEN S/N: 10344949, LBL: Temperature)","RH, % (LGR S/N: 10364448, SEN S/N: 10344949, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364448, SEN S/N: 10346468, LBL: Water Content)","PAR, uE (LGR S/N: 10364448, SEN S/N: 10349864, LBL: Photosynthetic Active Radiatio)","Rain, in (LGR S/N: 10364448, SEN S/N: 10364397, LBL: Rainfall)","Wind Direction, ø (LGR S/N: 10364448, SEN S/N: 10566440, LBL: Wind Direction)","Wind Speed, mph (LGR S/N: 10364448, SEN S/N: 10587097, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364448, SEN S/N: 10587097, LBL: Gust Speed)","Batt, V (LGR S/N: 10364448)"
1,03/13/16 09:40:48 AM,59.702,92.700,0.2070,111.2,,335.5,0.00,1.12,4.285
2,03/13/16 09:50:48 AM,60.390,91.100,0.2008,161.2,0.000,81.4,0.00,2.82,4.249
3,03/13/16 10:00:48 AM,60.346,91.000,0.2219,113.7,0.000,71.6,0.00,2.26,4.261
4,03/13/16 10:10:48 AM,59.659,91.600,0.2224,61.2,0.000,346.8,0.56,2.82,4.267
5,03/13/16 10:20:48 AM,59.659,91.800,0.2224,68.7,0.000,345.4,0.00,2.26,4.267
6,03/13/16 10:30:48 AM,59.745,91.500,0.2224,83.7,0.000,345.4,0.00,1.12,4.267
7,03/13/16 10:40:48 AM,59.916,91.800,0.2224,113.7,0.000,345.4,0.00,0.00,4.267
8,03/13/16 10:50:48 AM,60.390,91.200,0.2224,156.2,0.000,345.4,0.00,0.00,4.279
9,03/13/16 11:00:48 AM,60.861,90.600,0.2219,236.2,0.000,345.4,0.00,1.12,4.303
10,03/13/16 11:10:48 AM,60.561,91.200,0.2216,158.7,0.000,345.4,0.00,2.82,4.321
11,03/13/16 11:20:48 AM,60.775,91.300,0.2211,208.7,0.000,345.4,0.00,2.82,4.333
12,03/13/16 11:30:48 AM,60.733,90.900,0.2211,223.7,0.000,345.4,0.00,2.26,4.357
13,03/13/16 11:40:48 AM,61.333,89.700,0.2208,283.7,0.000,345.4,0.00,1.12,4.363
14,03/13/16 11:50:48 AM,61.462,89.500,0.2211,326.2,0.000,345.4,0.00,2.82,4.351
15,03/13/16 12:00:48 PM,62.447,87.900,0.2208,391.2,0.000,345.4,0.00,1.70,4.345
16,03/13/16 12:10:48 PM,62.319,86.800,0.2203,338.7,0.000,11.2,0.56,2.82,4.345
17,03/13/16 12:20:48 PM,61.934,87.400,0.2203,303.7,0.000,19.7,0.56,4.50,4.345
18,03/13/16 12:30:48 PM,62.447,86.100,0.2203,196.2,0.000,342.6,0.00,2.26,4.339
19,03/13/16 12:40:48 PM,62.620,85.400,0.2208,191.2,0.000,342.6,0.00,1.12,4.351
20,03/13/16 12:50:48 PM,62.661,85.800,0.2208,96.2,0.000,342.6,0.00,1.12,4.345
21,03/13/16 01:00:48 PM,62.447,85.300,0.2208,96.2,0.000,348.2,0.00,1.70,4.339
22,03/13/16 01:10:48 PM,62.447,84.900,0.2208,156.2,0.000,56.2,0.00,2.82,4.345
23,03/13/16 01:20:48 PM,62.233,85.000,0.2211,133.7,0.000,110.9,0.00,3.94,4.345
24,03/13/16 01:30:48 PM,62.233,86.000,0.2211,121.2,0.000,74.4,0.56,4.50,4.339
25,03/13/16 01:40:48 PM,61.934,85.700,0.2211,151.2,0.000,29.5,0.56,4.50,4.345
26,03/13/16 01:50:48 PM,61.848,86.300,0.2208,161.2,0.000,15.4,1.12,5.08,4.351
27,03/13/16 02:00:48 PM,61.977,86.100,0.2211,96.2,0.000,49.1,0.56,3.94,4.345
28,03/13/16 02:10:48 PM,61.848,86.700,0.2208,241.2,0.000,345.4,0.56,3.38,4.339
29,03/13/16 02:20:48 PM,62.105,85.300,0.2208,121.2,0.000,46.3,0.56,3.38,4.345
30,03/13/16 02:30:48 PM,62.233,84.900,0.2211,63.7,0.000,61.8,0.00,2.26,4.339
31,03/13/16 02:40:48 PM,61.633,85.400,0.2211,38.7,0.000,5.6,0.56,3.94,4.339
32,03/13/16 02:50:48 PM,61.633,85.500,0.2211,51.2,0.000,37.9,0.00,1.70,4.333
33,03/13/16 03:00:48 PM,61.804,86.100,0.2211,41.2,0.000,37.9,0.00,0.56,4.351
34,03/13/16 03:10:48 PM,62.062,82.600,0.2211,28.7,0.000,70.2,0.56,5.08,4.351
35,03/13/16 03:20:48 PM,61.977,82.900,0.2211,28.7,0.000,289.2,0.56,3.94,4.321
36,03/13/16 03:30:48 PM,61.891,82.700,0.2211,23.7,0.000,313.1,0.00,3.38,4.321
37,03/13/16 03:40:48 PM,61.934,82.700,0.2211,28.7,0.000,29.5,0.00,3.38,4.321
38,03/13/16 03:50:48 PM,61.934,81.900,0.2211,21.2,0.000,108.1,1.70,5.64,4.315
39,03/13/16 04:00:48 PM,61.934,82.000,0.2211,16.2,0.000,112.3,1.12,5.64,4.315
40,03/13/16 04:10:48 PM,61.891,81.900,0.2211,18.7,0.000,157.2,1.12,6.76,4.309
41,03/13/16 04:20:48 PM,61.848,81.600,0.2216,23.7,0.000,130.6,1.12,8.46,4.303
42,03/13/16 04:30:48 PM,61.804,81.600,0.2211,31.2,0.000,182.5,2.26,4.50,4.303
43,03/13/16 04:40:48 PM,61.848,81.700,0.2211,23.7,0.000,151.6,2.26,6.20,4.303
44,03/13/16 04:50:48 PM,61.848,81.800,0.2211,23.7,0.000,193.7,1.70,5.08,4.303
45,03/13/16 05:00:48 PM,61.720,82.600,0.2211,11.2,0.000,167.1,1.12,6.20,4.297
46,03/13/16 05:10:48 PM,61.761,82.300,0.2211,11.2,0.000,248.5,0.56,4.50,4.297
47,03/13/16 05:20:48 PM,61.248,85.000,0.2211,8.7,0.000,304.7,0.00,2.82,4.297
48,03/13/16 05:30:48 PM,60.904,85.900,0.2211,3.7,0.000,42.1,0.00,1.12,4.291
49,03/13/16 05:40:48 PM,60.775,87.300,0.2211,1.2,0.000,42.1,0.00,0.00,4.291
50,03/13/16 05:50:48 PM,60.517,87.300,0.2211,1.2,0.000,43.5,0.00,1.12,4.291
51,03/13/16 06:00:48 PM,60.390,88.000,0.2211,1.2,0.000,46.3,0.00,0.00,4.291
52,03/13/16 06:10:48 PM,60.217,88.200,0.2211,1.2,0.000,46.3,0.00,0.00,4.291
53,03/13/16 06:20:48 PM,60.260,88.400,0.2211,1.2,0.000,46.3,0.00,0.56,4.291
54,03/13/16 06:30:48 PM,60.174,88.300,0.2216,1.2,0.000,46.3,0.00,0.00,4.291
55,03/13/16 06:40:48 PM,60.089,88.900,0.2216,1.2,0.000,46.3,0.00,0.00,4.291
56,03/13/16 06:50:48 PM,60.132,89.000,0.2211,1.2,0.000,46.3,0.00,0.00,4.291
57,03/13/16 07:00:48 PM,60.089,89.000,0.2211,1.2,0.000,46.3,0.00,0.00,4.291
58,03/13/16 07:10:48 PM,60.390,87.800,0.2216,1.2,0.000,46.3,0.00,1.12,4.285
59,03/13/16 07:20:48 PM,60.089,89.100,0.2216,1.2,0.000,46.3,0.00,0.56,4.285
60,03/13/16 07:30:48 PM,59.959,89.500,0.2216,1.2,0.000,70.2,0.00,1.12,4.285
61,03/13/16 07:40:48 PM,59.401,90.400,0.2219,1.2,0.000,71.6,0.00,1.12,4.285
62,03/13/16 07:50:48 PM,59.014,91.100,0.2219,1.2,0.000,84.2,0.00,2.26,4.285
63,03/13/16 08:00:48 PM,58.842,91.100,0.2219,1.2,0.000,136.2,0.00,1.12,4.285
64,03/13/16 08:10:48 PM,58.798,91.200,0.2219,1.2,0.000,136.2,0.56,1.70,4.285
65,03/13/16 08:20:48 PM,58.282,91.900,0.2219,1.2,0.000,136.2,0.00,1.12,4.297
66,03/13/16 08:30:48 PM,59.572,88.700,0.2219,1.2,0.000,151.6,0.00,2.26,4.285
67,03/13/16 08:40:48 PM,59.272,88.400,0.2219,1.2,0.000,161.5,0.00,1.70,4.321
68,03/13/16 08:50:48 PM,58.626,89.500,0.2219,1.2,0.000,164.3,0.00,1.12,4.285
