"Plot Title: 10365185"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10365185, SEN S/N: 10344962, LBL: Temperature)","RH, % (LGR S/N: 10365185, SEN S/N: 10344962, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10365185, SEN S/N: 10346473, LBL: Water Content)","PAR, uE (LGR S/N: 10365185, SEN S/N: 10349856, LBL: PhotosyntheticActive Radiation)","Rain, in (LGR S/N: 10365185, SEN S/N: 10364391, LBL: Rainfall)","Wind Direction, ø (LGR S/N: 10365185, SEN S/N: 10566448, LBL: Wind Direction)","Wind Speed, mph (LGR S/N: 10365185, SEN S/N: 10587103, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10365185, SEN S/N: 10587103, LBL: Gust Speed)","Batt, V (LGR S/N: 10365185)"
1,11/24/14 12:43:09 PM,62.105,75.200,0.0588,428.7,,196.5,1.70,4.50,4.176
2,11/24/14 12:53:09 PM,64.459,74.600,0.0684,486.2,0.000,161.5,0.56,2.26,4.170
3,11/24/14 01:03:09 PM,61.848,77.200,0.0544,911.2,0.000,196.5,2.26,5.08,4.200
4,11/24/14 01:13:09 PM,63.133,77.300,0.0434,373.7,0.000,181.1,0.56,3.94,4.152
5,11/24/14 01:23:09 PM,62.834,78.500,0.0562,626.2,0.000,158.6,0.56,3.38,4.158
6,11/24/14 01:33:09 PM,62.490,75.800,0.0555,611.2,0.000,141.8,0.56,3.38,4.158
7,11/24/14 01:43:09 PM,63.090,77.600,0.0562,653.7,0.000,144.6,1.70,6.20,4.164
8,11/24/14 01:53:09 PM,63.946,76.500,0.0570,578.7,0.000,98.3,0.56,3.38,4.170
9,11/24/14 02:03:09 PM,63.048,75.900,0.0570,483.7,0.000,126.4,0.56,3.94,4.170
10,11/24/14 02:13:09 PM,62.148,80.500,0.0570,456.2,0.000,120.7,0.56,4.50,4.170
11,11/24/14 02:23:09 PM,62.533,76.200,0.0574,453.7,0.000,151.6,1.12,6.76,4.170
12,11/24/14 02:33:09 PM,64.117,74.100,0.0574,586.2,0.000,46.3,0.56,3.38,4.188
13,11/24/14 02:43:09 PM,65.444,74.600,0.0574,576.2,0.000,95.5,0.00,2.82,4.188
14,11/24/14 02:53:09 PM,62.748,75.200,0.0581,536.2,0.000,151.6,2.26,7.90,4.188
15,11/24/14 03:03:09 PM,62.577,74.200,0.0581,421.2,0.000,61.8,1.12,6.20,4.188
16,11/24/14 03:13:09 PM,61.891,75.000,0.0581,393.7,0.000,355.2,1.12,4.50,4.188
17,11/24/14 03:23:09 PM,62.406,77.500,0.0588,368.7,0.000,233.1,0.00,2.26,4.188
18,11/24/14 03:33:09 PM,61.934,79.500,0.0574,278.7,0.000,244.3,0.56,2.82,4.182
19,11/24/14 03:43:09 PM,61.891,75.700,0.0574,291.2,0.000,308.9,0.00,3.38,4.182
20,11/24/14 03:53:09 PM,61.761,76.600,0.0581,246.2,0.000,44.9,0.56,5.64,4.176
21,11/24/14 04:03:09 PM,61.248,75.800,0.0574,193.7,0.000,168.5,0.00,3.38,4.176
22,11/24/14 04:13:09 PM,60.517,77.300,0.0574,133.7,0.000,227.4,0.56,3.94,4.176
23,11/24/14 04:23:09 PM,59.916,79.100,0.0574,98.7,0.000,205.0,0.00,3.38,4.170
24,11/24/14 04:33:09 PM,59.401,78.900,0.0574,71.2,0.000,207.8,0.00,2.82,4.170
25,11/24/14 04:43:09 PM,58.798,80.900,0.0570,43.7,0.000,220.4,0.00,0.56,4.170
26,11/24/14 04:53:09 PM,58.325,81.500,0.0570,23.7,0.000,244.3,0.00,0.56,4.170
27,11/24/14 05:03:09 PM,58.066,85.700,0.0570,8.7,0.000,247.1,0.00,1.12,4.170
28,11/24/14 05:13:09 PM,57.463,85.400,0.0570,1.2,0.000,248.5,0.00,2.26,4.170
29,11/24/14 05:23:09 PM,56.208,84.400,0.0562,1.2,0.000,248.5,0.00,1.70,4.170
30,11/24/14 05:33:09 PM,56.340,84.100,0.0562,1.2,0.000,248.5,0.00,1.12,4.170
31,11/24/14 05:43:09 PM,56.340,83.100,0.0570,1.2,0.000,248.5,0.00,1.70,4.170
32,11/24/14 05:53:09 PM,56.901,82.200,0.0570,1.2,0.000,256.9,0.56,2.26,4.170
33,11/24/14 06:03:09 PM,56.251,83.100,0.0570,1.2,0.000,283.6,0.56,2.82,4.170
34,11/24/14 06:13:09 PM,55.647,83.400,0.0570,1.2,0.000,286.4,0.00,1.70,4.170
35,11/24/14 06:23:09 PM,56.512,81.200,0.0570,1.2,0.000,301.8,0.56,3.38,4.164
36,11/24/14 06:33:09 PM,55.386,83.300,0.0574,1.2,0.000,321.5,1.70,2.82,4.170
37,11/24/14 06:43:09 PM,55.863,83.100,0.0570,1.2,0.000,318.7,1.12,2.82,4.164
38,11/24/14 06:53:09 PM,55.038,84.200,0.0570,1.2,0.000,318.7,1.70,2.82,4.164
39,11/24/14 07:03:09 PM,55.038,84.500,0.0574,1.2,0.000,318.7,1.70,2.82,4.164
40,11/24/14 07:13:09 PM,55.213,83.500,0.0574,1.2,0.000,318.7,1.12,2.26,4.164
41,11/24/14 07:23:09 PM,55.342,83.800,0.0574,1.2,0.000,317.3,1.12,2.82,4.164
42,11/24/14 07:33:09 PM,54.909,86.500,0.0574,1.2,0.000,317.3,0.56,2.26,4.164
43,11/24/14 07:43:09 PM,54.734,86.300,0.0574,1.2,0.000,315.9,0.56,2.26,4.164
44,11/24/14 07:53:09 PM,55.038,84.600,0.0581,1.2,0.000,315.9,1.12,2.26,4.164
45,11/24/14 08:03:09 PM,54.995,83.900,0.0574,1.2,0.000,315.9,1.12,2.82,4.164
46,11/24/14 08:13:09 PM,54.734,84.000,0.0574,1.2,0.000,315.9,1.70,3.38,4.164
47,11/24/14 08:23:09 PM,54.561,86.000,0.0581,1.2,0.000,315.9,1.12,2.26,4.164
48,11/24/14 08:33:09 PM,54.820,82.900,0.0581,1.2,0.000,315.9,1.12,2.82,4.158
49,11/24/14 08:43:09 PM,54.387,83.200,0.0574,1.2,0.000,315.9,0.56,2.26,4.164
50,11/24/14 08:53:09 PM,54.691,82.200,0.0581,1.2,0.000,314.5,1.12,2.82,4.158
51,11/24/14 09:03:09 PM,54.561,82.300,0.0581,1.2,0.000,314.5,1.12,2.26,4.158
52,11/24/14 09:13:09 PM,55.429,82.700,0.0588,1.2,0.000,314.5,0.00,1.70,4.158
53,11/24/14 09:23:09 PM,54.691,83.100,0.0581,1.2,0.000,314.5,0.00,2.26,4.158
54,11/24/14 09:33:09 PM,54.777,82.700,0.0588,1.2,0.000,314.5,0.56,1.70,4.158
55,11/24/14 09:43:09 PM,54.082,83.400,0.0588,1.2,0.000,314.5,0.56,2.26,4.158
56,11/24/14 09:53:09 PM,54.343,83.700,0.0588,1.2,0.000,314.5,1.12,2.26,4.158
57,11/24/14 10:03:09 PM,54.387,84.700,0.0588,1.2,0.000,314.5,0.56,2.26,4.158
58,11/24/14 10:13:09 PM,54.343,84.400,0.0588,1.2,0.000,314.5,0.56,2.26,4.158
59,11/24/14 10:23:09 PM,54.387,83.200,0.0588,1.2,0.000,314.5,0.56,2.26,4.158
60,11/24/14 10:33:09 PM,53.865,83.800,0.0596,1.2,0.000,314.5,0.56,1.70,4.158
61,11/24/14 10:43:09 PM,54.169,84.400,0.0588,1.2,0.000,314.5,0.56,2.26,4.158
62,11/24/14 10:53:09 PM,54.037,83.700,0.0596,1.2,0.000,314.5,0.56,2.26,4.158
63,11/24/14 11:03:09 PM,53.994,85.600,0.0596,1.2,0.000,314.5,0.56,2.26,4.158
64,11/24/14 11:13:09 PM,54.169,86.100,0.0596,1.2,0.000,314.5,0.00,2.26,4.158
65,11/24/14 11:23:09 PM,53.865,87.300,0.0596,1.2,0.000,314.5,0.56,2.26,4.158
66,11/24/14 11:33:09 PM,54.169,87.000,0.0596,1.2,0.000,314.5,0.00,1.70,4.158
67,11/24/14 11:43:09 PM,53.690,88.300,0.0596,1.2,0.000,314.5,0.56,1.70,4.158
68,11/24/14 11:53:09 PM,53.645,89.200,0.0599,1.2,0.000,314.5,0.00,1.12,4.158
69,11/25/14 12:03:09 AM,53.908,91.700,0.0596,1.2,0.000,314.5,0.00,1.12,4.158
70,11/25/14 12:13:09 AM,54.255,91.900,0.0607,1.2,0.000,314.5,0.00,1.12,4.158
71,11/25/14 12:23:09 AM,54.212,91.600,0.0599,1.2,0.000,314.5,0.00,0.00,4.158
72,11/25/14 12:33:09 AM,53.865,92.600,0.0607,1.2,0.000,314.5,0.00,0.56,4.158
73,11/25/14 12:43:09 AM,53.733,94.000,0.0607,1.2,0.000,314.5,0.00,0.56,4.158
74,11/25/14 12:53:09 AM,53.690,93.300,0.0607,1.2,0.000,314.5,0.00,1.12,4.158
75,11/25/14 01:03:09 AM,52.903,93.900,0.0607,1.2,0.000,314.5,0.00,1.12,4.158
76,11/25/14 01:13:09 AM,53.121,94.200,0.0614,1.2,0.000,314.5,0.00,1.70,4.158
77,11/25/14 01:23:09 AM,53.472,93.700,0.0614,1.2,0.000,314.5,0.00,1.12,4.158
78,11/25/14 01:33:09 AM,52.947,93.800,0.0621,1.2,0.000,314.5,0.00,0.56,4.158
79,11/25/14 01:43:09 AM,53.078,93.900,0.0621,1.2,0.000,314.5,0.00,1.70,4.158
80,11/25/14 01:53:09 AM,53.078,94.000,0.0614,1.2,0.000,314.5,0.56,2.26,4.158
81,11/25/14 02:03:09 AM,52.729,94.100,0.0614,1.2,0.000,314.5,0.56,1.70,4.158
82,11/25/14 02:13:09 AM,53.121,93.400,0.0621,1.2,0.000,314.5,0.56,2.26,4.158
83,11/25/14 02:23:09 AM,53.690,92.200,0.0621,1.2,0.000,314.5,0.00,1.12,4.158
84,11/25/14 02:33:09 AM,54.037,91.400,0.0621,1.2,0.000,314.5,0.00,1.70,4.158
85,11/25/14 02:43:09 AM,53.865,91.500,0.0621,1.2,0.000,314.5,0.00,1.70,4.158
86,11/25/14 02:53:09 AM,53.820,92.100,0.0621,1.2,0.000,314.5,0.00,0.56,4.158
