"Plot Title: 10365185"
"#","Date Time, GMT+06:00","Wind Speed, mph (LGR S/N: 10365185, SEN S/N: 10717092, LBL: wind speed)","Gust Speed, mph (LGR S/N: 10365185, SEN S/N: 10717092, LBL: Gust speed)","Wind Direction, ø (LGR S/N: 10365185, SEN S/N: 10820312, LBL: wind direction)","Batt, V (LGR S/N: 10365185)"
1,12/10/15 01:00:00 PM,0.56,5.64,127.8,4.333
2,12/10/15 01:10:00 PM,0.56,3.94,140.4,4.333
3,12/10/15 01:20:00 PM,0.56,3.94,137.6,4.333
4,12/10/15 01:30:00 PM,1.70,5.64,130.6,4.339
5,12/10/15 01:40:00 PM,1.12,8.46,146.0,4.339
6,12/10/15 01:50:00 PM,1.12,5.08,130.6,4.339
7,12/10/15 02:00:00 PM,0.56,5.08,132.0,4.339
8,12/10/15 02:10:00 PM,0.56,5.64,103.9,4.339
9,12/10/15 02:20:00 PM,0.56,3.94,112.3,4.339
10,12/10/15 02:30:00 PM,0.56,5.08,129.2,4.339
11,12/10/15 02:40:00 PM,0.56,3.94,143.2,4.339
12,12/10/15 02:50:00 PM,0.00,4.50,129.2,4.339
