"Plot Title: Mendrelgang CS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10365185, SEN S/N: 10344962, LBL: Temperature)","RH, % (LGR S/N: 10365185, SEN S/N: 10344962, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10365185, SEN S/N: 10346473, LBL: Soil Moisture)","PAR, uE (LGR S/N: 10365185, SEN S/N: 10349856, LBL: photosynthesis)","Rain, in (LGR S/N: 10365185, SEN S/N: 10364391, LBL: Rainfall)","Wind Direction, ø (LGR S/N: 10365185, SEN S/N: 10566448, LBL: Wind Direction)","Wind Speed, mph (LGR S/N: 10365185, SEN S/N: 10587103, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10365185, SEN S/N: 10587103, LBL: Gust Speed)","Batt, V (LGR S/N: 10365185)"
1,04/23/16 03:40:00 PM,78.121,67.400,0.0482,2553.7,,51.9,2.26,9.01,4.321
2,04/23/16 03:50:00 PM,76.854,69.400,0.0490,833.7,0.000,283.6,2.82,10.69,4.321
3,04/23/16 04:00:00 PM,75.853,70.400,0.0238,771.2,0.000,308.9,2.82,9.57,4.333
4,04/23/16 04:10:00 PM,74.727,72.600,0.0247,723.7,0.000,327.1,3.38,10.13,4.363
5,04/23/16 04:20:00 PM,75.074,71.700,0.0247,646.2,0.000,307.5,2.26,9.01,4.333
6,04/23/16 04:30:00 PM,74.597,73.600,0.0247,551.2,0.000,314.5,2.82,11.27,4.351
7,04/23/16 04:40:00 PM,74.899,70.300,0.0228,483.7,0.000,306.1,3.38,14.09,4.351
8,04/23/16 04:50:00 PM,73.774,72.800,0.0238,328.7,0.000,318.7,2.26,9.57,4.339
9,04/23/16 05:00:00 PM,72.610,74.800,0.0228,201.2,0.000,320.1,2.26,10.13,4.339
10,04/23/16 05:10:00 PM,71.920,76.200,0.0224,121.2,0.000,286.4,2.82,9.57,4.333
11,04/23/16 05:20:00 PM,71.447,76.400,0.0224,73.7,0.000,307.5,2.82,11.27,4.327
12,04/23/16 05:30:00 PM,71.190,78.000,0.0228,38.7,0.000,268.1,2.82,11.27,4.327
13,04/23/16 05:40:00 PM,71.060,78.000,0.0224,16.2,0.000,294.8,2.26,11.27,4.321
14,04/23/16 05:50:00 PM,70.803,77.700,0.0228,6.2,0.000,296.2,2.26,10.13,4.321
15,04/23/16 06:00:00 PM,70.759,77.800,0.0224,3.7,0.000,303.2,1.70,6.76,4.321
16,04/23/16 06:10:00 PM,71.791,72.200,0.0224,1.2,0.000,335.5,1.12,6.20,4.321
17,04/23/16 06:20:00 PM,71.274,74.500,0.0224,1.2,0.000,43.5,0.00,3.38,4.321
18,04/23/16 06:30:00 PM,70.887,75.400,0.0214,1.2,0.000,21.1,0.00,0.00,4.321
