"Plot Title: 10364435"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364435, SEN S/N: 10344953, LBL: Temperature)","RH, % (LGR S/N: 10364435, SEN S/N: 10344953, LBL: Relative Humdity)","Water Content, m³/m³ (LGR S/N: 10364435, SEN S/N: 10346476, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364435, SEN S/N: 10349681, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364435, SEN S/N: 10349681)","Wind Direction, ø (LGR S/N: 10364435, SEN S/N: 10349732, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364435, SEN S/N: 10349862, LBL: Photosysnthesis)","Rain, in (LGR S/N: 10364435, SEN S/N: 10364406, LBL: Rainfall)","Batt, V (LGR S/N: 10364435)"
1,11/11/15 06:02:46 AM,53.166,71.500,0.3343,0.56,5.64,126.4,228.7,,4.237
2,11/11/15 06:12:46 AM,51.105,75.500,0.3343,0.56,3.94,154.4,131.2,0.000,4.285
3,11/11/15 06:22:46 AM,50.533,77.000,0.3343,0.00,3.94,155.8,133.7,0.000,4.249
4,11/11/15 06:32:46 AM,50.841,74.900,0.3343,1.12,5.64,272.4,108.7,0.000,4.249
5,11/11/15 06:42:46 AM,50.621,76.800,0.3343,0.00,1.12,300.4,61.2,0.000,4.249
6,11/11/15 06:52:46 AM,50.002,77.500,0.3343,0.00,1.70,276.6,21.2,0.000,4.267
7,11/11/15 07:02:46 AM,49.649,77.400,0.3343,0.00,2.26,199.4,3.7,0.000,4.249
8,11/11/15 07:12:46 AM,48.762,79.900,0.3343,0.00,2.26,181.1,1.2,0.000,4.249
9,11/11/15 07:22:46 AM,48.405,80.800,0.3343,0.00,3.38,241.5,1.2,0.000,4.249
10,11/11/15 07:32:46 AM,48.583,81.300,0.3343,0.56,2.82,39.3,1.2,0.000,4.267
11,11/11/15 07:42:46 AM,48.094,83.000,0.3343,0.00,2.26,348.2,1.2,0.000,4.249
12,11/11/15 07:52:46 AM,47.422,83.900,0.3343,0.00,1.12,351.0,1.2,0.000,4.249
13,11/11/15 08:02:46 AM,47.467,84.100,0.3343,0.00,1.70,80.0,1.2,0.000,4.249
14,11/11/15 08:12:46 AM,47.736,83.800,0.3343,0.00,0.56,80.0,1.2,0.000,4.249
15,11/11/15 08:22:46 AM,47.422,84.600,0.3343,0.00,1.12,80.0,1.2,0.000,4.249
16,11/11/15 08:32:46 AM,47.064,85.000,0.3343,0.00,2.26,67.4,1.2,0.000,4.249
17,11/11/15 08:42:46 AM,46.886,85.600,0.3343,0.00,0.56,57.6,1.2,0.000,4.249
18,11/11/15 08:52:46 AM,46.526,86.400,0.3348,0.00,1.70,57.6,1.2,0.000,4.249
19,11/11/15 09:02:46 AM,46.751,85.900,0.3348,0.00,1.12,54.8,1.2,0.000,4.249
20,11/11/15 09:12:46 AM,45.941,86.600,0.3348,0.00,0.56,23.9,1.2,0.000,4.249
21,11/11/15 09:22:46 AM,45.761,87.800,0.3343,0.00,1.70,23.9,1.2,0.000,4.249
22,11/11/15 09:32:46 AM,45.399,87.100,0.3348,1.12,2.82,26.7,1.2,0.000,4.249
23,11/11/15 09:42:46 AM,44.991,87.100,0.3343,0.56,2.82,51.9,1.2,0.000,4.249
24,11/11/15 09:52:46 AM,45.262,85.800,0.3343,0.00,0.56,66.0,1.2,0.000,4.249
25,11/11/15 10:02:46 AM,44.582,87.300,0.3343,0.00,1.12,66.0,1.2,0.000,4.249
26,11/11/15 10:12:46 AM,43.853,88.000,0.3343,0.00,1.70,334.1,1.2,0.000,4.249
27,11/11/15 10:22:46 AM,43.671,88.700,0.3343,0.00,0.00,325.7,1.2,0.000,4.249
28,11/11/15 10:32:46 AM,43.853,87.500,0.3343,0.00,0.56,325.7,1.2,0.000,4.249
29,11/11/15 10:42:46 AM,43.808,87.200,0.3343,0.00,1.12,348.2,1.2,0.000,4.249
30,11/11/15 10:52:46 AM,43.579,87.500,0.3343,0.00,1.70,19.7,1.2,0.000,4.249
31,11/11/15 11:02:46 AM,43.671,87.300,0.3343,0.00,0.56,40.7,1.2,0.000,4.249
32,11/11/15 11:12:46 AM,43.671,87.300,0.3343,0.00,0.56,40.7,1.2,0.000,4.249
33,11/11/15 11:22:46 AM,43.534,88.300,0.3343,0.00,1.70,40.7,1.2,0.000,4.249
34,11/11/15 11:32:46 AM,43.167,89.100,0.3343,1.70,2.82,43.5,1.2,0.000,4.249
35,11/11/15 11:42:46 AM,43.214,88.800,0.3343,1.12,3.38,53.3,1.2,0.000,4.249
36,11/11/15 11:52:46 AM,42.525,89.900,0.3343,0.00,1.70,53.3,1.2,0.000,4.249
37,11/11/15 12:02:46 PM,42.616,88.600,0.3343,0.00,1.70,53.3,1.2,0.000,4.249
38,11/11/15 12:12:46 PM,42.294,89.900,0.3343,0.56,2.26,53.3,1.2,0.000,4.249
39,11/11/15 12:22:46 PM,42.478,89.300,0.3343,0.00,1.70,53.3,1.2,0.000,4.249
40,11/11/15 12:32:46 PM,42.433,89.400,0.3339,0.56,1.70,51.9,1.2,0.000,4.249
41,11/11/15 12:42:46 PM,42.616,88.800,0.3343,0.00,1.70,51.9,1.2,0.000,4.249
42,11/11/15 12:52:46 PM,42.525,88.800,0.3343,0.56,3.38,53.3,1.2,0.000,4.249
43,11/11/15 01:02:46 PM,42.616,89.500,0.3343,0.56,2.26,57.6,1.2,0.000,4.249
44,11/11/15 01:12:46 PM,43.351,88.200,0.3343,0.00,2.26,60.4,1.2,0.000,4.249
45,11/11/15 01:22:46 PM,43.030,89.000,0.3343,0.00,1.70,61.8,1.2,0.000,4.249
46,11/11/15 01:32:46 PM,43.167,89.500,0.3343,0.00,2.26,59.0,1.2,0.000,4.249
47,11/11/15 01:42:46 PM,43.306,89.100,0.3343,0.00,1.12,51.9,1.2,0.000,4.243
48,11/11/15 01:52:46 PM,42.939,89.600,0.3343,0.00,0.56,51.9,1.2,0.000,4.249
49,11/11/15 02:02:46 PM,42.616,88.700,0.3343,0.00,1.12,51.9,1.2,0.000,4.243
50,11/11/15 02:12:46 PM,42.064,88.900,0.3343,0.00,1.12,51.9,1.2,0.000,4.249
51,11/11/15 02:22:46 PM,41.925,88.800,0.3343,0.00,0.00,51.9,1.2,0.000,4.249
52,11/11/15 02:32:46 PM,41.878,88.600,0.3339,0.00,1.70,51.9,1.2,0.000,4.243
53,11/11/15 02:42:46 PM,41.648,88.800,0.3339,0.00,2.82,51.9,1.2,0.000,4.249
54,11/11/15 02:52:46 PM,41.416,89.200,0.3339,0.56,2.26,53.3,1.2,0.000,4.249
55,11/11/15 03:02:46 PM,41.601,90.000,0.3339,0.00,2.26,51.9,1.2,0.000,4.243
56,11/11/15 03:12:46 PM,41.463,89.600,0.3339,0.00,2.82,54.8,1.2,0.000,4.243
57,11/11/15 03:22:46 PM,41.554,90.000,0.3339,0.00,0.56,59.0,1.2,0.000,4.243
58,11/11/15 03:32:46 PM,41.322,90.700,0.3339,0.00,1.70,59.0,1.2,0.000,4.243
59,11/11/15 03:42:46 PM,41.463,89.800,0.3343,0.00,0.00,59.0,1.2,0.000,4.243
60,11/11/15 03:52:46 PM,41.322,89.000,0.3343,0.00,1.70,59.0,1.2,0.000,4.243
61,11/11/15 04:02:46 PM,40.719,90.600,0.3339,1.12,2.26,60.4,1.2,0.000,4.249
62,11/11/15 04:12:46 PM,40.626,91.200,0.3339,0.56,2.82,46.3,1.2,0.000,4.243
63,11/11/15 04:22:46 PM,40.626,90.600,0.3339,0.00,1.12,46.3,1.2,0.000,4.243
64,11/11/15 04:32:46 PM,40.251,90.500,0.3339,0.00,0.00,46.3,1.2,0.000,4.243
65,11/11/15 04:42:46 PM,40.298,90.900,0.3339,0.00,1.70,46.3,1.2,0.000,4.243
66,11/11/15 04:52:46 PM,40.438,89.800,0.3339,1.12,2.82,60.4,1.2,0.000,4.243
67,11/11/15 05:02:46 PM,40.345,90.300,0.3339,0.00,1.70,61.8,1.2,0.000,4.243
68,11/11/15 05:12:46 PM,40.111,91.800,0.3339,1.12,2.82,59.0,1.2,0.000,4.243
69,11/11/15 05:22:46 PM,39.924,92.200,0.3339,1.12,2.82,51.9,1.2,0.000,4.243
70,11/11/15 05:32:46 PM,39.643,93.100,0.3339,1.12,2.82,51.9,1.2,0.000,4.243
71,11/11/15 05:42:46 PM,39.783,92.900,0.3339,1.12,3.38,50.5,1.2,0.000,4.243
72,11/11/15 05:52:46 PM,39.736,92.800,0.3339,0.56,2.26,44.9,1.2,0.000,4.243
73,11/11/15 06:02:46 PM,39.643,92.700,0.3339,0.56,2.26,40.7,1.2,0.000,4.243
74,11/11/15 06:12:46 PM,39.924,92.600,0.3339,0.56,3.38,50.5,1.2,0.000,4.243
75,11/11/15 06:22:46 PM,40.064,90.900,0.3339,0.56,4.50,40.7,1.2,0.000,4.243
76,11/11/15 06:32:46 PM,39.783,90.700,0.3339,2.26,5.08,42.1,1.2,0.000,4.243
77,11/11/15 06:42:46 PM,39.970,91.700,0.3339,2.26,5.08,44.9,1.2,0.000,4.243
78,11/11/15 06:52:46 PM,40.158,91.400,0.3339,2.26,4.50,43.5,1.2,0.000,4.237
79,11/11/15 07:02:46 PM,40.626,90.100,0.3339,0.56,2.82,37.9,1.2,0.000,4.237
80,11/11/15 07:12:46 PM,41.043,88.800,0.3339,0.00,2.82,16.8,1.2,0.000,4.243
81,11/11/15 07:22:46 PM,40.579,89.800,0.3339,0.00,0.56,40.7,1.2,0.000,4.237
82,11/11/15 07:32:46 PM,41.508,88.700,0.3339,0.00,0.00,40.7,1.2,0.000,4.237
83,11/11/15 07:42:46 PM,41.648,88.600,0.3343,0.00,0.00,40.7,1.2,0.000,4.237
84,11/11/15 07:52:46 PM,41.508,89.400,0.3343,0.00,0.56,40.7,1.2,0.000,4.237
85,11/11/15 08:02:46 PM,41.554,89.100,0.3343,0.00,0.56,26.7,1.2,0.000,4.249
86,11/11/15 08:12:46 PM,41.230,90.400,0.3343,0.00,0.00,341.2,3.7,0.000,4.237
87,11/11/15 08:22:46 PM,41.416,90.500,0.3343,0.00,1.12,344.0,11.2,0.000,4.237
88,11/11/15 08:32:46 PM,41.693,90.200,0.3343,0.00,0.00,8.4,21.2,0.000,4.237
89,11/11/15 08:42:46 PM,41.878,90.500,0.3343,0.00,0.00,8.4,41.2,0.000,4.237
90,11/11/15 08:52:46 PM,42.202,90.900,0.3343,0.00,0.00,8.4,63.7,0.000,4.237
91,11/11/15 09:02:46 PM,42.247,89.300,0.3348,0.00,0.56,8.4,96.2,0.000,4.237
