"Plot Title: b0004a15"
"#","Date Time, GMT+06:00","H08 Temp., °F (LGR S/N: 368110)","H08 High Res. Temp., °F (LGR S/N: 368110)","GCap. RH, % (LGR S/N: 368110)"
1,05/14/03 12:00:00 PM,88.74,88.88,39.00
2,05/14/03 01:00:00 PM,93.22,93.49,32.60
3,05/14/03 02:00:00 PM,93.22,93.16,28.80
4,05/14/03 03:00:00 PM,88.74,88.41,18.60
5,05/14/03 04:00:00 PM,90.21,90.27,20.70
6,05/14/03 05:00:00 PM,69.71,70.00,42.50
7,05/14/03 06:00:00 PM,66.27,66.33,50.70
8,05/14/03 07:00:00 PM,64.90,65.03,49.70
9,05/14/03 08:00:00 PM,63.54,63.45,51.20
10,05/14/03 09:00:00 PM,62.85,62.67,52.30
11,05/14/03 10:00:00 PM,60.12,60.37,65.10
12,05/14/03 11:00:00 PM,58.73,58.86,69.70
13,05/15/03 12:00:00 AM,58.05,58.26,64.60
14,05/15/03 01:00:00 AM,57.36,57.18,72.60
15,05/15/03 02:00:00 AM,56.66,56.84,71.70
16,05/15/03 03:00:00 AM,55.98,56.14,75.60
17,05/15/03 04:00:00 AM,55.27,55.45,76.10
18,05/15/03 05:00:00 AM,54.59,54.84,78.00
19,05/15/03 06:00:00 AM,54.59,54.57,79.90
20,05/15/03 07:00:00 AM,55.98,56.32,72.60
21,05/15/03 08:00:00 AM,59.41,59.63,62.10
22,05/15/03 09:00:00 AM,62.85,62.89,54.90
23,05/15/03 10:00:00 AM,69.71,69.96,31.20
24,05/15/03 11:00:00 AM,75.22,75.06,27.80
25,05/15/03 12:00:00 PM,75.22,75.00,30.20
26,05/15/03 01:00:00 PM,69.71,69.75,40.00
27,05/15/03 02:00:00 PM,64.90,65.12,55.40
28,05/15/03 03:00:00 PM,65.59,65.84,52.80
29,05/15/03 04:00:00 PM,65.59,65.43,52.80
30,05/15/03 05:00:00 PM,65.59,65.80,48.10
31,05/15/03 06:00:00 PM,64.90,64.74,48.10
32,05/15/03 07:00:00 PM,63.54,63.28,50.70
33,05/15/03 08:00:00 PM,62.17,62.08,54.30
34,05/15/03 09:00:00 PM,60.12,60.06,62.10
35,05/15/03 10:00:00 PM,57.36,57.49,75.60
36,05/15/03 11:00:00 PM,54.59,54.88,90.10
37,05/16/03 12:00:00 AM,54.59,54.50,90.90
38,05/16/03 01:00:00 AM,53.89,54.23,90.90
39,05/16/03 02:00:00 AM,53.89,53.92,92.10
40,05/16/03 03:00:00 AM,53.89,53.67,92.50
41,05/16/03 04:00:00 AM,53.89,53.80,91.70
42,05/16/03 05:00:00 AM,53.19,53.22,92.90
43,05/16/03 06:00:00 AM,52.48,52.84,94.10
44,05/16/03 07:00:00 AM,53.89,54.05,89.70
45,05/16/03 08:00:00 AM,57.36,57.34,78.00
46,05/16/03 09:00:00 AM,65.59,65.80,51.20
47,05/16/03 10:00:00 AM,71.08,70.77,39.50
48,05/16/03 11:00:00 AM,73.83,74.05,31.60
49,05/16/03 12:00:00 PM,75.22,74.91,33.60
50,05/16/03 01:00:00 PM,74.53,74.66,35.50
51,05/16/03 02:00:00 PM,73.83,74.05,37.00
52,05/16/03 03:00:00 PM,73.15,73.09,39.00
53,05/16/03 04:00:00 PM,70.39,70.39,45.10
54,05/16/03 05:00:00 PM,69.03,69.15,47.10
55,05/16/03 06:00:00 PM,66.27,66.61,49.70
56,05/16/03 07:00:00 PM,64.22,64.18,57.90
57,05/16/03 08:00:00 PM,63.54,63.54,57.40
58,05/16/03 09:00:00 PM,63.54,63.28,58.50
59,05/16/03 10:00:00 PM,60.80,60.67,70.20
60,05/16/03 11:00:00 PM,58.73,58.60,79.40
61,05/17/03 12:00:00 AM,57.36,57.49,84.90
62,05/17/03 01:00:00 AM,56.66,56.84,88.00
63,05/17/03 02:00:00 AM,55.27,55.36,96.70
64,05/17/03 03:00:00 AM,55.27,55.09,97.40
65,05/17/03 04:00:00 AM,55.27,55.62,94.50
66,05/17/03 05:00:00 AM,55.27,55.18,95.20
67,05/17/03 06:00:00 AM,55.27,55.27,89.70
68,05/17/03 07:00:00 AM,55.98,56.23,86.20
69,05/17/03 08:00:00 AM,58.05,58.30,76.50
70,05/17/03 09:00:00 AM,63.54,63.72,59.00
71,05/17/03 10:00:00 AM,71.08,71.04,45.60
72,05/17/03 11:00:00 AM,75.92,76.17,36.50
73,05/17/03 12:00:00 PM,75.22,74.91,38.50
74,05/17/03 01:00:00 PM,73.83,73.80,38.00
75,05/17/03 02:00:00 PM,73.15,72.84,40.00
76,05/17/03 03:00:00 PM,72.46,72.25,40.50
77,05/17/03 04:00:00 PM,71.08,70.95,46.10
78,05/17/03 05:00:00 PM,70.39,70.18,44.00
79,05/17/03 06:00:00 PM,69.03,68.85,43.50
80,05/17/03 07:00:00 PM,65.59,65.43,57.40
81,05/17/03 08:00:00 PM,64.22,64.00,59.00
82,05/17/03 09:00:00 PM,62.85,62.55,61.60
83,05/17/03 10:00:00 PM,62.17,62.29,55.90
84,05/17/03 11:00:00 PM,61.48,61.77,49.20
85,05/18/03 12:00:00 AM,60.80,60.87,51.20
86,05/18/03 01:00:00 AM,58.73,58.55,54.90
87,05/18/03 02:00:00 AM,56.66,56.66,60.00
88,05/18/03 03:00:00 AM,54.59,54.27,65.10
89,05/18/03 04:00:00 AM,52.48,52.45,68.70
90,05/18/03 05:00:00 AM,50.38,50.65,73.10
91,05/18/03 06:00:00 AM,49.68,49.35,77.00
92,05/18/03 07:00:00 AM,51.78,51.66,75.60
93,05/18/03 08:00:00 AM,56.66,56.44,64.60
