"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,04/20/16 12:35:54 PM,65.316,92.400,0.3466,0.56,3.94,314.5,108.7,,4.351
2,04/20/16 12:45:54 PM,65.316,94.900,0.3471,0.00,1.12,311.7,143.7,0.008,4.363
3,04/20/16 12:55:54 PM,64.760,94.600,0.3481,0.00,2.82,315.9,111.2,0.008,4.369
4,04/20/16 01:05:54 PM,64.503,97.000,0.3496,0.00,2.82,318.7,113.7,0.000,4.357
5,04/20/16 01:15:54 PM,63.775,98.000,0.3547,0.56,5.08,266.7,98.7,0.024,4.357
6,04/20/16 01:25:54 PM,63.819,98.800,0.3578,0.56,3.94,320.1,63.7,0.008,4.345
7,04/20/16 01:35:54 PM,63.390,99.200,0.3616,1.12,5.64,299.0,43.7,0.016,4.339
8,04/20/16 01:45:54 PM,63.604,99.500,0.3600,0.00,2.82,320.1,98.7,0.000,4.345
9,04/20/16 01:55:54 PM,63.304,99.600,0.3594,0.00,4.50,331.3,31.2,0.008,4.339
10,04/20/16 02:05:54 PM,63.475,99.800,0.3590,0.00,3.94,307.5,53.7,0.000,4.339
11,04/20/16 02:15:54 PM,63.648,99.900,0.3578,0.56,5.64,262.5,198.7,0.000,4.363
12,04/20/16 02:25:54 PM,63.819,100.000,0.3573,2.26,7.31,311.7,43.7,0.000,4.351
13,04/20/16 02:35:54 PM,63.604,100.000,0.3568,0.56,4.50,314.5,16.2,0.000,4.345
14,04/20/16 02:45:54 PM,63.604,100.000,0.3557,0.56,6.20,321.5,26.2,0.000,4.339
15,04/20/16 02:55:54 PM,63.304,100.000,0.3547,0.00,3.94,328.5,26.2,0.000,4.339
16,04/20/16 03:05:54 PM,63.304,100.000,0.3542,0.00,3.38,273.8,28.7,0.000,4.333
17,04/20/16 03:15:54 PM,63.176,100.000,0.3537,0.56,4.50,324.3,48.7,0.000,4.333
18,04/20/16 03:25:54 PM,63.304,100.000,0.3526,0.56,6.20,308.9,38.7,0.000,4.327
19,04/20/16 03:35:54 PM,64.589,99.900,0.3521,1.70,8.46,355.2,33.7,0.000,4.321
20,04/20/16 03:45:54 PM,63.518,99.300,0.3521,0.00,2.82,308.9,13.7,0.008,4.321
21,04/20/16 03:55:54 PM,64.418,98.900,0.3521,0.56,5.64,317.3,23.7,0.000,4.321
22,04/20/16 04:05:54 PM,64.845,96.900,0.3516,1.12,7.31,304.7,36.2,0.000,4.321
23,04/20/16 04:15:54 PM,63.475,96.000,0.3511,1.12,4.50,318.7,13.7,0.000,4.315
24,04/20/16 04:25:54 PM,63.390,98.600,0.3516,0.56,6.20,320.1,11.2,0.000,4.315
25,04/20/16 04:35:54 PM,63.475,99.500,0.3511,1.70,7.31,301.8,11.2,0.000,4.309
26,04/20/16 04:45:54 PM,63.304,99.700,0.3506,0.00,3.38,314.5,3.7,0.000,4.309
27,04/20/16 04:55:54 PM,63.133,99.800,0.3500,0.00,3.94,255.5,1.2,0.008,4.309
28,04/20/16 05:05:54 PM,63.604,100.000,0.3506,0.56,6.20,203.6,1.2,0.008,4.303
29,04/20/16 05:15:54 PM,63.475,99.800,0.3511,1.70,8.46,306.1,3.7,0.000,4.303
