"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,01/28/16 11:55:54 AM,53.602,68.200,0.2847,2.26,7.31,136.2,691.2,,4.339
2,01/28/16 12:05:54 PM,55.125,68.200,0.2850,2.26,8.46,158.6,916.2,0.000,4.339
3,01/28/16 12:15:54 PM,55.690,65.600,0.2850,2.82,12.39,113.7,1478.7,0.000,4.393
4,01/28/16 12:25:54 PM,56.988,64.300,0.2850,1.70,9.01,116.5,1476.2,0.000,4.369
5,01/28/16 12:35:54 PM,55.906,63.100,0.2850,3.38,9.57,130.6,1388.7,0.000,4.363
6,01/28/16 12:45:54 PM,57.160,63.200,0.2850,0.56,5.64,129.2,1218.7,0.000,4.351
7,01/28/16 12:55:54 PM,57.247,61.700,0.2850,1.70,8.46,147.4,1463.7,0.000,4.363
8,01/28/16 01:05:54 PM,55.819,63.000,0.2850,3.38,9.57,130.6,1481.2,0.000,4.351
9,01/28/16 01:15:54 PM,53.384,67.400,0.2850,5.08,12.95,133.4,903.7,0.000,4.369
10,01/28/16 01:25:54 PM,52.115,69.200,0.2853,5.08,11.83,132.0,828.7,0.000,4.363
11,01/28/16 01:35:54 PM,51.105,73.500,0.2853,5.08,10.69,133.4,268.7,0.000,4.393
12,01/28/16 01:45:54 PM,52.291,73.400,0.2853,3.94,8.46,136.2,536.2,0.000,4.363
13,01/28/16 01:55:54 PM,53.690,71.000,0.2853,3.38,9.57,143.2,968.7,0.000,4.363
14,01/28/16 02:05:54 PM,51.678,72.600,0.2853,5.08,14.09,139.0,533.7,0.000,4.363
15,01/28/16 02:15:54 PM,51.370,74.400,0.2850,5.08,11.27,147.4,431.2,0.000,4.363
16,01/28/16 02:25:54 PM,53.078,74.000,0.2853,5.08,13.51,144.6,788.7,0.000,4.357
17,01/28/16 02:35:54 PM,52.203,72.000,0.2853,3.94,10.69,130.6,691.2,0.000,4.363
18,01/28/16 02:45:54 PM,52.378,71.900,0.2853,3.94,8.46,129.2,606.2,0.000,4.363
19,01/28/16 02:55:54 PM,53.078,71.500,0.2853,3.38,9.01,158.6,573.7,0.000,4.363
20,01/28/16 03:05:54 PM,54.734,70.000,0.2853,3.38,10.69,160.0,818.7,0.000,4.363
21,01/28/16 03:15:54 PM,54.255,67.700,0.2853,3.38,10.69,161.5,686.2,0.000,4.363
22,01/28/16 03:25:54 PM,52.817,69.200,0.2850,3.94,10.69,157.2,581.2,0.000,4.369
23,01/28/16 03:35:54 PM,50.092,72.400,0.2853,5.08,10.69,139.0,301.2,0.000,4.357
24,01/28/16 03:45:54 PM,49.428,77.400,0.2850,3.94,7.31,146.0,133.7,0.000,4.363
25,01/28/16 03:55:54 PM,48.672,78.500,0.2850,5.08,9.57,134.8,118.7,0.000,4.369
26,01/28/16 04:05:54 PM,48.805,81.000,0.2850,4.50,9.57,134.8,108.7,0.000,4.363
27,01/28/16 04:15:54 PM,49.028,79.900,0.2850,3.94,7.31,132.0,86.2,0.000,4.357
28,01/28/16 04:25:54 PM,49.028,79.900,0.2850,3.38,7.31,134.8,81.2,0.000,4.351
29,01/28/16 04:35:54 PM,48.805,81.000,0.2850,3.38,8.46,130.6,78.7,0.000,4.351
30,01/28/16 04:45:54 PM,48.938,80.700,0.2850,3.38,10.69,137.6,78.7,0.000,4.345
31,01/28/16 04:55:54 PM,48.895,81.000,0.2850,1.70,7.90,134.8,63.7,0.000,4.339
32,01/28/16 05:05:54 PM,48.583,81.500,0.2847,0.56,5.64,117.9,51.2,0.000,4.339
33,01/28/16 05:15:54 PM,48.628,81.200,0.2847,1.12,6.20,119.3,36.2,0.000,4.339
34,01/28/16 05:25:54 PM,48.672,80.900,0.2847,0.56,5.08,124.9,13.7,0.000,4.333
35,01/28/16 05:35:54 PM,48.227,80.300,0.2847,0.00,1.70,127.8,3.7,0.000,4.333
36,01/28/16 05:45:54 PM,48.360,80.400,0.2847,0.00,1.70,132.0,1.2,0.000,4.333
37,01/28/16 05:55:54 PM,47.826,79.900,0.2847,0.56,3.38,133.4,1.2,0.000,4.327
38,01/28/16 06:05:54 PM,47.422,82.000,0.2847,2.26,5.64,117.9,1.2,0.000,4.321
39,01/28/16 06:15:54 PM,47.199,82.500,0.2847,1.70,5.08,119.3,1.2,0.000,4.321
40,01/28/16 06:25:54 PM,46.841,83.100,0.2847,1.12,4.50,120.7,1.2,0.000,4.321
41,01/28/16 06:35:54 PM,47.244,83.400,0.2847,2.26,6.20,120.7,1.2,0.000,4.321
42,01/28/16 06:45:54 PM,47.557,82.700,0.2847,1.70,4.50,123.5,1.2,0.000,4.321
43,01/28/16 06:55:54 PM,47.064,83.000,0.2847,0.00,3.94,122.1,1.2,0.000,4.321
44,01/28/16 07:05:54 PM,47.557,82.100,0.2847,0.00,2.26,123.5,1.2,0.000,4.321
45,01/28/16 07:15:54 PM,46.931,81.600,0.2847,0.00,1.12,120.7,1.2,0.000,4.315
46,01/28/16 07:25:54 PM,46.571,84.000,0.2847,0.00,1.70,120.7,1.2,0.000,4.315
47,01/28/16 07:35:54 PM,46.301,83.400,0.2844,0.00,0.00,120.7,1.2,0.000,4.315
48,01/28/16 07:45:54 PM,46.166,84.600,0.2847,0.00,1.12,120.7,1.2,0.000,4.309
49,01/28/16 07:55:54 PM,46.391,83.100,0.2847,0.00,1.70,124.9,1.2,0.000,4.309
50,01/28/16 08:05:54 PM,46.256,83.200,0.2847,0.00,0.00,124.9,1.2,0.000,4.303
51,01/28/16 08:15:54 PM,46.661,80.400,0.2847,0.00,0.00,124.9,1.2,0.000,4.327
52,01/28/16 08:25:54 PM,46.796,79.800,0.2844,0.00,0.56,124.9,1.2,0.000,4.333
53,01/28/16 08:35:54 PM,46.796,78.000,0.2847,0.56,2.82,130.6,1.2,0.000,4.321
54,01/28/16 08:45:54 PM,46.121,78.400,0.2844,0.00,2.82,134.8,1.2,0.000,4.303
55,01/28/16 08:55:54 PM,45.896,79.600,0.2844,0.00,1.70,139.0,1.2,0.000,4.303
