"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,06/29/16 01:45:54 PM,82.130,70.700,0.3389,5.64,11.27,141.8,2026.2,,4.357
2,06/29/16 01:55:54 PM,83.556,69.400,0.3471,4.50,10.69,153.0,1591.2,0.000,4.351
3,06/29/16 02:05:54 PM,83.064,70.800,0.3466,5.64,12.39,150.2,1466.2,0.000,4.339
4,06/29/16 02:15:54 PM,83.869,71.100,0.3466,5.64,11.83,154.4,1743.7,0.000,4.357
5,06/29/16 02:25:54 PM,82.218,71.800,0.3461,5.64,12.39,146.0,1771.2,0.000,4.339
6,06/29/16 02:35:54 PM,81.244,74.100,0.3457,6.20,12.95,144.6,1801.2,0.000,4.393
7,06/29/16 02:45:54 PM,79.876,75.800,0.3451,7.90,13.51,136.2,1643.7,0.000,4.345
8,06/29/16 02:55:54 PM,79.963,76.000,0.3447,9.01,15.21,150.2,1583.7,0.000,4.357
9,06/29/16 03:05:54 PM,78.690,77.900,0.3447,7.90,15.77,129.2,958.7,0.000,4.351
10,06/29/16 03:15:54 PM,78.777,79.200,0.3441,9.57,17.47,129.2,1053.7,0.000,4.393
11,06/29/16 03:25:54 PM,77.160,81.200,0.3441,10.13,16.89,141.8,693.7,0.000,4.363
12,06/29/16 03:35:54 PM,78.251,81.200,0.3437,7.90,15.77,146.0,1081.2,0.000,4.345
13,06/29/16 03:45:54 PM,77.945,80.000,0.3432,7.90,17.47,141.8,1286.2,0.000,4.363
14,06/29/16 03:55:54 PM,77.990,81.200,0.3427,9.57,18.03,137.6,1176.2,0.000,4.345
15,06/29/16 04:05:54 PM,77.509,80.900,0.3427,9.01,16.33,129.2,1071.2,0.000,4.363
16,06/29/16 04:15:54 PM,77.639,81.500,0.3422,6.76,12.95,133.4,713.7,0.000,4.351
17,06/29/16 04:25:54 PM,75.420,83.600,0.3422,7.31,15.77,134.8,428.7,0.000,4.339
18,06/29/16 04:35:54 PM,75.029,86.000,0.3422,7.31,16.89,127.8,331.2,0.000,4.357
19,06/29/16 04:45:54 PM,75.204,86.300,0.3422,5.64,12.39,130.6,288.7,0.000,4.345
20,06/29/16 04:55:54 PM,75.074,86.300,0.3422,3.94,10.69,150.2,161.2,0.000,4.357
21,06/29/16 05:05:54 PM,73.947,87.400,0.3418,4.50,15.21,134.8,106.2,0.000,4.351
