"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,06/08/16 02:25:54 PM,77.160,74.000,0.3121,7.90,15.21,136.2,1838.7,,4.339
2,06/08/16 02:35:54 PM,76.986,73.600,0.3187,5.64,13.51,169.9,1668.7,0.000,4.345
3,06/08/16 02:45:54 PM,75.160,74.900,0.3183,3.38,11.27,140.4,933.7,0.000,4.351
4,06/08/16 02:55:54 PM,74.467,77.400,0.3183,4.50,16.89,137.6,771.2,0.000,4.345
5,06/08/16 03:05:54 PM,76.246,78.800,0.3183,3.38,9.01,167.1,986.2,0.000,4.351
6,06/08/16 03:15:54 PM,75.247,77.000,0.3175,6.76,13.51,129.2,1636.2,0.000,4.345
7,06/08/16 03:25:54 PM,75.853,76.000,0.3175,6.76,12.95,130.6,1418.7,0.000,4.363
8,06/08/16 03:35:54 PM,75.333,78.000,0.3171,8.46,14.65,139.0,1218.7,0.000,4.351
9,06/08/16 03:45:54 PM,75.376,76.600,0.3168,7.31,13.51,139.0,1203.7,0.000,4.351
10,06/08/16 03:55:54 PM,75.985,77.400,0.3168,6.76,14.09,143.2,771.2,0.000,4.351
11,06/08/16 04:05:54 PM,75.551,76.200,0.3168,6.20,13.51,151.6,443.7,0.000,4.369
12,06/08/16 04:15:54 PM,73.515,77.100,0.3163,6.20,12.39,158.6,246.2,0.000,4.351
13,06/08/16 04:25:54 PM,73.472,80.100,0.3163,5.08,10.13,141.8,261.2,0.000,4.363
14,06/08/16 04:35:54 PM,73.515,80.500,0.3163,5.64,11.83,133.4,368.7,0.000,4.357
15,06/08/16 04:45:54 PM,74.034,79.200,0.3163,6.76,12.95,137.6,788.7,0.000,4.345
16,06/08/16 04:55:54 PM,73.342,79.800,0.3160,6.76,12.95,137.6,503.7,0.000,4.393
17,06/08/16 05:05:54 PM,73.126,81.800,0.3160,6.76,13.51,126.4,178.7,0.000,4.393
18,06/08/16 05:15:54 PM,72.567,80.200,0.3160,5.64,11.27,130.6,176.2,0.000,4.381
19,06/08/16 05:25:54 PM,72.264,80.800,0.3156,5.64,11.27,140.4,168.7,0.000,4.357
20,06/08/16 05:35:54 PM,72.050,81.700,0.3156,5.64,11.27,140.4,156.2,0.000,4.351
21,06/08/16 05:45:54 PM,71.533,83.500,0.3156,6.20,11.27,139.0,131.2,0.000,4.351
22,06/08/16 05:55:54 PM,71.190,84.300,0.3156,6.76,14.09,137.6,103.7,0.000,4.345
23,06/08/16 06:05:54 PM,71.017,85.100,0.3156,6.20,11.83,132.0,81.2,0.000,4.339
24,06/08/16 06:15:54 PM,70.887,83.500,0.3156,6.20,14.65,130.6,58.7,0.000,4.339
25,06/08/16 06:25:54 PM,70.543,82.900,0.3156,5.64,13.51,127.8,43.7,0.000,4.333
26,06/08/16 06:35:54 PM,70.716,81.600,0.3156,3.94,10.13,115.1,28.7,0.000,4.333
27,06/08/16 06:45:54 PM,70.158,81.600,0.3156,2.26,7.90,113.7,16.2,0.000,4.333
28,06/08/16 06:55:54 PM,69.814,82.600,0.3151,2.82,7.90,115.1,6.2,0.000,4.327
29,06/08/16 07:05:54 PM,70.029,83.400,0.3151,5.08,11.83,134.8,1.2,0.000,4.321
30,06/08/16 07:15:54 PM,69.728,84.300,0.3151,6.20,11.83,127.8,1.2,0.000,4.321
31,06/08/16 07:25:54 PM,69.858,84.900,0.3151,4.50,11.27,126.4,1.2,0.000,4.321
32,06/08/16 07:35:54 PM,69.901,85.400,0.3151,5.08,11.27,124.9,1.2,0.000,4.321
33,06/08/16 07:45:54 PM,70.029,84.700,0.3151,2.26,8.46,120.7,1.2,0.000,4.321
34,06/08/16 07:55:54 PM,69.942,84.500,0.3151,2.26,8.46,115.1,1.2,0.000,4.321
35,06/08/16 08:05:54 PM,69.471,85.200,0.3151,0.00,6.20,101.1,1.2,0.000,4.315
36,06/08/16 08:15:54 PM,69.814,85.200,0.3151,0.56,3.94,126.4,1.2,0.000,4.315
37,06/08/16 08:25:54 PM,69.600,84.600,0.3148,0.56,6.76,112.3,1.2,0.000,4.315
38,06/08/16 08:35:54 PM,69.643,85.200,0.3148,0.00,2.82,101.1,1.2,0.000,4.309
39,06/08/16 08:45:54 PM,69.085,85.800,0.3148,0.00,1.12,101.1,1.2,0.000,4.309
40,06/08/16 08:55:54 PM,68.698,87.500,0.3148,0.00,0.00,103.9,1.2,0.000,4.309
41,06/08/16 09:05:54 PM,69.213,86.500,0.3148,0.00,2.26,108.1,1.2,0.000,4.303
42,06/08/16 09:15:54 PM,70.072,85.300,0.3148,0.56,5.08,103.9,1.2,0.000,4.303
43,06/08/16 09:25:54 PM,69.427,85.400,0.3148,0.56,4.50,115.1,1.2,0.000,4.303
44,06/08/16 09:35:54 PM,69.685,85.300,0.3148,1.12,5.64,92.7,1.2,0.000,4.303
45,06/08/16 09:45:54 PM,69.600,85.600,0.3148,0.00,5.08,181.1,1.2,0.000,4.303
46,06/08/16 09:55:54 PM,69.643,85.900,0.3148,0.56,5.08,126.4,1.2,0.000,4.303
47,06/08/16 10:05:54 PM,69.514,84.600,0.3144,0.00,3.94,178.3,1.2,0.000,4.303
48,06/08/16 10:15:54 PM,69.343,84.900,0.3144,0.00,2.82,112.3,1.2,0.000,4.303
49,06/08/16 10:25:54 PM,68.056,86.800,0.3144,0.00,0.00,113.7,1.2,0.000,4.303
50,06/08/16 10:35:54 PM,69.085,86.700,0.3144,0.00,3.38,110.9,1.2,0.000,4.303
51,06/08/16 10:45:54 PM,69.170,85.400,0.3144,0.00,3.38,120.7,1.2,0.000,4.297
52,06/08/16 10:55:54 PM,68.999,85.200,0.3144,0.00,0.00,127.8,1.2,0.000,4.297
53,06/08/16 11:05:54 PM,67.971,86.500,0.3144,0.00,0.00,127.8,1.2,0.000,4.297
54,06/08/16 11:15:54 PM,67.329,88.800,0.3144,0.00,0.00,127.8,1.2,0.000,4.297
55,06/08/16 11:25:54 PM,66.857,89.500,0.3144,0.00,1.12,127.8,1.2,0.000,4.297
56,06/08/16 11:35:54 PM,67.199,89.500,0.3144,0.00,2.82,129.2,1.2,0.000,4.297
57,06/08/16 11:45:54 PM,67.456,88.600,0.3144,0.56,3.94,139.0,1.2,0.000,4.297
58,06/08/16 11:55:54 PM,66.943,88.800,0.3144,0.00,2.26,139.0,1.2,0.000,4.297
59,06/09/16 12:05:54 AM,66.814,90.200,0.3144,0.00,1.12,137.6,1.2,0.000,4.297
60,06/09/16 12:15:54 AM,66.600,90.600,0.3144,0.00,1.12,137.6,1.2,0.000,4.297
61,06/09/16 12:25:54 AM,66.515,89.800,0.3144,0.00,1.70,137.6,1.2,0.000,4.297
62,06/09/16 12:35:54 AM,65.615,90.900,0.3140,0.00,1.70,137.6,1.2,0.000,4.291
63,06/09/16 12:45:54 AM,66.857,91.000,0.3140,0.56,3.94,133.4,1.2,0.000,4.297
64,06/09/16 12:55:54 AM,66.643,90.500,0.3140,0.00,2.26,140.4,1.2,0.000,4.291
65,06/09/16 01:05:54 AM,67.500,89.800,0.3140,1.12,5.64,129.2,1.2,0.000,4.291
66,06/09/16 01:15:54 AM,66.643,89.000,0.3140,0.00,1.70,84.2,1.2,0.000,4.291
67,06/09/16 01:25:54 AM,66.558,92.400,0.3140,0.00,0.00,43.5,1.2,0.000,4.291
68,06/09/16 01:35:54 AM,65.359,93.400,0.3140,0.00,0.00,88.4,1.2,0.000,4.291
69,06/09/16 01:45:54 AM,65.959,93.900,0.3140,0.00,1.70,120.7,1.2,0.000,4.291
70,06/09/16 01:55:54 AM,65.829,92.800,0.3140,0.00,1.70,140.4,1.2,0.000,4.291
71,06/09/16 02:05:54 AM,65.745,92.600,0.3140,0.00,0.00,140.4,1.2,0.000,4.291
72,06/09/16 02:15:54 AM,65.230,92.700,0.3140,0.00,0.00,140.4,1.2,0.000,4.291
