"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,03/26/16 06:25:54 AM,56.251,56.400,0.2653,0.56,2.26,157.2,61.2,,4.303
2,03/26/16 06:35:54 AM,55.690,56.700,0.2657,0.00,1.70,151.6,96.2,0.000,4.321
3,03/26/16 06:45:54 AM,56.685,57.100,0.2657,0.56,1.70,151.6,158.7,0.000,4.430
4,03/26/16 06:55:54 AM,58.798,55.600,0.2657,0.00,1.70,151.6,226.2,0.000,4.381
5,03/26/16 07:05:54 AM,60.561,55.500,0.2657,0.00,0.00,151.6,298.7,0.000,4.369
6,03/26/16 07:15:54 AM,60.991,54.300,0.2653,0.00,1.12,151.6,383.7,0.000,4.363
7,03/26/16 07:25:54 AM,61.891,52.400,0.2653,0.00,1.12,151.6,396.2,0.000,4.381
8,03/26/16 07:35:54 AM,61.977,51.300,0.2650,0.00,1.12,151.6,426.2,0.000,4.363
9,03/26/16 07:45:54 AM,62.577,52.100,0.2650,0.00,1.70,122.1,518.7,0.000,4.357
10,03/26/16 07:55:54 AM,62.834,52.700,0.2650,0.00,1.70,4.2,596.2,0.000,4.375
11,03/26/16 08:05:54 AM,65.230,52.100,0.2646,0.00,1.70,1.4,683.7,0.000,4.363
12,03/26/16 08:15:54 AM,64.546,50.000,0.2646,0.56,2.82,341.2,758.7,0.000,4.357
13,03/26/16 08:25:54 AM,66.900,48.800,0.2642,0.00,2.82,355.2,791.2,0.000,4.381
14,03/26/16 08:35:54 AM,64.418,49.100,0.2642,1.12,4.50,320.1,848.7,0.000,4.369
15,03/26/16 08:45:54 AM,65.145,49.700,0.2639,0.56,3.94,327.1,926.2,0.000,4.393
16,03/26/16 08:55:54 AM,66.301,48.300,0.2639,1.70,4.50,341.2,1008.7,0.000,4.351
17,03/26/16 09:05:54 AM,67.071,47.800,0.2635,1.12,4.50,331.3,1058.7,0.000,4.387
18,03/26/16 09:15:54 AM,68.614,45.500,0.2635,0.00,2.26,331.3,1131.2,0.000,4.369
19,03/26/16 09:25:54 AM,68.527,44.000,0.2635,1.12,3.94,329.9,1188.7,0.000,4.363
20,03/26/16 09:35:54 AM,68.527,44.800,0.2635,1.70,5.08,332.7,1243.7,0.000,4.351
21,03/26/16 09:45:54 AM,69.514,44.800,0.2632,1.70,5.64,314.5,1293.7,0.000,4.387
22,03/26/16 09:55:54 AM,70.502,43.500,0.2632,1.70,5.64,331.3,1333.7,0.000,4.369
23,03/26/16 10:05:54 AM,71.361,41.800,0.2632,1.70,5.08,320.1,1356.2,0.000,4.363
24,03/26/16 10:15:54 AM,71.490,40.000,0.2628,1.12,4.50,303.2,1418.7,0.000,4.351
25,03/26/16 10:25:54 AM,73.256,41.500,0.2632,1.70,5.64,171.3,1463.7,0.000,4.375
26,03/26/16 10:35:54 AM,74.467,41.500,0.2628,2.26,6.76,205.0,1506.2,0.000,4.363
27,03/26/16 10:45:54 AM,74.597,40.900,0.2628,2.26,7.31,202.2,1533.7,0.000,4.351
28,03/26/16 10:55:54 AM,74.943,40.600,0.2628,2.82,8.46,179.7,1553.7,0.000,4.442
29,03/26/16 11:05:54 AM,74.424,40.400,0.2628,3.94,9.01,189.5,1521.2,0.000,4.363
30,03/26/16 11:15:54 AM,74.683,39.900,0.2628,3.94,10.13,185.3,1516.2,0.000,4.351
31,03/26/16 11:25:54 AM,74.424,39.000,0.2624,3.94,9.57,188.1,1586.2,0.000,4.363
32,03/26/16 11:35:54 AM,75.985,38.400,0.2628,3.38,11.27,200.8,1586.2,0.000,4.357
33,03/26/16 11:45:54 AM,76.593,37.700,0.2628,2.82,8.46,205.0,1588.7,0.000,4.345
34,03/26/16 11:55:54 AM,77.509,37.600,0.2624,3.38,7.90,188.1,1608.7,0.000,4.357
35,03/26/16 12:05:54 PM,75.853,39.600,0.2624,3.94,12.95,189.5,1616.2,0.000,4.351
36,03/26/16 12:15:54 PM,75.898,40.600,0.2621,3.38,9.57,181.1,1606.2,0.000,4.363
37,03/26/16 12:25:54 PM,75.420,41.800,0.2618,4.50,12.39,178.3,1568.7,0.000,4.351
38,03/26/16 12:35:54 PM,76.071,43.300,0.2618,4.50,9.57,192.3,1538.7,0.000,4.345
39,03/26/16 12:45:54 PM,75.029,43.100,0.2615,5.08,10.69,182.5,1563.7,0.000,4.351
40,03/26/16 12:55:54 PM,75.681,44.000,0.2615,5.64,13.51,162.9,1561.2,0.000,4.345
41,03/26/16 01:05:54 PM,76.289,42.800,0.2615,3.94,8.46,193.7,1466.2,0.000,4.363
42,03/26/16 01:15:54 PM,75.594,42.300,0.2615,4.50,10.69,164.3,1523.7,0.000,4.351
43,03/26/16 01:25:54 PM,75.204,43.200,0.2611,5.08,12.39,189.5,1436.2,0.000,4.363
44,03/26/16 01:35:54 PM,74.813,43.500,0.2611,5.08,10.13,182.5,1423.7,0.000,4.351
45,03/26/16 01:45:54 PM,74.943,43.800,0.2607,5.08,12.39,216.2,1386.2,0.000,4.363
46,03/26/16 01:55:54 PM,75.160,44.500,0.2607,5.08,11.83,206.4,1366.2,0.000,4.351
47,03/26/16 02:05:54 PM,75.290,45.000,0.2604,3.94,11.27,190.9,1263.7,0.000,4.357
48,03/26/16 02:15:54 PM,75.029,45.700,0.2604,3.94,11.83,202.2,1166.2,0.000,4.393
49,03/26/16 02:25:54 PM,74.856,46.200,0.2604,3.38,14.09,224.6,1146.2,0.000,4.351
50,03/26/16 02:35:54 PM,74.338,46.900,0.2600,4.50,10.69,176.9,1086.2,0.000,4.369
51,03/26/16 02:45:54 PM,73.645,48.100,0.2600,5.08,14.09,192.3,1006.2,0.000,4.351
52,03/26/16 02:55:54 PM,74.899,48.000,0.2600,2.26,9.57,195.1,938.7,0.000,4.345
53,03/26/16 03:05:54 PM,73.213,47.000,0.2596,5.08,11.83,205.0,901.2,0.000,4.363
54,03/26/16 03:15:54 PM,74.856,47.000,0.2596,3.94,9.01,203.6,838.7,0.000,4.351
55,03/26/16 03:25:54 PM,73.990,45.800,0.2596,3.94,10.69,202.2,788.7,0.000,4.363
56,03/26/16 03:35:54 PM,73.818,45.100,0.2596,2.82,9.01,189.5,736.2,0.000,4.351
57,03/26/16 03:45:54 PM,74.250,44.600,0.2592,1.70,10.13,188.1,683.7,0.000,4.345
58,03/26/16 03:55:54 PM,72.869,44.500,0.2589,4.50,10.13,182.5,626.2,0.000,4.363
59,03/26/16 04:05:54 PM,72.869,44.900,0.2589,3.94,9.57,175.5,558.7,0.000,4.351
60,03/26/16 04:15:54 PM,72.093,44.900,0.2589,3.94,10.69,160.0,481.2,0.000,4.357
61,03/26/16 04:25:54 PM,71.704,45.400,0.2589,5.08,11.27,158.6,398.7,0.000,4.363
62,03/26/16 04:35:54 PM,71.577,45.400,0.2589,5.08,11.27,154.4,398.7,0.000,4.351
63,03/26/16 04:45:54 PM,71.146,45.300,0.2585,4.50,9.57,151.6,323.7,0.000,4.363
64,03/26/16 04:55:54 PM,70.543,45.300,0.2585,5.08,9.57,158.6,256.2,0.000,4.363
65,03/26/16 05:05:54 PM,70.158,45.900,0.2585,4.50,8.46,148.8,168.7,0.000,4.351
66,03/26/16 05:15:54 PM,69.514,46.600,0.2585,2.26,5.64,151.6,146.2,0.000,4.351
67,03/26/16 05:25:54 PM,69.557,47.400,0.2585,1.70,6.20,157.2,111.2,0.000,4.345
68,03/26/16 05:35:54 PM,68.571,45.500,0.2582,1.12,4.50,148.8,78.7,0.000,4.339
69,03/26/16 05:45:54 PM,69.557,44.800,0.2582,1.70,6.20,153.0,56.2,0.000,4.339
70,03/26/16 05:55:54 PM,65.872,47.300,0.2582,1.12,3.94,140.4,38.7,0.000,4.339
71,03/26/16 06:05:54 PM,66.344,47.900,0.2582,1.70,5.08,134.8,18.7,0.000,4.333
72,03/26/16 06:15:54 PM,66.429,44.000,0.2582,2.26,4.50,137.6,6.2,0.000,4.333
73,03/26/16 06:25:54 PM,66.214,41.600,0.2582,2.26,4.50,137.6,1.2,0.000,4.333
74,03/26/16 06:35:54 PM,66.173,39.800,0.2582,2.82,4.50,137.6,1.2,0.000,4.333
75,03/26/16 06:45:54 PM,66.043,37.900,0.2582,2.82,5.08,133.4,1.2,0.000,4.327
76,03/26/16 06:55:54 PM,64.161,40.900,0.2582,3.38,5.08,144.6,1.2,0.000,4.327
77,03/26/16 07:05:54 PM,63.561,43.000,0.2582,2.82,5.08,151.6,1.2,0.000,4.321
78,03/26/16 07:15:54 PM,62.661,43.800,0.2582,2.26,5.08,154.4,1.2,0.000,4.321
79,03/26/16 07:25:54 PM,63.176,44.200,0.2582,2.26,5.08,148.8,1.2,0.000,4.321
80,03/26/16 07:35:54 PM,62.875,44.400,0.2582,3.38,5.08,148.8,1.2,0.000,4.321
81,03/26/16 07:45:54 PM,62.620,46.500,0.2582,2.82,4.50,147.4,1.2,0.000,4.321
82,03/26/16 07:55:54 PM,62.276,48.800,0.2582,2.82,4.50,151.6,1.2,0.000,4.321
83,03/26/16 08:05:54 PM,62.233,48.800,0.2582,2.82,4.50,154.4,1.2,0.000,4.321
84,03/26/16 08:15:54 PM,63.433,46.800,0.2582,2.82,5.08,151.6,1.2,0.000,4.321
85,03/26/16 08:25:54 PM,62.834,46.700,0.2582,2.26,4.50,150.2,1.2,0.000,4.321
86,03/26/16 08:35:54 PM,63.689,45.200,0.2582,2.26,5.08,136.2,1.2,0.000,4.321
87,03/26/16 08:45:54 PM,63.518,45.300,0.2582,2.82,6.20,136.2,1.2,0.000,4.315
88,03/26/16 08:55:54 PM,62.577,46.800,0.2582,2.82,5.08,147.4,1.2,0.000,4.315
89,03/26/16 09:05:54 PM,62.276,48.200,0.2582,2.26,4.50,147.4,1.2,0.000,4.315
90,03/26/16 09:15:54 PM,62.319,47.900,0.2582,2.82,4.50,147.4,1.2,0.000,4.315
91,03/26/16 09:25:54 PM,62.233,48.200,0.2582,2.26,3.38,146.0,1.2,0.000,4.315
92,03/26/16 09:35:54 PM,62.319,48.100,0.2582,2.26,3.94,146.0,1.2,0.000,4.315
93,03/26/16 09:45:54 PM,62.490,48.200,0.2582,2.26,3.94,141.8,1.2,0.000,4.309
94,03/26/16 09:55:54 PM,62.962,48.700,0.2582,1.70,5.08,140.4,1.2,0.000,4.309
95,03/26/16 10:05:54 PM,61.761,50.000,0.2579,2.26,4.50,144.6,1.2,0.000,4.309
