"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,05/18/16 10:35:54 AM,67.028,83.400,0.3622,2.26,7.31,164.3,551.2,,4.339
2,05/18/16 10:45:54 AM,67.242,84.800,0.3671,0.56,5.08,165.7,536.2,0.000,4.339
3,05/18/16 10:55:54 AM,65.188,85.700,0.3666,3.38,8.46,154.4,316.2,0.000,4.393
4,05/18/16 11:05:54 AM,65.872,85.900,0.3666,2.82,9.57,139.0,538.7,0.000,4.369
5,05/18/16 11:15:54 AM,67.028,85.200,0.3666,3.38,9.57,130.6,856.2,0.000,4.363
6,05/18/16 11:25:54 AM,67.798,84.300,0.3660,1.12,5.64,148.8,726.2,0.000,4.351
7,05/18/16 11:35:54 AM,65.530,87.000,0.3655,0.00,3.94,314.5,496.2,0.000,4.363
8,05/18/16 11:45:54 AM,67.028,90.200,0.3655,0.00,1.12,300.4,583.7,0.000,4.351
9,05/18/16 11:55:54 AM,65.829,88.400,0.3655,0.00,4.50,320.1,651.2,0.000,4.357
10,05/18/16 12:05:54 PM,67.158,89.800,0.3649,0.00,2.26,342.6,791.2,0.000,4.363
11,05/18/16 12:15:54 PM,67.456,87.500,0.3649,0.56,4.50,331.3,991.2,0.000,4.351
12,05/18/16 12:25:54 PM,68.099,87.800,0.3643,0.00,1.12,290.6,863.7,0.000,4.369
13,05/18/16 12:35:54 PM,67.798,87.600,0.3643,0.00,2.82,300.4,713.7,0.000,4.363
14,05/18/16 12:45:54 PM,67.627,89.300,0.3643,0.00,2.82,328.5,718.7,0.000,4.369
15,05/18/16 12:55:54 PM,67.757,89.600,0.3638,0.00,2.82,335.5,786.2,0.000,4.357
16,05/18/16 01:05:54 PM,69.386,86.700,0.3638,0.00,1.70,346.8,1011.2,0.000,4.351
17,05/18/16 01:15:54 PM,70.329,83.500,0.3632,0.00,1.70,346.8,988.7,0.000,4.357
18,05/18/16 01:25:54 PM,72.050,83.300,0.3632,1.12,5.08,328.5,1871.2,0.000,4.351
19,05/18/16 01:35:54 PM,71.577,83.500,0.3632,2.26,7.31,329.9,1973.7,0.000,4.357
