"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,09/29/16 12:45:54 PM,75.724,79.500,0.2942,3.38,9.57,122.1,1076.2,,4.321
2,09/29/16 12:55:54 PM,75.290,82.200,0.3252,5.64,10.69,132.0,993.7,0.000,4.387
3,09/29/16 01:05:54 PM,77.902,81.900,0.3249,4.50,10.69,132.0,1366.2,0.000,4.448
4,09/29/16 01:15:54 PM,76.811,78.500,0.3240,4.50,9.57,147.4,1448.7,0.000,4.333
5,09/29/16 01:25:54 PM,76.158,78.200,0.3244,5.08,10.13,126.4,1063.7,0.000,4.357
6,09/29/16 01:35:54 PM,77.292,79.200,0.3244,2.82,6.76,126.4,983.7,0.000,4.333
7,09/29/16 01:45:54 PM,78.559,78.400,0.3235,2.82,9.01,122.1,1301.2,0.000,4.339
8,09/29/16 01:55:54 PM,79.084,75.800,0.3231,2.82,9.57,127.8,1393.7,0.000,4.339
9,09/29/16 02:05:54 PM,79.876,73.900,0.3223,1.12,6.76,127.8,1288.7,0.000,4.393
10,09/29/16 02:15:54 PM,79.567,72.000,0.3223,0.56,3.94,176.9,1008.7,0.000,4.339
11,09/29/16 02:25:54 PM,77.727,75.100,0.3235,1.70,5.64,219.0,891.2,0.000,4.400
12,09/29/16 02:35:54 PM,78.076,77.200,0.3228,0.00,2.82,207.8,891.2,0.000,4.339
13,09/29/16 02:45:54 PM,74.856,80.400,0.3240,1.12,7.31,109.5,401.2,0.000,4.363
14,09/29/16 02:55:54 PM,75.724,80.400,0.3240,2.82,7.31,115.1,678.7,0.000,4.406
15,09/29/16 03:05:54 PM,77.464,77.900,0.3228,2.26,7.31,123.5,1131.2,0.000,4.333
16,09/29/16 03:15:54 PM,77.421,77.300,0.3223,0.56,4.50,99.7,898.7,0.000,4.418
17,09/29/16 03:25:54 PM,77.770,79.000,0.3228,0.00,2.82,303.2,783.7,0.000,4.339
18,09/29/16 03:35:54 PM,76.854,79.500,0.3228,0.00,1.12,311.7,486.2,0.000,4.406
19,09/29/16 03:45:54 PM,75.942,80.200,0.3231,0.00,0.56,311.7,416.2,0.000,4.339
20,09/29/16 03:55:54 PM,77.859,79.000,0.3231,0.00,0.00,311.7,478.7,0.000,4.406
21,09/29/16 04:05:54 PM,75.463,79.900,0.3235,0.00,2.26,352.4,331.2,0.000,4.345
22,09/29/16 04:15:54 PM,74.683,81.100,0.3235,1.70,6.20,150.2,313.7,0.000,4.363
23,09/29/16 04:25:54 PM,73.904,81.700,0.3240,0.56,4.50,133.4,226.2,0.000,4.357
24,09/29/16 04:35:54 PM,73.213,83.400,0.3240,0.00,1.12,117.9,168.7,0.000,4.345
25,09/29/16 04:45:54 PM,73.083,84.500,0.3240,0.56,4.50,122.1,136.2,0.000,4.333
26,09/29/16 04:55:54 PM,72.264,84.100,0.3244,0.56,5.08,151.6,93.7,0.000,4.315
27,09/29/16 05:05:54 PM,71.577,85.500,0.3249,1.12,5.08,151.6,63.7,0.000,4.303
28,09/29/16 05:15:54 PM,71.361,86.700,0.3249,1.70,4.50,146.0,43.7,0.000,4.297
29,09/29/16 05:25:54 PM,71.317,86.700,0.3249,1.12,7.31,133.4,28.7,0.000,4.291
30,09/29/16 05:35:54 PM,70.803,86.100,0.3249,0.00,2.26,119.3,13.7,0.000,4.285
31,09/29/16 05:45:54 PM,70.459,87.200,0.3252,0.00,0.00,101.1,3.7,0.000,4.285
32,09/29/16 05:55:54 PM,69.814,86.900,0.3252,0.00,0.00,101.1,1.2,0.000,4.273
33,09/29/16 06:05:54 PM,68.614,88.600,0.3256,0.00,0.00,101.1,1.2,0.000,4.273
