"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,08/31/16 04:25:54 PM,71.661,86.900,0.2604,3.38,10.13,134.8,116.2,,4.418
2,08/31/16 04:35:54 PM,71.920,87.600,0.2732,2.26,9.57,119.3,193.7,0.000,4.363
3,08/31/16 04:45:54 PM,71.060,87.800,0.2732,1.70,7.31,140.4,146.2,0.000,4.345
4,08/31/16 04:55:54 PM,70.115,89.200,0.2687,2.26,6.20,108.1,103.7,0.000,4.351
5,08/31/16 05:05:54 PM,68.527,93.000,0.2664,4.50,12.39,117.9,103.7,0.063,4.333
6,08/31/16 05:15:54 PM,68.913,93.500,0.2666,3.38,9.57,147.4,31.2,0.008,4.321
7,08/31/16 05:25:54 PM,68.871,93.400,0.2673,1.70,10.13,157.2,11.2,0.000,4.315
8,08/31/16 05:35:54 PM,68.484,93.700,0.2673,1.70,12.39,231.6,8.7,0.008,4.303
9,08/31/16 05:45:54 PM,68.142,94.300,0.2701,6.20,15.77,126.4,13.7,0.031,4.297
10,08/31/16 05:55:54 PM,68.013,93.100,0.2715,8.46,15.77,124.9,13.7,0.008,4.291
11,08/31/16 06:05:54 PM,68.527,92.900,0.2712,5.64,14.09,132.0,8.7,0.008,4.285
12,08/31/16 06:15:54 PM,68.099,93.000,0.2712,0.00,5.08,147.4,3.7,0.000,4.285
13,08/31/16 06:25:54 PM,68.443,93.300,0.2715,1.12,6.76,127.8,1.2,0.000,4.273
14,08/31/16 06:35:54 PM,68.227,93.300,0.2715,2.82,7.90,130.6,1.2,0.000,4.273
15,08/31/16 06:45:54 PM,68.013,93.800,0.2719,1.12,7.90,127.8,1.2,0.000,4.267
16,08/31/16 06:55:54 PM,68.099,94.100,0.2715,0.00,2.26,133.4,1.2,0.000,4.267
17,08/31/16 07:05:54 PM,68.614,94.200,0.2719,0.00,1.12,143.2,1.2,0.000,4.267
18,08/31/16 07:15:54 PM,69.213,93.700,0.2719,0.56,5.08,134.8,1.2,0.000,4.261
19,08/31/16 07:25:54 PM,69.858,92.800,0.2722,0.56,6.20,127.8,1.2,0.000,4.255
20,08/31/16 07:35:54 PM,70.029,91.300,0.2722,1.12,7.31,115.1,1.2,0.000,4.255
21,08/31/16 07:45:54 PM,69.471,91.300,0.2715,0.00,4.50,94.1,1.2,0.000,4.255
22,08/31/16 07:55:54 PM,68.999,92.200,0.2719,0.00,3.38,136.2,1.2,0.000,4.249
23,08/31/16 08:05:54 PM,68.913,93.400,0.2719,0.00,2.26,127.8,1.2,0.000,4.249
24,08/31/16 08:15:54 PM,68.614,94.200,0.2722,0.00,3.94,341.2,1.2,0.000,4.249
25,08/31/16 08:25:54 PM,68.785,94.100,0.2749,1.12,6.20,137.6,1.2,0.031,4.249
26,08/31/16 08:35:54 PM,68.742,93.600,0.2770,0.00,5.08,171.3,1.2,0.016,4.249
27,08/31/16 08:45:54 PM,68.742,93.600,0.2770,1.12,9.57,120.7,1.2,0.000,4.249
28,08/31/16 08:55:54 PM,68.657,93.500,0.2773,0.56,9.01,110.9,1.2,0.000,4.249
29,08/31/16 09:05:54 PM,68.999,94.100,0.2773,1.12,9.01,129.2,1.2,0.000,4.249
30,08/31/16 09:15:54 PM,68.527,93.900,0.2770,1.70,7.31,130.6,1.2,0.000,4.249
31,08/31/16 09:25:54 PM,68.913,94.400,0.2770,2.26,8.46,127.8,1.2,0.000,4.249
32,08/31/16 09:35:54 PM,68.999,93.700,0.2770,1.12,9.01,169.9,1.2,0.000,4.249
33,08/31/16 09:45:54 PM,69.085,93.300,0.2770,1.70,9.01,140.4,1.2,0.000,4.249
34,08/31/16 09:55:54 PM,69.427,92.600,0.2770,2.26,9.57,120.7,1.2,0.000,4.249
35,08/31/16 10:05:54 PM,68.956,92.100,0.2770,1.12,7.31,101.1,1.2,0.000,4.249
36,08/31/16 10:15:54 PM,69.129,92.700,0.2773,0.00,5.64,123.5,1.2,0.000,4.249
37,08/31/16 10:25:54 PM,69.427,92.500,0.2776,1.70,7.90,113.7,1.2,0.000,4.249
38,08/31/16 10:35:54 PM,69.042,92.400,0.2776,1.12,8.46,73.0,1.2,0.000,4.243
39,08/31/16 10:45:54 PM,68.913,92.800,0.2780,0.56,4.50,112.3,1.2,0.000,4.249
40,08/31/16 10:55:54 PM,69.343,92.400,0.2783,2.26,7.31,132.0,1.2,0.000,4.243
41,08/31/16 11:05:54 PM,69.085,92.200,0.2783,2.26,8.46,126.4,1.2,0.000,4.243
42,08/31/16 11:15:54 PM,69.300,92.700,0.2786,3.38,8.46,127.8,1.2,0.000,4.237
43,08/31/16 11:25:54 PM,68.742,92.900,0.2786,1.12,8.46,308.9,1.2,0.000,4.237
44,08/31/16 11:35:54 PM,68.356,93.800,0.2790,0.00,3.38,74.4,1.2,0.000,4.237
45,08/31/16 11:45:54 PM,68.443,94.700,0.2793,0.56,7.90,143.2,1.2,0.000,4.237
46,08/31/16 11:55:54 PM,68.400,95.000,0.2793,1.12,6.76,134.8,1.2,0.000,4.237
47,09/01/16 12:05:54 AM,68.871,95.000,0.2793,0.56,6.76,134.8,1.2,0.000,4.237
48,09/01/16 12:15:54 AM,69.343,94.100,0.2796,0.56,5.64,106.7,1.2,0.000,4.237
49,09/01/16 12:25:54 AM,68.956,93.400,0.2800,0.56,4.50,1.4,1.2,0.000,4.237
50,09/01/16 12:35:54 AM,68.828,93.900,0.2800,1.12,8.46,129.2,1.2,0.000,4.237
51,09/01/16 12:45:54 AM,68.871,94.000,0.2803,0.56,6.76,186.7,1.2,0.000,4.237
52,09/01/16 12:55:54 AM,68.571,93.400,0.2803,2.26,9.01,92.7,1.2,0.000,4.237
53,09/01/16 01:05:54 AM,68.313,94.000,0.2800,1.70,8.46,130.6,1.2,0.000,4.237
54,09/01/16 01:15:54 AM,68.313,94.800,0.2803,1.12,7.31,133.4,1.2,0.000,4.237
55,09/01/16 01:25:54 AM,68.484,94.900,0.2803,1.12,8.46,117.9,1.2,0.000,4.231
56,09/01/16 01:35:54 AM,68.527,94.700,0.2806,0.00,1.70,88.4,1.2,0.000,4.231
57,09/01/16 01:45:54 AM,68.270,94.700,0.2806,0.00,5.64,23.9,1.2,0.000,4.231
58,09/01/16 01:55:54 AM,68.185,95.300,0.2810,0.56,5.08,56.2,1.2,0.000,4.224
59,09/01/16 02:05:54 AM,68.227,95.500,0.2810,1.70,6.76,122.1,1.2,0.000,4.224
60,09/01/16 02:15:54 AM,68.571,95.400,0.2813,1.70,7.90,129.2,1.2,0.000,4.224
61,09/01/16 02:25:54 AM,68.400,94.800,0.2813,0.00,3.94,133.4,1.2,0.000,4.224
62,09/01/16 02:35:54 AM,68.443,94.800,0.2817,0.56,4.50,127.8,1.2,0.000,4.224
63,09/01/16 02:45:54 AM,68.400,94.700,0.2817,1.12,6.20,113.7,1.2,0.000,4.224
64,09/01/16 02:55:54 AM,67.842,95.000,0.2817,0.00,3.94,77.2,1.2,0.000,4.224
65,09/01/16 03:05:54 AM,67.885,95.800,0.2821,0.00,0.00,115.1,1.2,0.000,4.224
66,09/01/16 03:15:54 AM,67.413,96.300,0.2821,0.00,0.00,115.1,1.2,0.000,4.224
