"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,08/23/16 05:15:54 PM,72.523,93.700,0.3286,0.00,0.00,5.6,153.7,,4.303
2,08/23/16 05:25:54 PM,72.610,95.200,0.3486,0.00,0.00,4.2,156.2,0.000,4.321
3,08/23/16 05:35:54 PM,72.351,95.400,0.3486,0.00,1.12,39.3,146.2,0.000,4.321
4,08/23/16 05:45:54 PM,72.394,95.300,0.3486,0.00,0.00,64.6,121.2,0.000,4.303
5,08/23/16 05:55:54 PM,72.351,95.000,0.3486,0.00,0.00,64.6,96.2,0.000,4.291
6,08/23/16 06:05:54 PM,72.093,94.800,0.3486,0.00,0.00,64.6,68.7,0.000,4.279
7,08/23/16 06:15:54 PM,71.447,94.900,0.3486,0.00,0.00,64.6,33.7,0.000,4.273
8,08/23/16 06:25:54 PM,70.974,95.500,0.3486,0.00,0.00,64.6,11.2,0.000,4.267
9,08/23/16 06:35:54 PM,70.502,95.700,0.3486,0.00,0.56,64.6,1.2,0.000,4.261
10,08/23/16 06:45:54 PM,70.072,95.700,0.3481,0.00,0.00,64.6,1.2,0.000,4.255
11,08/23/16 06:55:54 PM,69.985,95.600,0.3486,0.00,2.82,95.5,1.2,0.000,4.249
12,08/23/16 07:05:54 PM,69.728,95.700,0.3481,0.00,2.26,124.9,1.2,0.000,4.249
13,08/23/16 07:15:54 PM,69.814,95.700,0.3481,0.00,2.26,127.8,1.2,0.000,4.249
14,08/23/16 07:25:54 PM,69.386,95.400,0.3481,0.00,1.70,136.2,1.2,0.000,4.249
15,08/23/16 07:35:54 PM,69.514,95.800,0.3481,0.00,1.12,136.2,1.2,0.000,4.243
16,08/23/16 07:45:54 PM,69.685,95.500,0.3481,0.00,3.38,133.4,1.2,0.000,4.237
17,08/23/16 07:55:54 PM,69.514,94.800,0.3481,0.00,2.26,129.2,1.2,0.000,4.237
18,08/23/16 08:05:54 PM,69.471,94.600,0.3481,0.00,2.82,129.2,1.2,0.000,4.237
19,08/23/16 08:15:54 PM,69.858,94.800,0.3481,1.12,2.82,140.4,1.2,0.000,4.231
20,08/23/16 08:25:54 PM,69.386,94.700,0.3481,0.00,2.26,141.8,1.2,0.000,4.224
21,08/23/16 08:35:54 PM,69.213,94.800,0.3481,0.00,1.70,146.0,1.2,0.000,4.224
22,08/23/16 08:45:54 PM,69.427,94.700,0.3476,0.00,2.82,129.2,1.2,0.000,4.224
23,08/23/16 08:55:54 PM,69.300,94.700,0.3476,0.00,1.12,115.1,1.2,0.000,4.224
24,08/23/16 09:05:54 PM,69.427,95.200,0.3476,0.00,2.26,115.1,1.2,0.000,4.224
25,08/23/16 09:15:54 PM,68.999,95.400,0.3476,0.00,1.70,123.5,1.2,0.000,4.224
26,08/23/16 09:25:54 PM,68.956,96.100,0.3476,0.00,0.00,127.8,1.2,0.000,4.224
27,08/23/16 09:35:54 PM,68.742,96.800,0.3476,0.00,0.56,127.8,1.2,0.000,4.224
28,08/23/16 09:45:54 PM,68.614,97.100,0.3476,0.00,0.56,127.8,1.2,0.000,4.224
29,08/23/16 09:55:54 PM,68.571,97.100,0.3476,0.00,0.56,127.8,1.2,0.000,4.218
30,08/23/16 10:05:54 PM,68.828,97.000,0.3476,0.00,0.00,127.8,1.2,0.000,4.218
31,08/23/16 10:15:54 PM,69.042,97.000,0.3476,0.00,0.00,127.8,1.2,0.000,4.218
32,08/23/16 10:25:54 PM,69.300,97.200,0.3476,0.00,1.70,127.8,1.2,0.000,4.218
33,08/23/16 10:35:54 PM,68.999,97.400,0.3476,0.00,0.00,127.8,1.2,0.000,4.218
34,08/23/16 10:45:54 PM,69.170,97.600,0.3471,0.00,0.00,127.8,1.2,0.000,4.218
35,08/23/16 10:55:54 PM,69.213,97.200,0.3476,0.00,0.00,127.8,1.2,0.000,4.218
36,08/23/16 11:05:54 PM,69.300,97.000,0.3476,0.00,0.00,127.8,1.2,0.000,4.212
37,08/23/16 11:15:54 PM,69.514,97.000,0.3471,0.00,0.00,127.8,1.2,0.000,4.212
38,08/23/16 11:25:54 PM,69.557,97.400,0.3471,0.00,0.00,127.8,1.2,0.000,4.212
39,08/23/16 11:35:54 PM,69.643,97.300,0.3476,0.00,0.00,127.8,1.2,0.000,4.212
40,08/23/16 11:45:54 PM,69.771,97.400,0.3471,0.00,0.00,127.8,1.2,0.000,4.212
