"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,08/03/16 02:35:54 PM,81.642,69.800,0.3573,2.82,7.31,147.4,636.2,,4.339
2,08/03/16 02:45:54 PM,82.042,71.800,0.3769,2.82,6.76,174.1,848.7,0.000,4.339
3,08/03/16 02:55:54 PM,84.812,72.000,0.3769,1.70,6.20,174.1,1073.7,0.000,4.339
4,08/03/16 03:05:54 PM,81.509,70.400,0.3762,2.82,6.76,169.9,848.7,0.000,4.339
5,08/03/16 03:15:54 PM,81.597,73.100,0.3762,2.82,7.31,139.0,973.7,0.000,4.351
6,08/03/16 03:25:54 PM,82.976,71.500,0.3758,2.26,6.20,113.7,1036.2,0.000,4.345
7,08/03/16 03:35:54 PM,82.708,66.200,0.3751,1.70,5.64,113.7,1051.2,0.000,4.381
8,08/03/16 03:45:54 PM,82.665,66.100,0.3751,2.26,7.90,151.6,918.7,0.000,4.351
9,08/03/16 03:55:54 PM,82.218,66.700,0.3751,1.70,7.31,164.3,596.2,0.000,4.381
10,08/03/16 04:05:54 PM,80.890,68.600,0.3746,2.26,6.76,119.3,528.7,0.000,4.393
11,08/03/16 04:15:54 PM,79.524,69.600,0.3740,2.26,8.46,147.4,283.7,0.000,4.363
12,08/03/16 04:25:54 PM,80.713,71.000,0.3746,2.26,7.90,148.8,228.7,0.000,4.375
13,08/03/16 04:35:54 PM,83.332,68.200,0.3740,1.12,5.08,169.9,891.2,0.000,4.339
14,08/03/16 04:45:54 PM,82.175,67.400,0.3734,2.26,6.76,165.7,791.2,0.000,4.369
15,08/03/16 04:55:54 PM,81.333,67.800,0.3734,1.12,5.64,165.7,563.7,0.000,4.345
16,08/03/16 05:05:54 PM,83.242,66.700,0.3734,0.56,4.50,155.8,666.2,0.000,4.375
17,08/03/16 05:15:54 PM,81.554,65.000,0.3729,1.12,5.64,158.6,576.2,0.000,4.363
18,08/03/16 05:25:54 PM,79.041,68.700,0.3729,2.82,7.90,162.9,186.2,0.000,4.357
19,08/03/16 05:35:54 PM,77.990,70.400,0.3729,3.94,9.57,161.5,148.7,0.000,4.345
