"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,04/06/16 03:15:54 PM,70.201,75.500,0.2824,7.31,10.13,99.7,498.7,,4.381
2,04/06/16 03:25:54 PM,69.771,75.300,0.2834,7.31,13.51,129.2,438.7,0.000,4.351
3,04/06/16 03:35:54 PM,70.072,75.300,0.2834,3.38,15.21,141.8,323.7,0.000,4.357
4,04/06/16 03:45:54 PM,69.386,75.300,0.2834,5.64,16.89,105.3,278.7,0.000,4.351
5,04/06/16 03:55:54 PM,69.514,76.000,0.2834,3.94,17.47,71.6,266.2,0.000,4.369
6,04/06/16 04:05:54 PM,69.170,75.500,0.2834,3.38,9.57,355.2,233.7,0.000,4.357
7,04/06/16 04:15:54 PM,69.129,75.100,0.2830,2.26,8.46,301.8,186.2,0.000,4.351
8,04/06/16 04:25:54 PM,68.571,76.100,0.2830,3.94,13.51,328.5,161.2,0.000,4.363
9,04/06/16 04:35:54 PM,68.484,77.600,0.2830,1.70,9.01,349.6,146.2,0.000,4.351
10,04/06/16 04:45:54 PM,68.443,77.400,0.2834,2.82,12.95,84.2,138.7,0.000,4.357
11,04/06/16 04:55:54 PM,68.270,77.900,0.2830,1.12,7.31,339.7,93.7,0.000,4.351
12,04/06/16 05:05:54 PM,68.013,77.500,0.2830,1.12,9.01,293.4,86.2,0.000,4.345
13,04/06/16 05:15:54 PM,67.671,77.900,0.2830,1.70,9.01,95.5,58.7,0.000,4.339
14,04/06/16 05:25:54 PM,67.413,78.900,0.2830,2.82,14.65,143.2,71.2,0.000,4.339
15,04/06/16 05:35:54 PM,67.456,80.200,0.2830,6.20,19.15,120.7,53.7,0.000,4.339
