"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,07/20/16 03:15:54 PM,72.136,100.000,0.4102,0.00,6.76,324.3,433.7,,4.333
2,07/20/16 03:25:54 PM,72.523,100.000,0.4229,1.12,5.64,154.4,258.7,0.000,4.363
3,07/20/16 03:35:54 PM,72.653,100.000,0.4222,0.00,1.12,186.7,183.7,0.000,4.393
4,07/20/16 03:45:54 PM,72.955,100.000,0.4222,0.00,0.00,185.3,366.2,0.000,4.351
5,07/20/16 03:55:54 PM,73.515,100.000,0.4214,0.00,0.00,185.3,438.7,0.000,4.430
6,07/20/16 04:05:54 PM,73.472,98.400,0.4214,0.00,1.70,185.3,343.7,0.000,4.357
7,07/20/16 04:15:54 PM,74.077,96.200,0.4209,0.00,2.82,183.9,431.2,0.000,4.406
8,07/20/16 04:25:54 PM,74.034,93.900,0.4209,0.00,3.38,150.2,366.2,0.000,4.357
9,07/20/16 04:35:54 PM,73.602,93.300,0.4202,0.00,3.38,141.8,311.2,0.000,4.345
10,07/20/16 04:45:54 PM,71.533,95.200,0.4202,0.00,2.82,331.3,306.2,0.000,4.363
11,07/20/16 04:55:54 PM,72.050,96.800,0.4195,0.00,1.12,335.5,223.7,0.000,4.351
12,07/20/16 05:05:54 PM,71.661,97.100,0.4195,0.00,0.00,335.5,138.7,0.000,4.357
13,07/20/16 05:15:54 PM,71.620,96.500,0.4195,0.00,0.00,335.5,136.2,0.000,4.363
14,07/20/16 05:25:54 PM,71.490,96.000,0.4188,0.00,0.00,335.5,168.7,0.000,4.369
15,07/20/16 05:35:54 PM,71.661,95.600,0.4188,0.00,0.00,335.5,113.7,0.000,4.351
16,07/20/16 05:45:54 PM,71.190,95.900,0.4181,0.00,0.00,335.5,63.7,0.000,4.339
17,07/20/16 05:55:54 PM,71.017,96.100,0.4181,0.00,0.00,335.5,43.7,0.000,4.339
18,07/20/16 06:05:54 PM,70.716,96.300,0.4174,0.00,0.00,335.5,36.2,0.000,4.333
19,07/20/16 06:15:54 PM,70.286,97.100,0.4174,0.00,0.00,349.6,21.2,0.000,4.327
20,07/20/16 06:25:54 PM,70.029,97.600,0.4188,0.00,0.00,320.1,13.7,0.000,4.321
21,07/20/16 06:35:54 PM,70.158,97.500,0.4181,1.12,6.76,119.3,8.7,0.000,4.321
22,07/20/16 06:45:54 PM,69.942,96.700,0.4174,0.56,3.94,99.7,3.7,0.000,4.339
23,07/20/16 06:55:54 PM,69.814,96.400,0.4169,0.00,3.94,85.6,1.2,0.000,4.309
24,07/20/16 07:05:54 PM,69.600,96.800,0.4162,0.00,2.26,14.0,1.2,0.000,4.303
25,07/20/16 07:15:54 PM,69.386,98.100,0.4162,0.00,0.00,346.8,1.2,0.000,4.303
26,07/20/16 07:25:54 PM,69.256,98.600,0.4162,0.00,0.00,346.8,1.2,0.000,4.303
27,07/20/16 07:35:54 PM,69.085,98.900,0.4169,0.00,0.00,346.8,1.2,0.000,4.297
28,07/20/16 07:45:54 PM,68.742,99.300,0.4169,0.00,0.00,346.8,1.2,0.000,4.297
29,07/20/16 07:55:54 PM,68.698,99.500,0.4169,0.00,0.00,346.8,1.2,0.000,4.291
30,07/20/16 08:05:54 PM,68.527,99.600,0.4162,0.00,0.56,346.8,1.2,0.000,4.291
31,07/20/16 08:15:54 PM,68.527,99.500,0.4162,0.00,0.56,74.4,1.2,0.000,4.291
32,07/20/16 08:25:54 PM,68.400,99.400,0.4162,0.00,1.12,99.7,1.2,0.000,4.291
33,07/20/16 08:35:54 PM,69.728,98.600,0.4155,1.70,5.64,136.2,1.2,0.000,4.291
34,07/20/16 08:45:54 PM,69.858,97.200,0.4155,2.26,6.20,136.2,1.2,0.000,4.285
35,07/20/16 08:55:54 PM,69.814,96.600,0.4155,0.56,5.08,136.2,1.2,0.000,4.285
36,07/20/16 09:05:54 PM,69.728,96.500,0.4155,0.56,3.94,139.0,1.2,0.000,4.285
37,07/20/16 09:15:54 PM,69.386,96.700,0.4148,0.00,5.64,144.6,1.2,0.000,4.285
38,07/20/16 09:25:54 PM,68.956,98.000,0.4148,0.00,2.26,150.2,1.2,0.000,4.285
39,07/20/16 09:35:54 PM,68.871,99.100,0.4148,0.00,0.00,157.2,1.2,0.000,4.285
40,07/20/16 09:45:54 PM,68.698,99.600,0.4148,0.00,0.00,157.2,1.2,0.000,4.279
41,07/20/16 09:55:54 PM,68.785,99.900,0.4141,0.00,0.00,157.2,1.2,0.000,4.279
42,07/20/16 10:05:54 PM,68.742,100.000,0.4148,0.00,0.56,157.2,1.2,0.000,4.279
43,07/20/16 10:15:54 PM,68.828,100.000,0.4162,0.00,0.00,157.2,1.2,0.000,4.273
44,07/20/16 10:25:54 PM,68.828,100.000,0.4169,0.00,0.00,157.2,1.2,0.008,4.273
45,07/20/16 10:35:54 PM,68.871,100.000,0.4169,0.56,3.94,148.8,1.2,0.000,4.273
46,07/20/16 10:45:54 PM,69.170,100.000,0.4174,0.56,3.94,123.5,1.2,0.008,4.273
47,07/20/16 10:55:54 PM,68.785,99.700,0.4174,0.00,0.00,126.4,1.2,0.000,4.273
48,07/20/16 11:05:54 PM,68.614,99.700,0.4181,0.00,0.56,157.2,1.2,0.008,4.273
49,07/20/16 11:15:54 PM,68.484,100.000,0.4174,0.00,0.00,157.2,1.2,0.008,4.267
50,07/20/16 11:25:54 PM,68.443,100.000,0.4181,0.00,0.00,157.2,1.2,0.000,4.267
51,07/20/16 11:35:54 PM,68.614,100.000,0.4195,0.00,0.00,157.2,1.2,0.000,4.267
52,07/20/16 11:45:54 PM,69.042,100.000,0.4195,1.12,5.08,127.8,1.2,0.000,4.267
53,07/20/16 11:55:54 PM,68.828,99.800,0.4209,0.56,4.50,143.2,1.2,0.000,4.267
54,07/21/16 12:05:54 AM,68.871,99.500,0.4209,1.12,5.64,134.8,1.2,0.008,4.267
55,07/21/16 12:15:54 AM,68.913,99.200,0.4209,0.56,4.50,143.2,1.2,0.000,4.267
56,07/21/16 12:25:54 AM,68.571,99.000,0.4209,0.00,6.20,148.8,1.2,0.000,4.267
57,07/21/16 12:35:54 AM,68.527,99.500,0.4209,0.56,5.64,136.2,1.2,0.000,4.267
58,07/21/16 12:45:54 AM,68.657,99.500,0.4202,1.70,5.64,129.2,1.2,0.000,4.267
59,07/21/16 12:55:54 AM,68.828,99.000,0.4195,1.12,4.50,126.4,1.2,0.000,4.267
60,07/21/16 01:05:54 AM,68.356,98.500,0.4195,0.00,3.38,103.9,1.2,0.000,4.267
61,07/21/16 01:15:54 AM,68.270,99.100,0.4188,0.00,2.82,92.7,1.2,0.000,4.267
62,07/21/16 01:25:54 AM,68.056,99.600,0.4188,0.00,0.00,103.9,1.2,0.000,4.267
63,07/21/16 01:35:54 AM,67.971,99.900,0.4188,0.00,0.00,103.9,1.2,0.000,4.267
64,07/21/16 01:45:54 AM,68.185,100.000,0.4181,0.00,1.12,102.5,1.2,0.000,4.267
65,07/21/16 01:55:54 AM,67.971,100.000,0.4181,0.00,0.00,26.7,1.2,0.000,4.267
66,07/21/16 02:05:54 AM,67.885,100.000,0.4174,0.00,0.00,26.7,1.2,0.000,4.267
67,07/21/16 02:15:54 AM,68.013,100.000,0.4174,0.00,0.00,26.7,1.2,0.000,4.261
68,07/21/16 02:25:54 AM,68.056,100.000,0.4174,0.00,0.00,26.7,1.2,0.000,4.261
69,07/21/16 02:35:54 AM,68.142,100.000,0.4174,0.00,0.00,26.7,1.2,0.000,4.261
70,07/21/16 02:45:54 AM,68.185,100.000,0.4169,0.00,0.00,26.7,1.2,0.000,4.261
71,07/21/16 02:55:54 AM,68.227,100.000,0.4169,0.00,0.00,26.7,1.2,0.000,4.261
72,07/21/16 03:05:54 AM,68.484,100.000,0.4162,0.00,4.50,59.0,1.2,0.000,4.261
73,07/21/16 03:15:54 AM,68.614,100.000,0.4162,0.00,3.38,136.2,1.2,0.000,4.261
74,07/21/16 03:25:54 AM,68.571,100.000,0.4155,0.00,3.38,141.8,1.2,0.000,4.261
75,07/21/16 03:35:54 AM,68.400,99.800,0.4155,0.00,0.00,124.9,1.2,0.000,4.261
76,07/21/16 03:45:54 AM,68.400,99.800,0.4155,0.00,0.56,124.9,1.2,0.000,4.261
77,07/21/16 03:55:54 AM,68.142,100.000,0.4148,0.00,0.00,124.9,1.2,0.000,4.255
78,07/21/16 04:05:54 AM,68.013,100.000,0.4148,0.00,0.00,124.9,1.2,0.000,4.267
79,07/21/16 04:15:54 AM,68.056,100.000,0.4148,0.00,0.00,124.9,1.2,0.000,4.285
80,07/21/16 04:25:54 AM,68.013,100.000,0.4148,0.00,0.00,124.9,1.2,0.000,4.279
81,07/21/16 04:35:54 AM,68.056,100.000,0.4148,0.00,0.00,124.9,1.2,0.000,4.261
82,07/21/16 04:45:54 AM,68.013,100.000,0.4148,0.00,0.00,124.9,1.2,0.000,4.255
83,07/21/16 04:55:54 AM,68.099,100.000,0.4148,0.00,0.00,124.9,1.2,0.000,4.255
84,07/21/16 05:05:54 AM,68.099,100.000,0.4169,0.00,0.00,124.9,1.2,0.000,4.255
85,07/21/16 05:15:54 AM,67.971,100.000,0.4162,0.00,0.00,124.9,1.2,0.000,4.255
86,07/21/16 05:25:54 AM,68.056,100.000,0.4162,0.00,0.00,124.9,3.7,0.000,4.255
87,07/21/16 05:35:54 AM,68.142,100.000,0.4162,0.00,0.56,124.9,11.2,0.000,4.255
88,07/21/16 05:45:54 AM,68.484,100.000,0.4162,0.56,3.38,126.4,16.2,0.000,4.255
89,07/21/16 05:55:54 AM,68.443,100.000,0.4162,2.26,7.31,122.1,28.7,0.000,4.255
90,07/21/16 06:05:54 AM,68.400,100.000,0.4155,1.12,6.20,105.3,28.7,0.000,4.255
91,07/21/16 06:15:54 AM,68.614,100.000,0.4155,0.00,2.26,81.4,53.7,0.000,4.255
92,07/21/16 06:25:54 AM,68.828,100.000,0.4148,0.00,3.38,59.0,56.2,0.000,4.255
93,07/21/16 06:35:54 AM,68.356,100.000,0.4148,0.00,2.26,0.0,43.7,0.000,4.255
94,07/21/16 06:45:54 AM,68.484,100.000,0.4141,0.00,1.70,297.6,48.7,0.000,4.255
95,07/21/16 06:55:54 AM,68.443,100.000,0.4141,0.00,1.70,297.6,36.2,0.000,4.255
96,07/21/16 07:05:54 AM,68.356,100.000,0.4141,0.00,0.56,297.6,51.2,0.000,4.255
