"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,06/16/16 02:35:54 PM,78.208,81.200,0.3252,0.56,3.38,314.5,1018.7,,4.321
2,06/16/16 02:45:54 PM,78.514,80.100,0.3321,1.12,5.08,307.5,1366.2,0.000,4.400
3,06/16/16 02:55:54 PM,77.464,79.700,0.3321,1.12,4.50,315.9,1086.2,0.000,4.357
4,06/16/16 03:05:54 PM,80.008,79.700,0.3317,0.56,3.38,313.1,1161.2,0.000,4.339
5,06/16/16 03:15:54 PM,77.770,76.400,0.3317,1.70,5.08,341.2,1268.7,0.000,4.363
6,06/16/16 03:25:54 PM,79.743,76.400,0.3312,0.56,4.50,349.6,1251.2,0.000,4.345
7,06/16/16 03:35:54 PM,78.559,75.400,0.3312,1.12,4.50,321.5,993.7,0.000,4.393
8,06/16/16 03:45:54 PM,78.033,75.700,0.3312,0.56,3.94,339.7,856.2,0.000,4.351
9,06/16/16 03:55:54 PM,77.639,76.700,0.3308,0.00,1.12,1.4,323.7,0.000,4.363
10,06/16/16 04:05:54 PM,76.289,77.000,0.3308,1.12,7.31,117.9,291.2,0.000,4.351
11,06/16/16 04:15:54 PM,75.463,78.500,0.3308,3.38,8.46,161.5,341.2,0.000,4.339
12,06/16/16 04:25:54 PM,75.853,79.400,0.3308,3.94,9.01,155.8,463.7,0.000,4.357
13,06/16/16 04:35:54 PM,76.158,77.800,0.3304,2.82,9.01,151.6,593.7,0.000,4.345
14,06/16/16 04:45:54 PM,76.071,77.200,0.3304,1.70,6.76,158.6,513.7,0.000,4.381
15,06/16/16 04:55:54 PM,75.810,78.700,0.3304,2.26,6.76,143.2,351.2,0.000,4.345
16,06/16/16 05:05:54 PM,75.074,79.500,0.3304,1.70,5.08,144.6,228.7,0.000,4.363
17,06/16/16 05:15:54 PM,74.683,80.000,0.3304,1.70,6.76,148.8,246.2,0.000,4.381
18,06/16/16 05:25:54 PM,73.602,81.200,0.3299,3.38,9.01,154.4,163.7,0.000,4.351
19,06/16/16 05:35:54 PM,73.040,81.800,0.3299,5.08,11.27,133.4,116.2,0.000,4.393
20,06/16/16 05:45:54 PM,72.869,82.200,0.3299,3.94,10.13,143.2,113.7,0.000,4.357
21,06/16/16 05:55:54 PM,72.653,83.200,0.3299,3.94,9.01,141.8,73.7,0.000,4.345
22,06/16/16 06:05:54 PM,72.394,83.800,0.3299,3.38,7.90,143.2,43.7,0.000,4.339
23,06/16/16 06:15:54 PM,72.610,83.900,0.3295,2.26,5.64,150.2,56.2,0.000,4.339
24,06/16/16 06:25:54 PM,72.610,82.900,0.3295,1.70,6.76,133.4,33.7,0.000,4.333
25,06/16/16 06:35:54 PM,72.912,81.600,0.3295,3.38,9.57,133.4,21.2,0.000,4.327
26,06/16/16 06:45:54 PM,72.093,81.700,0.3295,2.26,7.90,139.0,8.7,0.000,4.321
27,06/16/16 06:55:54 PM,71.964,83.500,0.3295,0.56,4.50,158.6,3.7,0.000,4.321
28,06/16/16 07:05:54 PM,71.190,83.400,0.3290,0.00,0.00,151.6,1.2,0.000,4.321
29,06/16/16 07:15:54 PM,70.630,84.800,0.3290,0.00,0.00,151.6,1.2,0.000,4.321
30,06/16/16 07:25:54 PM,70.846,84.900,0.3295,1.12,5.64,139.0,1.2,0.000,4.315
