"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,04/27/16 12:25:54 PM,71.146,73.100,0.3175,2.26,7.90,251.3,411.2,,4.375
2,04/27/16 12:35:54 PM,70.716,75.400,0.3204,2.26,7.31,101.1,381.2,0.000,4.351
3,04/27/16 12:45:54 PM,71.661,76.100,0.3204,1.70,8.46,136.2,561.2,0.000,4.351
4,04/27/16 12:55:54 PM,69.858,76.000,0.3204,6.76,15.21,133.4,596.2,0.000,4.357
5,04/27/16 01:05:54 PM,69.685,77.900,0.3199,5.64,13.51,117.9,471.2,0.000,4.357
6,04/27/16 01:15:54 PM,70.201,77.900,0.3204,2.82,11.83,181.1,398.7,0.000,4.357
7,04/27/16 01:25:54 PM,70.201,77.400,0.3199,2.82,11.27,176.9,456.2,0.000,4.363
8,04/27/16 01:35:54 PM,69.728,77.900,0.3199,2.82,10.13,130.6,286.2,0.000,4.357
9,04/27/16 01:45:54 PM,69.985,77.900,0.3199,4.50,16.33,134.8,496.2,0.000,4.363
10,04/27/16 01:55:54 PM,69.427,78.400,0.3195,7.90,15.21,139.0,563.7,0.000,4.363
11,04/27/16 02:05:54 PM,69.300,79.100,0.3195,5.08,15.77,134.8,348.7,0.000,4.351
12,04/27/16 02:15:54 PM,69.213,79.300,0.3195,5.08,14.09,139.0,281.2,0.000,4.363
13,04/27/16 02:25:54 PM,69.042,79.400,0.3195,6.76,14.65,119.3,413.7,0.000,4.357
14,04/27/16 02:35:54 PM,69.042,80.000,0.3195,9.01,22.53,115.1,451.2,0.000,4.351
15,04/27/16 02:45:54 PM,69.085,80.500,0.3195,7.90,18.59,137.6,463.7,0.000,4.363
16,04/27/16 02:55:54 PM,69.256,80.300,0.3195,6.20,17.47,146.0,518.7,0.000,4.351
17,04/27/16 03:05:54 PM,68.698,80.900,0.3192,7.31,20.85,106.7,413.7,0.000,4.363
18,04/27/16 03:15:54 PM,68.785,81.300,0.3192,7.31,22.53,123.5,436.2,0.000,4.369
19,04/27/16 03:25:54 PM,68.913,81.400,0.3192,9.01,19.15,127.8,466.2,0.000,4.393
20,04/27/16 03:35:54 PM,68.698,81.800,0.3192,7.90,21.41,126.4,433.7,0.000,4.357
21,04/27/16 03:45:54 PM,68.657,81.400,0.3187,10.13,17.47,127.8,563.7,0.000,4.357
22,04/27/16 03:55:54 PM,68.742,81.800,0.3192,9.01,16.33,120.7,381.2,0.000,4.357
23,04/27/16 04:05:54 PM,68.313,81.300,0.3187,9.57,18.59,130.6,398.7,0.000,4.351
24,04/27/16 04:15:54 PM,68.400,82.500,0.3187,7.31,16.33,136.2,241.2,0.000,4.363
25,04/27/16 04:25:54 PM,68.400,82.600,0.3187,9.01,18.03,139.0,256.2,0.000,4.351
26,04/27/16 04:35:54 PM,68.698,81.900,0.3183,6.20,12.39,133.4,273.7,0.000,4.363
27,04/27/16 04:45:54 PM,68.142,81.800,0.3187,6.20,16.33,117.9,191.2,0.000,4.351
28,04/27/16 04:55:54 PM,68.185,82.900,0.3187,6.20,14.09,124.9,173.7,0.000,4.363
29,04/27/16 05:05:54 PM,68.099,83.100,0.3187,5.08,13.51,123.5,113.7,0.000,4.357
30,04/27/16 05:15:54 PM,68.013,83.100,0.3187,5.64,12.39,98.3,106.2,0.000,4.351
31,04/27/16 05:25:54 PM,67.798,83.600,0.3187,6.20,16.89,117.9,98.7,0.000,4.351
32,04/27/16 05:35:54 PM,67.842,84.700,0.3187,3.94,12.95,96.9,56.2,0.000,4.345
33,04/27/16 05:45:54 PM,67.714,84.400,0.3187,5.64,12.95,140.4,66.2,0.000,4.339
34,04/27/16 05:55:54 PM,67.714,84.300,0.3187,5.08,14.65,133.4,23.7,0.000,4.339
35,04/27/16 06:05:54 PM,67.671,84.400,0.3187,1.70,9.57,103.9,16.2,0.000,4.333
36,04/27/16 06:15:54 PM,67.627,84.800,0.3187,1.12,7.31,106.7,8.7,0.000,4.333
37,04/27/16 06:25:54 PM,67.456,84.800,0.3187,0.56,5.64,18.3,1.2,0.000,4.333
38,04/27/16 06:35:54 PM,67.242,85.100,0.3187,0.56,5.64,53.3,1.2,0.000,4.327
39,04/27/16 06:45:54 PM,67.199,83.300,0.3187,3.94,9.57,122.1,1.2,0.000,4.321
40,04/27/16 06:55:54 PM,67.372,82.800,0.3187,3.94,10.13,120.7,1.2,0.000,4.321
41,04/27/16 07:05:54 PM,67.586,83.400,0.3187,5.08,11.83,129.2,1.2,0.000,4.321
42,04/27/16 07:15:54 PM,67.798,82.700,0.3187,4.50,9.57,124.9,1.2,0.000,4.321
43,04/27/16 07:25:54 PM,67.586,83.500,0.3187,3.94,15.21,130.6,1.2,0.000,4.321
44,04/27/16 07:35:54 PM,67.627,84.900,0.3187,3.38,9.57,129.2,1.2,0.000,4.321
45,04/27/16 07:45:54 PM,67.329,84.900,0.3187,2.26,9.57,129.2,1.2,0.000,4.315
46,04/27/16 07:55:54 PM,67.329,85.800,0.3187,1.12,6.20,130.6,1.2,0.000,4.315
47,04/27/16 08:05:54 PM,67.372,85.500,0.3187,1.70,7.90,120.7,1.2,0.000,4.315
48,04/27/16 08:15:54 PM,67.456,85.200,0.3187,3.38,9.01,136.2,1.2,0.000,4.309
49,04/27/16 08:25:54 PM,67.500,84.300,0.3187,2.82,8.46,122.1,1.2,0.000,4.309
50,04/27/16 08:35:54 PM,67.456,84.100,0.3187,2.26,7.90,137.6,1.2,0.000,4.309
51,04/27/16 08:45:54 PM,67.028,84.300,0.3187,3.94,10.13,137.6,1.2,0.000,4.309
52,04/27/16 08:55:54 PM,67.500,83.800,0.3187,5.08,11.27,124.9,1.2,0.000,4.303
53,04/27/16 09:05:54 PM,67.543,82.500,0.3187,4.50,14.09,117.9,1.2,0.000,4.303
54,04/27/16 09:15:54 PM,67.199,82.900,0.3187,2.82,6.76,133.4,1.2,0.000,4.303
55,04/27/16 09:25:54 PM,67.500,82.600,0.3187,3.94,10.13,126.4,1.2,0.000,4.303
56,04/27/16 09:35:54 PM,67.158,82.900,0.3187,1.12,7.90,140.4,1.2,0.000,4.303
57,04/27/16 09:45:54 PM,67.372,84.000,0.3187,3.38,12.39,113.7,1.2,0.000,4.303
58,04/27/16 09:55:54 PM,67.285,84.800,0.3187,3.38,9.57,120.7,1.2,0.000,4.303
59,04/27/16 10:05:54 PM,67.028,85.700,0.3187,2.26,9.57,127.8,1.2,0.000,4.303
60,04/27/16 10:15:54 PM,66.985,86.400,0.3187,2.82,6.76,126.4,1.2,0.000,4.297
61,04/27/16 10:25:54 PM,66.900,86.100,0.3187,0.56,5.08,140.4,1.2,0.000,4.297
62,04/27/16 10:35:54 PM,66.814,86.500,0.3187,2.26,7.90,127.8,1.2,0.000,4.297
63,04/27/16 10:45:54 PM,66.729,86.500,0.3187,2.82,7.90,133.4,1.2,0.000,4.297
64,04/27/16 10:55:54 PM,67.071,86.400,0.3187,2.26,8.46,127.8,1.2,0.000,4.297
65,04/27/16 11:05:54 PM,67.199,85.500,0.3187,1.70,6.76,129.2,1.2,0.000,4.297
66,04/27/16 11:15:54 PM,65.059,85.600,0.3187,0.00,2.82,122.1,1.2,0.000,4.297
67,04/27/16 11:25:54 PM,64.074,90.900,0.3187,0.00,2.26,320.1,1.2,0.000,4.297
68,04/27/16 11:35:54 PM,63.518,92.700,0.3187,0.00,0.00,318.7,1.2,0.000,4.297
69,04/27/16 11:45:54 PM,63.561,93.400,0.3187,0.00,0.00,265.3,1.2,0.000,4.297
70,04/27/16 11:55:54 PM,64.074,92.800,0.3183,0.00,0.00,216.2,1.2,0.000,4.297
71,04/28/16 12:05:54 AM,64.546,91.400,0.3187,0.00,0.00,216.2,1.2,0.000,4.297
72,04/28/16 12:15:54 AM,64.803,90.600,0.3187,0.00,0.00,216.2,1.2,0.000,4.291
73,04/28/16 12:25:54 AM,65.359,89.200,0.3187,0.00,0.56,216.2,1.2,0.000,4.291
74,04/28/16 12:35:54 AM,66.729,88.200,0.3187,0.56,3.94,162.9,1.2,0.000,4.291
75,04/28/16 12:45:54 AM,66.943,84.900,0.3187,0.56,3.94,129.2,1.2,0.000,4.291
76,04/28/16 12:55:54 AM,67.543,83.200,0.3187,2.26,8.46,136.2,1.2,0.000,4.291
77,04/28/16 01:05:54 AM,66.729,82.500,0.3187,2.26,7.90,129.2,1.2,0.000,4.291
78,04/28/16 01:15:54 AM,66.429,83.400,0.3187,0.00,3.94,124.9,1.2,0.000,4.291
