"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,09/14/16 01:45:54 PM,74.770,87.600,0.3033,2.82,9.01,127.8,1253.7,,4.442
2,09/14/16 01:55:54 PM,72.567,85.800,0.3211,3.94,10.13,120.7,271.2,0.000,4.381
3,09/14/16 02:05:54 PM,72.307,86.800,0.3219,4.50,10.69,124.9,226.2,0.000,4.400
4,09/14/16 02:15:54 PM,72.480,86.800,0.3219,3.94,9.01,124.9,296.2,0.000,4.436
5,09/14/16 02:25:54 PM,70.416,88.200,0.3216,2.82,8.46,134.8,351.2,0.016,4.339
6,09/14/16 02:35:54 PM,71.274,92.900,0.3211,2.26,6.20,132.0,468.7,0.016,4.339
7,09/14/16 02:45:54 PM,72.696,91.500,0.3211,2.26,6.20,132.0,511.2,0.000,4.460
8,09/14/16 02:55:54 PM,72.997,89.400,0.3211,1.70,7.90,144.6,453.7,0.000,4.418
9,09/14/16 03:05:54 PM,72.869,89.000,0.3211,1.12,5.64,130.6,301.2,0.000,4.424
10,09/14/16 03:15:54 PM,72.610,89.300,0.3216,1.12,6.20,137.6,223.7,0.000,4.393
11,09/14/16 03:25:54 PM,72.437,88.700,0.3216,2.26,7.90,126.4,191.2,0.000,4.393
12,09/14/16 03:35:54 PM,72.653,88.900,0.3216,2.82,7.31,129.2,238.7,0.000,4.381
13,09/14/16 03:45:54 PM,73.299,89.000,0.3216,1.70,6.76,133.4,321.2,0.000,4.430
14,09/14/16 03:55:54 PM,73.818,87.800,0.3216,2.26,6.76,139.0,393.7,0.000,4.351
15,09/14/16 04:05:54 PM,73.904,86.900,0.3216,2.26,7.31,147.4,353.7,0.000,4.430
16,09/14/16 04:15:54 PM,73.861,86.000,0.3216,2.26,7.31,146.0,363.7,0.000,4.351
17,09/14/16 04:25:54 PM,73.688,86.000,0.3216,1.70,7.90,144.6,383.7,0.000,4.442
18,09/14/16 04:35:54 PM,73.602,86.200,0.3216,1.12,6.76,151.6,373.7,0.000,4.357
19,09/14/16 04:45:54 PM,74.077,85.900,0.3216,0.56,5.08,157.2,351.2,0.000,4.418
20,09/14/16 04:55:54 PM,73.429,85.500,0.3216,0.56,5.08,153.0,266.2,0.000,4.393
21,09/14/16 05:05:54 PM,72.869,86.000,0.3216,1.12,6.20,124.9,251.2,0.000,4.393
22,09/14/16 05:15:54 PM,73.040,85.900,0.3219,1.12,5.08,124.9,198.7,0.000,4.369
23,09/14/16 05:25:54 PM,72.912,85.400,0.3219,0.00,3.94,157.2,126.2,0.000,4.321
24,09/14/16 05:35:54 PM,72.050,86.400,0.3223,0.00,0.00,161.5,43.7,0.000,4.309
25,09/14/16 05:45:54 PM,71.361,88.300,0.3223,0.00,1.12,161.5,26.2,0.000,4.297
26,09/14/16 05:55:54 PM,70.673,87.100,0.3228,0.00,3.38,130.6,16.2,0.000,4.285
27,09/14/16 06:05:54 PM,70.243,87.200,0.3231,0.00,1.70,134.8,6.2,0.000,4.279
28,09/14/16 06:15:54 PM,69.471,87.800,0.3231,0.00,1.12,139.0,1.2,0.000,4.273
29,09/14/16 06:25:54 PM,69.471,88.900,0.3235,0.00,2.26,137.6,1.2,0.000,4.267
30,09/14/16 06:35:54 PM,69.343,88.600,0.3235,0.00,2.26,129.2,1.2,0.000,4.261
31,09/14/16 06:45:54 PM,68.484,89.300,0.3235,0.00,2.26,144.6,1.2,0.000,4.255
32,09/14/16 06:55:54 PM,68.785,89.400,0.3235,0.56,3.94,139.0,1.2,0.000,4.249
33,09/14/16 07:05:54 PM,68.956,89.000,0.3235,0.56,3.38,136.2,1.2,0.000,4.249
34,09/14/16 07:15:54 PM,68.785,89.100,0.3240,0.00,2.82,137.6,1.2,0.000,4.249
35,09/14/16 07:25:54 PM,68.185,90.500,0.3240,0.00,2.26,141.8,1.2,0.000,4.249
36,09/14/16 07:35:54 PM,68.484,90.500,0.3240,0.56,2.82,139.0,1.2,0.000,4.249
37,09/14/16 07:45:54 PM,67.928,90.400,0.3240,0.00,2.26,134.8,1.2,0.000,4.243
38,09/14/16 07:55:54 PM,67.842,92.000,0.3244,0.00,2.26,139.0,1.2,0.000,4.237
39,09/14/16 08:05:54 PM,67.285,93.100,0.3244,0.00,0.00,143.2,1.2,0.000,4.237
40,09/14/16 08:15:54 PM,67.413,93.900,0.3244,0.00,1.70,141.8,1.2,0.000,4.237
41,09/14/16 08:25:54 PM,67.586,93.400,0.3244,0.00,2.82,133.4,1.2,0.000,4.237
42,09/14/16 08:35:54 PM,68.056,93.100,0.3249,0.00,2.26,136.2,1.2,0.000,4.231
43,09/14/16 08:45:54 PM,67.413,92.400,0.3249,0.00,1.12,139.0,1.2,0.000,4.224
44,09/14/16 08:55:54 PM,67.627,92.200,0.3249,0.56,3.94,141.8,1.2,0.000,4.224
