"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,08/19/16 04:15:54 PM,75.376,81.500,0.3361,7.31,12.95,139.0,598.7,,4.381
2,08/19/16 04:25:54 PM,74.813,84.000,0.3486,8.46,13.51,139.0,223.7,0.000,4.375
3,08/19/16 04:35:54 PM,75.290,84.100,0.3481,5.64,11.83,126.4,198.7,0.000,4.381
4,08/19/16 04:45:54 PM,73.861,84.000,0.3481,6.20,13.51,139.0,203.7,0.000,4.339
5,08/19/16 04:55:54 PM,74.554,85.100,0.3476,6.76,13.51,141.8,578.7,0.000,4.393
6,08/19/16 05:05:54 PM,73.818,85.000,0.3476,6.76,13.51,136.2,426.2,0.000,4.345
7,08/19/16 05:15:54 PM,73.688,85.000,0.3471,6.20,11.83,130.6,348.7,0.000,4.363
8,08/19/16 05:25:54 PM,73.083,85.600,0.3471,6.76,12.95,136.2,146.2,0.000,4.345
9,08/19/16 05:35:54 PM,72.739,86.300,0.3471,5.08,11.83,132.0,123.7,0.000,4.339
10,08/19/16 05:45:54 PM,72.869,86.400,0.3466,5.08,11.83,132.0,116.2,0.000,4.333
11,08/19/16 05:55:54 PM,72.480,86.600,0.3476,5.64,11.27,130.6,78.7,0.000,4.315
12,08/19/16 06:05:54 PM,72.480,86.900,0.3476,5.08,11.83,126.4,61.2,0.000,4.303
13,08/19/16 06:15:54 PM,72.351,85.700,0.3471,5.08,11.83,126.4,31.2,0.000,4.297
14,08/19/16 06:25:54 PM,72.178,85.700,0.3471,3.94,7.31,126.4,13.7,0.000,4.291
15,08/19/16 06:35:54 PM,72.178,85.700,0.3471,5.64,10.69,124.9,3.7,0.000,4.285
16,08/19/16 06:45:54 PM,72.264,86.100,0.3471,6.20,11.27,123.5,1.2,0.000,4.279
17,08/19/16 06:55:54 PM,72.437,86.100,0.3466,5.64,10.69,122.1,1.2,0.000,4.273
18,08/19/16 07:05:54 PM,72.610,85.400,0.3466,5.64,13.51,126.4,1.2,0.000,4.267
19,08/19/16 07:15:54 PM,72.567,85.200,0.3466,4.50,10.69,126.4,1.2,0.000,4.267
20,08/19/16 07:25:54 PM,72.912,84.800,0.3466,5.08,9.57,123.5,1.2,0.000,4.267
21,08/19/16 07:35:54 PM,73.040,83.900,0.3461,3.94,9.57,124.9,1.2,0.000,4.261
22,08/19/16 07:45:54 PM,73.256,82.800,0.3461,2.82,9.01,126.4,1.2,0.000,4.255
