"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,08/10/16 12:25:54 PM,76.725,81.700,0.3156,0.56,4.50,289.2,753.7,,4.363
2,08/10/16 12:35:54 PM,76.681,84.300,0.3240,0.56,4.50,313.1,746.2,0.000,4.345
3,08/10/16 12:45:54 PM,75.290,84.800,0.3240,0.00,2.26,32.3,491.2,0.000,4.442
4,08/10/16 12:55:54 PM,76.854,82.600,0.3240,0.00,2.82,155.8,648.7,0.000,4.339
5,08/10/16 01:05:54 PM,77.029,79.300,0.3240,0.00,2.82,117.9,676.2,0.000,4.351
6,08/10/16 01:15:54 PM,76.332,78.600,0.3240,0.56,7.31,139.0,601.2,0.000,4.339
7,08/10/16 01:25:54 PM,76.507,78.600,0.3240,0.56,3.94,155.8,563.7,0.000,4.448
8,08/10/16 01:35:54 PM,76.375,78.400,0.3240,0.56,5.64,122.1,726.2,0.000,4.345
9,08/10/16 01:45:54 PM,77.378,77.700,0.3240,2.82,8.46,147.4,1011.2,0.000,4.490
10,08/10/16 01:55:54 PM,78.996,74.700,0.3235,1.12,9.01,144.6,1598.7,0.000,4.345
11,08/10/16 02:05:54 PM,80.492,73.200,0.3235,2.26,9.01,124.9,1916.2,0.000,4.339
12,08/10/16 02:15:54 PM,78.733,72.500,0.3235,1.12,6.20,176.9,1016.2,0.000,4.345
13,08/10/16 02:25:54 PM,79.524,73.700,0.3231,0.56,5.08,15.4,1706.2,0.000,4.339
14,08/10/16 02:35:54 PM,76.681,77.500,0.3231,1.70,5.64,314.5,723.7,0.000,4.363
15,08/10/16 02:45:54 PM,76.203,80.400,0.3231,0.56,2.82,322.9,618.7,0.000,4.339
16,08/10/16 02:55:54 PM,79.084,78.900,0.3228,0.56,3.38,261.1,1243.7,0.000,4.357
17,08/10/16 03:05:54 PM,79.261,76.500,0.3228,0.56,3.38,308.9,1113.7,0.000,4.339
18,08/10/16 03:15:54 PM,79.655,74.400,0.3223,0.56,5.08,261.1,1331.2,0.000,4.418
19,08/10/16 03:25:54 PM,77.684,76.600,0.3223,0.56,5.08,299.0,586.2,0.000,4.339
20,08/10/16 03:35:54 PM,76.593,78.300,0.3223,0.00,2.26,318.7,463.7,0.000,4.387
21,08/10/16 03:45:54 PM,77.117,79.300,0.3223,0.00,2.26,355.2,643.7,0.000,4.351
22,08/10/16 03:55:54 PM,76.419,78.300,0.3223,0.00,1.70,355.2,418.7,0.000,4.333
23,08/10/16 04:05:54 PM,77.072,78.500,0.3223,0.00,0.56,355.2,511.2,0.000,4.357
24,08/10/16 04:15:54 PM,80.096,77.800,0.3219,0.00,1.70,346.8,806.2,0.000,4.339
25,08/10/16 04:25:54 PM,79.304,73.400,0.3219,0.56,3.94,290.6,796.2,0.000,4.351
26,08/10/16 04:35:54 PM,76.811,75.300,0.3216,0.56,4.50,314.5,516.2,0.000,4.339
27,08/10/16 04:45:54 PM,76.507,78.000,0.3216,0.00,1.12,280.8,326.2,0.000,4.363
28,08/10/16 04:55:54 PM,76.464,78.400,0.3216,0.00,1.12,271.0,306.2,0.000,4.375
29,08/10/16 05:05:54 PM,76.725,79.200,0.3216,0.00,0.00,269.6,341.2,0.000,4.381
30,08/10/16 05:15:54 PM,76.550,79.000,0.3216,0.00,0.00,269.6,281.2,0.000,4.345
31,08/10/16 05:25:54 PM,77.117,79.100,0.3211,0.00,0.56,269.6,346.2,0.000,4.369
32,08/10/16 05:35:54 PM,76.507,78.600,0.3211,0.00,1.12,269.6,248.7,0.000,4.369
33,08/10/16 05:45:54 PM,75.724,79.400,0.3211,0.56,5.64,238.7,203.7,0.000,4.363
34,08/10/16 05:55:54 PM,74.467,80.000,0.3211,1.70,12.39,139.0,133.7,0.000,4.351
35,08/10/16 06:05:54 PM,72.997,82.900,0.3211,5.64,10.69,141.8,96.2,0.000,4.351
36,08/10/16 06:15:54 PM,72.997,85.000,0.3211,3.38,7.90,134.8,51.2,0.000,4.321
37,08/10/16 06:25:54 PM,71.490,85.000,0.3211,5.08,11.83,126.4,13.7,0.000,4.309
38,08/10/16 06:35:54 PM,69.427,87.000,0.3195,5.08,12.39,130.6,3.7,0.016,4.315
39,08/10/16 06:45:54 PM,67.329,92.900,0.3187,2.26,7.90,132.0,1.2,0.039,4.309
40,08/10/16 06:55:54 PM,67.928,95.000,0.3187,0.00,4.50,308.9,1.2,0.008,4.303
41,08/10/16 07:05:54 PM,67.928,95.800,0.3192,0.00,0.00,306.1,1.2,0.000,4.297
42,08/10/16 07:15:54 PM,67.586,96.500,0.3192,0.56,3.94,318.7,1.2,0.000,4.291
43,08/10/16 07:25:54 PM,67.798,96.300,0.3195,0.56,3.94,134.8,1.2,0.000,4.291
44,08/10/16 07:35:54 PM,67.757,95.100,0.3195,0.00,3.38,141.8,1.2,0.000,4.285
45,08/10/16 07:45:54 PM,67.714,94.700,0.3199,0.00,2.82,140.4,1.2,0.000,4.285
46,08/10/16 07:55:54 PM,67.971,94.100,0.3204,1.12,3.94,137.6,1.2,0.000,4.279
47,08/10/16 08:05:54 PM,68.142,92.900,0.3204,1.70,4.50,137.6,1.2,0.000,4.273
48,08/10/16 08:15:54 PM,67.885,93.300,0.3204,0.00,1.12,136.2,1.2,0.000,4.273
49,08/10/16 08:25:54 PM,67.627,93.900,0.3207,0.00,2.26,136.2,1.2,0.000,4.267
50,08/10/16 08:35:54 PM,67.500,93.300,0.3207,0.00,3.38,136.2,1.2,0.000,4.267
51,08/10/16 08:45:54 PM,67.329,93.900,0.3207,0.00,1.70,133.4,1.2,0.000,4.267
52,08/10/16 08:55:54 PM,67.114,94.700,0.3207,0.00,0.56,133.4,1.2,0.000,4.267
53,08/10/16 09:05:54 PM,67.627,94.000,0.3207,0.00,2.82,136.2,1.2,0.000,4.267
54,08/10/16 09:15:54 PM,67.671,92.400,0.3207,0.00,2.82,141.8,1.2,0.000,4.267
55,08/10/16 09:25:54 PM,67.627,92.600,0.3207,0.56,3.38,144.6,1.2,0.000,4.261
56,08/10/16 09:35:54 PM,67.928,92.400,0.3207,0.00,2.26,146.0,1.2,0.000,4.261
