"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,12/09/15 11:35:54 AM,61.075,64.300,0.2680,1.12,3.38,318.7,1198.7,,4.345
2,12/09/15 11:45:54 AM,63.090,64.600,0.2684,0.00,2.26,12.6,1241.2,0.000,4.339
3,12/09/15 11:55:54 AM,61.376,63.300,0.2684,1.12,3.94,325.7,1263.7,0.000,4.393
4,12/09/15 12:05:54 PM,64.204,64.300,0.2680,0.56,2.82,338.3,1226.2,0.000,4.375
5,12/09/15 12:15:54 PM,63.433,62.700,0.2680,0.56,3.94,336.9,1206.2,0.000,4.363
6,12/09/15 12:25:54 PM,63.604,63.400,0.2680,0.56,5.08,338.3,1206.2,0.000,4.357
7,12/09/15 12:35:54 PM,64.332,60.300,0.2680,0.56,2.26,297.6,1221.2,0.000,4.351
8,12/09/15 12:45:54 PM,66.130,59.500,0.2680,1.12,4.50,276.6,1191.2,0.000,4.363
9,12/09/15 12:55:54 PM,65.230,59.200,0.2680,2.26,8.46,150.2,1188.7,0.000,4.351
10,12/09/15 01:05:54 PM,65.745,60.600,0.2680,1.70,6.76,147.4,1153.7,0.000,4.369
11,12/09/15 01:15:54 PM,65.316,59.800,0.2680,1.70,5.64,143.2,1138.7,0.000,4.351
12,12/09/15 01:25:54 PM,66.558,61.100,0.2680,1.70,7.31,158.6,1111.2,0.000,4.357
13,12/09/15 01:35:54 PM,64.803,61.600,0.2677,2.82,7.90,146.0,1066.2,0.000,4.363
14,12/09/15 01:45:54 PM,63.946,63.800,0.2680,3.94,9.01,139.0,1016.2,0.000,4.351
15,12/09/15 01:55:54 PM,63.390,64.600,0.2680,3.94,8.46,144.6,963.7,0.000,4.363
16,12/09/15 02:05:54 PM,64.033,65.100,0.2680,3.38,9.57,150.2,908.7,0.000,4.363
17,12/09/15 02:15:54 PM,63.518,65.500,0.2677,3.38,9.01,154.4,866.2,0.000,4.351
18,12/09/15 02:25:54 PM,62.233,66.900,0.2677,4.50,10.13,146.0,788.7,0.000,4.363
19,12/09/15 02:35:54 PM,61.162,69.200,0.2677,5.08,11.27,150.2,646.2,0.000,4.363
20,12/09/15 02:45:54 PM,60.647,71.800,0.2677,5.64,11.83,154.4,458.7,0.000,4.351
21,12/09/15 02:55:54 PM,59.659,73.200,0.2677,4.50,9.01,147.4,326.2,0.000,4.357
22,12/09/15 03:05:54 PM,58.928,74.300,0.2677,5.64,12.95,151.6,301.2,0.000,4.363
23,12/09/15 03:15:54 PM,59.788,75.100,0.2677,5.64,10.69,150.2,388.7,0.000,4.351
24,12/09/15 03:25:54 PM,59.659,74.400,0.2677,5.08,11.27,148.8,413.7,0.000,4.363
25,12/09/15 03:35:54 PM,58.152,74.900,0.2677,5.08,11.83,143.2,211.2,0.000,4.357
26,12/09/15 03:45:54 PM,57.636,76.700,0.2677,5.08,10.13,141.8,131.2,0.000,4.357
27,12/09/15 03:55:54 PM,57.420,77.200,0.2677,3.94,9.57,137.6,116.2,0.000,4.351
28,12/09/15 04:05:54 PM,57.333,76.700,0.2677,4.50,9.57,139.0,101.2,0.000,4.345
29,12/09/15 04:15:54 PM,57.376,75.500,0.2677,5.08,9.57,133.4,86.2,0.000,4.345
30,12/09/15 04:25:54 PM,56.728,75.700,0.2677,3.94,9.01,133.4,71.2,0.000,4.339
31,12/09/15 04:35:54 PM,56.035,76.800,0.2677,2.82,9.01,122.1,56.2,0.000,4.339
32,12/09/15 04:45:54 PM,55.949,76.600,0.2677,2.82,7.31,106.7,38.7,0.000,4.339
33,12/09/15 04:55:54 PM,55.690,75.800,0.2677,3.38,6.76,113.7,23.7,0.000,4.339
34,12/09/15 05:05:54 PM,54.995,78.200,0.2677,2.82,7.31,113.7,8.7,0.000,4.333
35,12/09/15 05:15:54 PM,55.342,78.900,0.2677,3.94,9.01,120.7,1.2,0.000,4.339
36,12/09/15 05:25:54 PM,55.472,76.300,0.2677,3.94,7.90,127.8,1.2,0.000,4.363
37,12/09/15 05:35:54 PM,55.429,72.700,0.2677,3.94,8.46,132.0,1.2,0.000,4.363
38,12/09/15 05:45:54 PM,54.734,75.700,0.2677,3.94,9.57,134.8,1.2,0.000,4.351
39,12/09/15 05:55:54 PM,54.865,77.700,0.2677,2.82,6.20,132.0,1.2,0.000,4.363
40,12/09/15 06:05:54 PM,54.473,74.200,0.2677,2.26,6.76,122.1,1.2,0.000,4.321
41,12/09/15 06:15:54 PM,53.951,73.200,0.2677,2.26,4.50,108.1,1.2,0.000,4.321
42,12/09/15 06:25:54 PM,52.903,72.700,0.2677,1.70,4.50,153.0,1.2,0.000,4.321
43,12/09/15 06:35:54 PM,52.509,73.300,0.2677,1.70,5.08,155.8,1.2,0.000,4.321
44,12/09/15 06:45:54 PM,51.458,68.600,0.2677,2.82,4.50,141.8,1.2,0.000,4.321
45,12/09/15 06:55:54 PM,51.105,68.900,0.2677,1.70,3.94,155.8,1.2,0.000,4.321
46,12/09/15 07:05:54 PM,51.325,69.500,0.2677,0.56,2.82,137.6,1.2,0.000,4.321
47,12/09/15 07:15:54 PM,51.984,68.700,0.2677,1.12,3.38,113.7,1.2,0.000,4.321
48,12/09/15 07:25:54 PM,51.589,66.200,0.2677,0.56,3.38,105.3,1.2,0.000,4.321
49,12/09/15 07:35:54 PM,51.413,71.000,0.2680,1.12,3.94,158.6,1.2,0.000,4.315
50,12/09/15 07:45:54 PM,51.721,73.100,0.2680,1.12,3.94,143.2,1.2,0.000,4.315
51,12/09/15 07:55:54 PM,51.678,73.400,0.2680,1.70,3.94,150.2,1.2,0.000,4.315
52,12/09/15 08:05:54 PM,52.203,73.200,0.2680,1.70,3.94,150.2,1.2,0.000,4.315
53,12/09/15 08:15:54 PM,51.764,72.000,0.2680,1.12,4.50,148.8,1.2,0.000,4.327
54,12/09/15 08:25:54 PM,51.544,73.100,0.2680,1.12,3.38,157.2,1.2,0.000,4.321
55,12/09/15 08:35:54 PM,51.721,72.700,0.2680,1.12,3.38,148.8,1.2,0.000,4.333
56,12/09/15 08:45:54 PM,52.554,71.900,0.2680,1.12,2.82,150.2,1.2,0.000,4.309
57,12/09/15 08:55:54 PM,51.852,70.700,0.2680,0.56,3.38,147.4,1.2,0.000,4.339
58,12/09/15 09:05:54 PM,51.852,71.600,0.2680,0.56,2.26,147.4,1.2,0.000,4.303
59,12/09/15 09:15:54 PM,51.633,71.700,0.2680,1.12,2.26,147.4,1.2,0.000,4.303
60,12/09/15 09:25:54 PM,51.105,74.700,0.2677,0.56,1.70,147.4,1.2,0.000,4.303
61,12/09/15 09:35:54 PM,51.501,75.600,0.2680,0.56,2.26,147.4,1.2,0.000,4.303
62,12/09/15 09:45:54 PM,51.678,76.800,0.2680,0.56,2.26,148.8,1.2,0.000,4.303
63,12/09/15 09:55:54 PM,51.809,77.600,0.2680,0.56,2.26,148.8,1.2,0.000,4.303
64,12/09/15 10:05:54 PM,52.072,77.200,0.2680,1.12,3.38,148.8,1.2,0.000,4.303
65,12/09/15 10:15:54 PM,51.062,76.500,0.2680,1.12,2.82,148.8,1.2,0.000,4.303
66,12/09/15 10:25:54 PM,51.852,73.500,0.2680,1.70,3.94,150.2,1.2,0.000,4.303
67,12/09/15 10:35:54 PM,50.664,74.200,0.2680,1.12,2.82,154.4,1.2,0.000,4.303
68,12/09/15 10:45:54 PM,50.841,75.200,0.2680,1.12,3.38,153.0,1.2,0.000,4.297
69,12/09/15 10:55:54 PM,51.282,74.700,0.2680,1.70,4.50,154.4,1.2,0.000,4.297
70,12/09/15 11:05:54 PM,50.974,73.200,0.2680,1.70,3.94,148.8,1.2,0.000,4.297
71,12/09/15 11:15:54 PM,50.797,73.300,0.2680,1.12,2.82,153.0,1.2,0.000,4.297
72,12/09/15 11:25:54 PM,50.488,71.600,0.2680,1.12,3.94,157.2,1.2,0.000,4.297
73,12/09/15 11:35:54 PM,49.959,73.100,0.2680,1.12,2.82,162.9,1.2,0.000,4.297
74,12/09/15 11:45:54 PM,49.782,74.200,0.2680,1.12,2.82,162.9,1.2,0.000,4.297
75,12/09/15 11:55:54 PM,50.533,73.800,0.2680,2.26,5.64,148.8,1.2,0.000,4.297
