"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,07/13/16 11:05:54 AM,79.304,81.300,0.3722,0.56,4.50,306.1,883.7,,4.339
2,07/13/16 11:15:54 AM,78.953,80.300,0.3804,1.12,4.50,247.1,1021.2,0.000,4.339
3,07/13/16 11:25:54 AM,80.272,81.300,0.3804,0.56,3.94,4.2,1993.7,0.000,4.351
4,07/13/16 11:35:54 AM,80.580,79.500,0.3804,1.12,4.50,297.6,1656.2,0.000,4.351
5,07/13/16 11:45:54 AM,80.139,75.400,0.3804,1.12,3.94,193.7,1701.2,0.000,4.351
6,07/13/16 11:55:54 AM,79.524,77.400,0.3804,2.26,7.31,172.7,1451.2,0.000,4.345
7,07/13/16 12:05:54 PM,76.811,79.000,0.3804,2.82,7.90,129.2,1041.2,0.000,4.345
8,07/13/16 12:15:54 PM,78.165,80.500,0.3798,4.50,12.39,136.2,1431.2,0.000,4.357
9,07/13/16 12:25:54 PM,80.757,77.200,0.3798,4.50,10.69,129.2,2156.2,0.000,4.339
10,07/13/16 12:35:54 PM,77.684,74.800,0.3798,3.94,9.57,124.9,1231.2,0.000,4.363
11,07/13/16 12:45:54 PM,80.449,75.000,0.3793,2.26,9.57,193.7,1551.2,0.000,4.345
12,07/13/16 12:55:54 PM,83.109,72.500,0.3793,1.70,9.01,328.5,2181.2,0.000,4.351
13,07/13/16 01:05:54 PM,82.396,70.600,0.3787,1.70,7.31,272.4,1838.7,0.000,4.351
14,07/13/16 01:15:54 PM,81.687,70.300,0.3787,2.26,6.20,311.7,1863.7,0.000,4.478
15,07/13/16 01:25:54 PM,80.890,73.600,0.3787,1.12,6.20,346.8,1043.7,0.000,4.351
16,07/13/16 01:35:54 PM,82.353,71.700,0.3780,0.56,3.38,155.8,1511.2,0.000,4.339
17,07/13/16 01:45:54 PM,82.708,69.300,0.3780,1.12,6.76,324.3,2041.2,0.000,4.351
18,07/13/16 01:55:54 PM,81.244,70.800,0.3775,1.70,11.27,321.5,1288.7,0.000,4.339
19,07/13/16 02:05:54 PM,81.509,72.200,0.3769,1.12,5.64,115.1,1406.2,0.000,4.351
