"Plot Title: Yurung MSS"
"#","Date Time, GMT+06:00","Temp, °F (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Temperature)","RH, % (LGR S/N: 10364439, SEN S/N: 10344945, LBL: Relative Humidity)","Water Content, m³/m³ (LGR S/N: 10364439, SEN S/N: 10346467, LBL: Soil Moisture)","Wind Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 10364439, SEN S/N: 10349699, LBL: Wind Guest)","Wind Direction, ø (LGR S/N: 10364439, SEN S/N: 10349741, LBL: Wind Direction)","PAR, uE (LGR S/N: 10364439, SEN S/N: 10349868, LBL: Photosynthetic Radiation)","Rain, in (LGR S/N: 10364439, SEN S/N: 10364403, LBL: Rainfall)","Batt, V (LGR S/N: 10364439)"
1,06/04/16 10:35:54 AM,79.655,73.200,0.3113,5.64,12.95,132.0,1883.7,,4.351
2,06/04/16 10:45:54 AM,79.041,72.600,0.3171,5.64,11.27,143.2,1938.7,0.000,4.345
3,06/04/16 10:55:54 AM,81.244,72.200,0.3168,3.38,7.90,132.0,1988.7,0.000,4.363
4,06/04/16 11:05:54 AM,81.333,70.900,0.3163,2.82,8.46,153.0,2008.7,0.000,4.351
5,06/04/16 11:15:54 AM,81.864,71.100,0.3163,2.82,8.46,167.1,1993.7,0.000,4.339
6,06/04/16 11:25:54 AM,81.597,68.700,0.3160,2.26,6.76,147.4,2033.7,0.000,4.363
7,06/04/16 11:35:54 AM,81.111,69.700,0.3151,3.94,8.46,189.5,2138.7,0.000,4.351
8,06/04/16 11:45:54 AM,78.690,71.200,0.3151,2.82,8.46,206.4,1123.7,0.000,4.351
9,06/04/16 11:55:54 AM,79.612,72.500,0.3151,2.82,10.69,181.1,1563.7,0.000,4.351
10,06/04/16 12:05:54 PM,78.910,70.900,0.3148,3.94,12.39,214.8,2138.7,0.000,4.351
11,06/04/16 12:15:54 PM,79.920,70.200,0.3140,3.94,11.83,206.4,2028.7,0.000,4.345
12,06/04/16 12:25:54 PM,79.261,71.000,0.3136,3.94,10.69,199.4,2028.7,0.000,4.393
13,06/04/16 12:35:54 PM,78.033,71.600,0.3133,4.50,13.51,240.1,2001.2,0.000,4.351
14,06/04/16 12:45:54 PM,78.865,70.500,0.3133,4.50,10.69,314.5,1833.7,0.000,4.345
15,06/04/16 12:55:54 PM,77.378,71.400,0.3128,2.82,12.39,308.9,928.7,0.000,4.351
16,06/04/16 01:05:54 PM,79.392,72.100,0.3125,2.82,8.46,306.1,1381.2,0.000,4.345
17,06/04/16 01:15:54 PM,80.184,70.900,0.3125,3.38,9.57,303.2,1593.7,0.000,4.357
18,06/04/16 01:25:54 PM,78.471,69.000,0.3121,3.94,12.95,247.1,1313.7,0.000,4.345
19,06/04/16 01:35:54 PM,76.636,70.200,0.3118,3.94,11.27,122.1,1408.7,0.000,4.363
20,06/04/16 01:45:54 PM,76.507,72.900,0.3113,4.50,12.39,94.1,1351.2,0.000,4.363
21,06/04/16 01:55:54 PM,74.467,75.900,0.3113,5.64,15.21,101.1,963.7,0.000,4.375
22,06/04/16 02:05:54 PM,74.856,78.000,0.3110,2.82,10.13,207.8,791.2,0.000,4.393
23,06/04/16 02:15:54 PM,78.033,76.100,0.3110,1.70,6.20,175.5,1408.7,0.000,4.363
24,06/04/16 02:25:54 PM,75.594,75.500,0.3106,2.82,12.95,61.8,886.2,0.000,4.351
25,06/04/16 02:35:54 PM,74.640,78.000,0.3102,4.50,17.47,92.7,623.7,0.000,4.363
26,06/04/16 02:45:54 PM,77.203,76.400,0.3102,3.38,13.51,108.1,1266.2,0.000,4.351
27,06/04/16 02:55:54 PM,74.163,76.000,0.3102,4.50,15.21,133.4,348.7,0.000,4.363
28,06/04/16 03:05:54 PM,73.645,77.500,0.3102,5.64,13.51,101.1,351.2,0.000,4.363
29,06/04/16 03:15:54 PM,74.034,77.500,0.3102,5.08,17.47,126.4,441.2,0.000,4.351
30,06/04/16 03:25:54 PM,74.424,77.300,0.3098,1.70,6.20,308.9,446.2,0.000,4.357
