Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "Baylling HSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364430
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4210
Series Info: 
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WDA-XXXX
    OMUnitIndex: 0
    OMChannelType: 4
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","PAR, uE","Temp, *C","RH, %","DewPt, *C","Wind Speed, m/s","Gust Speed, m/s","Wind Dir, *","Rain, mm","Batt, V"
1,11/2/14 08:00:00,784,12.32,84.20,9.74,0.0,0.8,11,0.0,3.94
2,11/2/14 08:10:00,784,12.87,83.00,10.07,0.0,0.5,11,0.0,3.95
3,11/2/14 08:20:00,836,14.15,80.90,10.93,0.0,0.8,24,0.0,3.95
4,11/2/14 08:30:00,909,14.55,77.00,10.58,0.0,1.3,4,0.0,3.95
5,11/2/14 08:40:00,989,14.91,74.10,10.35,0.3,1.5,15,0.0,3.95
6,11/2/14 08:50:00,1064,15.82,71.20,10.63,0.0,1.5,10,0.0,3.95
7,11/2/14 09:00:00,1136,16.13,69.00,10.46,0.0,1.0,351,0.0,3.95
8,11/2/14 09:10:00,1194,16.61,66.60,10.38,0.5,1.8,14,0.0,3.95
9,11/2/14 09:20:00,1261,17.08,64.90,10.45,0.5,1.5,25,0.0,3.95
10,11/2/14 09:30:00,1316,17.22,62.50,10.02,0.5,1.8,7,0.0,3.95
11,11/2/14 09:40:00,1336,17.63,61.00,10.04,0.8,2.0,27,0.0,3.95
12,11/2/14 09:50:00,1044,17.65,59.30,9.64,0.8,3.0,6,0.0,3.95
13,11/2/14 10:00:00,491,17.15,59.90,9.32,0.5,2.0,24,0.0,3.95
14,11/2/14 10:10:00,524,16.94,59.20,8.94,0.0,0.5,302,0.0,3.95
15,11/2/14 10:20:00,481,16.70,60.40,9.01,0.0,1.5,251,0.0,3.95
16,11/2/14 10:30:00,431,18.18,60.40,10.40,0.0,1.0,247,0.0,3.95
17,11/2/14 10:40:00,1719,19.41,55.00,10.16,0.8,2.5,8,0.0,3.95
18,11/2/14 10:50:00,1721,19.51,52.20,9.47,1.8,3.8,22,0.0,3.95
19,11/2/14 11:00:00,1769,19.56,53.30,9.82,2.3,4.5,17,0.0,3.95
20,11/2/14 11:10:00,1709,19.67,52.60,9.73,2.3,4.3,22,0.0,3.98
21,11/2/14 11:20:00,1949,20.08,52.00,9.94,2.8,5.0,22,0.0,3.95
22,11/2/14 11:30:00,1739,19.82,51.30,9.49,3.0,5.5,25,0.0,3.95
23,11/2/14 11:40:00,1829,21.03,50.00,10.23,3.0,5.3,22,0.0,3.95
24,11/2/14 11:50:00,1959,20.58,49.20,9.57,3.3,5.5,22,0.0,3.95
25,11/2/14 12:00:00,2041,20.72,48.30,9.43,3.0,5.0,24,0.0,3.95
26,11/2/14 12:10:00,1954,21.44,46.70,9.58,2.8,5.0,28,0.0,3.95
27,11/2/14 12:20:00,1971,20.56,46.40,8.68,2.8,5.0,34,0.0,3.95
28,11/2/14 12:30:00,1701,20.46,47.90,9.06,2.8,4.8,32,0.0,3.95
29,11/2/14 12:40:00,1469,20.39,47.60,8.91,2.8,5.0,31,0.0,3.95
30,11/2/14 12:50:00,1801,21.17,47.80,9.69,2.8,5.3,28,0.0,3.95
31,11/2/14 13:00:00,1939,21.32,46.90,9.53,3.0,5.5,28,0.0,3.95
32,11/2/14 13:10:00,1146,20.53,46.10,8.56,2.3,6.8,32,0.0,3.95
33,11/2/14 13:20:00,1801,21.32,46.00,9.25,2.8,6.3,11,0.0,3.95
34,11/2/14 13:30:00,1354,21.68,44.80,9.18,1.8,4.8,6,0.0,3.95
35,11/2/14 13:40:00,1356,20.67,44.30,8.10,2.0,4.5,21,0.0,3.95
36,11/2/14 13:50:00,739,19.75,45.90,7.78,2.0,4.0,11,0.0,3.95
37,11/2/14 14:00:00,551,19.51,46.50,7.76,2.0,5.0,22,0.0,3.95
38,11/2/14 14:10:00,501,19.39,46.40,7.62,1.0,3.8,48,0.0,3.95
39,11/2/14 14:20:00,569,19.41,48.60,8.32,0.5,3.5,17,0.0,3.95
40,11/2/14 14:30:00,664,19.53,49.10,8.58,1.3,4.0,25,0.0,3.95
41,11/2/14 14:40:00,449,19.10,49.80,8.40,0.5,3.0,59,0.0,3.95
42,11/2/14 14:50:00,441,18.87,51.20,8.59,0.3,1.8,42,0.0,3.96
43,11/2/14 15:00:00,369,18.70,52.80,8.89,0.5,2.0,60,0.0,3.95
44,11/2/14 15:10:00,559,18.87,52.40,8.93,0.5,2.5,38,0.0,3.95
45,11/2/14 15:20:00,381,18.44,53.00,8.70,1.3,3.5,51,0.0,3.95
46,11/2/14 15:30:00,331,18.27,54.30,8.90,1.3,3.8,51,0.0,3.95
47,11/2/14 15:40:00,296,18.10,54.80,8.89,1.0,3.0,31,0.0,3.96
48,11/2/14 15:50:00,244,18.10,55.70,9.13,0.3,1.5,46,0.0,3.96
49,11/2/14 16:00:00,219,17.70,57.00,9.09,0.5,3.0,46,0.0,3.95
50,11/2/14 16:10:00,194,17.61,57.30,9.08,0.0,2.0,22,0.0,3.95
51,11/2/14 16:20:00,139,17.25,58.80,9.13,0.0,1.3,18,0.0,3.95
52,11/2/14 16:30:00,106,17.06,60.00,9.25,0.0,0.3,58,0.0,3.95
53,11/2/14 16:40:00,81,16.92,60.30,9.19,0.0,0.0,58,0.0,3.95
54,11/2/14 16:50:00,56,16.20,65.80,9.81,0.3,1.8,60,0.0,3.95
55,11/2/14 17:00:00,31,15.89,66.20,9.61,0.3,1.3,202,0.0,3.95
56,11/2/14 17:10:00,11,15.29,70.20,9.91,0.5,1.8,230,0.0,3.95
57,11/2/14 17:20:00,1,15.17,71.80,10.14,0.3,1.5,237,0.0,3.95
58,11/2/14 17:30:00,1,14.84,71.20,9.69,0.3,1.5,246,0.0,3.95
59,11/2/14 17:40:00,1,14.43,74.20,9.91,0.3,1.5,240,0.0,3.95
60,11/2/14 17:50:00,1,14.29,74.20,9.77,0.0,0.5,229,0.0,3.95
61,11/2/14 18:00:00,1,14.36,75.70,10.14,0.0,1.3,239,0.0,3.95
62,11/2/14 18:10:00,1,14.39,74.80,9.99,0.5,1.8,241,0.0,3.95
63,11/2/14 18:20:00,1,14.27,74.80,9.87,0.3,1.8,253,0.0,3.95
64,11/2/14 18:30:00,1,13.83,77.40,9.96,0.0,1.0,199,0.0,3.98
65,11/2/14 18:40:00,1,13.83,77.80,10.04,0.0,0.0,197,0.0,3.95
66,11/2/14 18:50:00,1,13.76,78.50,10.10,0.0,0.5,197,0.0,3.95
67,11/2/14 19:00:00,1,13.91,78.70,10.28,0.0,0.5,201,0.0,3.95
68,11/2/14 19:10:00,1,13.91,79.20,10.38,0.0,1.3,230,0.0,3.95
69,11/2/14 19:20:00,1,13.98,78.60,10.33,0.0,1.0,230,0.0,3.95
70,11/2/14 19:30:00,1,13.59,80.40,10.30,0.0,0.3,292,0.0,3.95
71,11/2/14 19:40:00,1,13.47,80.70,10.24,0.0,0.0,298,0.0,3.95
72,11/2/14 19:50:00,1,13.43,82.00,10.43,0.0,0.8,296,0.0,3.95
73,11/2/14 20:00:00,1,13.40,81.60,10.33,0.0,1.0,263,0.0,3.95
74,11/2/14 20:10:00,1,13.28,82.60,10.40,0.0,0.5,251,0.0,3.95
75,11/2/14 20:20:00,1,13.16,83.10,10.37,0.0,0.5,251,0.0,3.95
76,11/2/14 20:30:00,1,13.06,82.90,10.24,0.0,0.0,250,0.0,3.95
77,11/2/14 20:40:00,1,13.06,83.30,10.31,0.0,1.0,250,0.0,3.95
78,11/2/14 20:50:00,1,12.75,84.00,10.13,0.0,0.3,250,0.0,3.95
79,11/2/14 21:00:00,1,12.32,85.10,9.90,0.0,0.3,250,0.0,3.95
80,11/2/14 21:10:00,1,12.29,86.30,10.08,0.3,1.3,237,0.0,3.95
81,11/2/14 21:20:00,1,12.12,86.40,9.93,0.3,1.5,240,0.0,3.95
82,11/2/14 21:30:00,1,11.76,87.10,9.70,0.0,0.8,230,0.0,3.95
83,11/2/14 21:40:00,1,11.44,88.00,9.54,0.0,0.5,230,0.0,3.95
84,11/2/14 21:50:00,1,11.47,88.70,9.68,0.3,1.3,223,0.0,3.95
85,11/2/14 22:00:00,1,11.47,87.50,9.48,0.3,1.3,256,0.0,3.95
86,11/2/14 22:10:00,1,11.42,88.00,9.51,0.0,1.3,220,0.0,3.95
87,11/2/14 22:20:00,1,11.10,88.40,9.27,0.0,0.8,209,0.0,3.95
88,11/2/14 22:30:00,1,11.13,89.30,9.44,0.3,1.5,247,0.0,3.95
89,11/2/14 22:40:00,1,11.15,88.40,9.32,0.0,0.5,254,0.0,3.95
90,11/2/14 22:50:00,1,11.15,89.00,9.42,0.0,0.0,253,0.0,3.95
91,11/2/14 23:00:00,1,11.30,89.20,9.60,0.0,0.3,253,0.0,3.95
92,11/2/14 23:10:00,1,11.27,88.90,9.52,0.0,0.0,253,0.0,3.95
93,11/2/14 23:20:00,1,10.88,89.70,9.27,0.0,0.0,253,0.0,3.95
94,11/2/14 23:30:00,1,10.54,91.50,9.23,0.0,0.0,253,0.0,3.95
95,11/2/14 23:40:00,1,10.30,92.50,9.14,0.0,0.0,253,0.0,3.95
96,11/2/14 23:50:00,1,10.34,93.40,9.34,0.0,0.8,253,0.0,3.95
97,11/3/14 00:00:00,1,10.39,93.00,9.32,0.3,1.0,240,0.0,3.95
98,11/3/14 00:10:00,1,10.22,92.00,8.99,0.0,1.5,240,0.0,3.95
99,11/3/14 00:20:00,1,10.22,91.70,8.94,0.0,0.3,240,0.0,3.95
100,11/3/14 00:30:00,1,9.93,92.60,8.80,0.0,0.5,241,0.0,3.95
101,11/3/14 00:40:00,1,10.08,93.60,9.10,0.0,0.3,241,0.0,3.95
102,11/3/14 00:50:00,1,9.58,93.30,8.56,0.0,0.0,241,0.0,3.95
103,11/3/14 01:00:00,1,9.80,93.80,8.86,0.0,0.3,241,0.0,3.95
104,11/3/14 01:10:00,1,9.66,93.10,8.61,0.0,0.8,241,0.0,3.95
105,11/3/14 01:20:00,1,9.73,93.10,8.68,0.0,0.8,241,0.0,3.95
106,11/3/14 01:30:00,1,9.39,92.90,8.31,0.0,0.0,241,0.0,3.95
107,11/3/14 01:40:00,1,9.61,93.60,8.64,0.0,0.8,241,0.0,3.95
108,11/3/14 01:50:00,1,9.41,93.20,8.38,0.0,0.5,241,0.0,3.95
109,11/3/14 02:00:00,1,9.04,93.70,8.09,0.0,0.0,241,0.0,3.95
110,11/3/14 02:10:00,1,8.89,95.10,8.16,0.0,0.0,241,0.0,3.95
111,11/3/14 02:20:00,1,8.87,95.40,8.18,0.0,0.0,241,0.0,3.95
112,11/3/14 02:30:00,1,9.06,95.50,8.39,0.0,0.8,241,0.0,3.95
113,11/3/14 02:40:00,1,9.16,95.20,8.44,0.0,0.3,241,0.0,3.95
114,11/3/14 02:50:00,1,9.39,95.00,8.64,0.0,0.8,241,0.0,3.95
115,11/3/14 03:00:00,1,9.21,93.90,8.29,0.0,0.8,241,0.0,3.95
116,11/3/14 03:10:00,1,9.29,93.90,8.37,0.0,0.8,241,0.0,3.98
117,11/3/14 03:20:00,1,8.64,94.10,7.76,0.0,0.5,241,0.0,3.95
118,11/3/14 03:30:00,1,8.64,95.20,7.93,0.0,0.0,241,0.0,3.95
119,11/3/14 03:40:00,1,8.47,95.00,7.72,0.0,0.3,241,0.0,3.95
120,11/3/14 03:50:00,1,8.64,95.40,7.96,0.0,1.3,241,0.0,3.95
121,11/3/14 04:00:00,1,8.82,95.40,8.13,0.0,1.0,241,0.0,3.95
122,11/3/14 04:10:00,1,8.84,94.70,8.05,0.0,1.0,241,0.0,3.95
123,11/3/14 04:20:00,1,8.64,94.20,7.77,0.0,0.5,241,0.0,3.95
124,11/3/14 04:30:00,1,8.24,94.50,7.42,0.0,0.0,241,0.0,3.95
125,11/3/14 04:40:00,1,7.92,95.50,7.25,0.0,0.0,241,0.0,3.95
126,11/3/14 04:50:00,1,8.05,96.70,7.56,0.0,0.3,241,0.0,3.95
