Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "10364427"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364427
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4207
Series Info: 
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 BATTERY
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Temp, *C","RH, %","DewPt, *C","Batt, V"
1,8/16/14 12:50:00,17.42,83.5,14.62,4.17
2,8/16/14 12:55:00,17.42,83.6,14.63,4.18
3,8/16/14 13:00:00,17.42,83.8,14.67,4.18
4,8/16/14 13:05:00,17.42,83.5,14.62,4.18
5,8/16/14 13:10:00,17.42,83.7,14.65,4.18
6,8/16/14 13:15:00,17.42,83.7,14.65,4.18
7,8/16/14 13:20:00,17.42,83.7,14.65,4.18
8,8/16/14 13:25:00,17.42,83.7,14.65,4.19
9,8/16/14 13:30:00,17.42,83.7,14.65,4.19
10,8/16/14 13:35:00,17.42,83.8,14.67,4.19
11,8/16/14 13:40:00,17.39,83.7,14.62,4.19
12,8/16/14 13:45:00,17.39,83.7,14.62,4.19
13,8/16/14 13:50:00,17.39,83.7,14.62,4.18
14,8/16/14 13:55:00,17.42,83.6,14.63,4.18
15,8/16/14 14:00:00,17.39,83.7,14.62,4.20
16,8/16/14 14:05:00,17.39,83.7,14.62,4.18
17,8/16/14 14:10:00,17.39,83.7,14.62,4.19
18,8/16/14 14:15:00,17.39,83.7,14.62,4.19
19,8/16/14 14:20:00,17.39,83.7,14.62,4.18
20,8/16/14 14:25:00,17.39,83.7,14.62,4.19
21,8/16/14 14:30:00,17.39,83.8,14.64,4.19
22,8/16/14 14:35:00,17.39,83.7,14.62,4.19
23,8/16/14 14:40:00,17.39,83.7,14.62,4.19
24,8/16/14 14:45:00,17.39,83.7,14.62,4.17
25,8/16/14 14:50:00,17.39,83.7,14.62,4.18
26,8/16/14 14:55:00,17.39,83.7,14.62,4.18
27,8/16/14 15:00:00,17.42,83.6,14.63,4.18
28,8/16/14 15:05:00,17.39,83.7,14.62,4.18
29,8/16/14 15:10:00,17.42,83.7,14.65,4.18
30,8/16/14 15:15:00,17.42,83.7,14.65,4.19
31,8/16/14 15:20:00,17.39,83.7,14.62,4.19
32,8/16/14 15:25:00,17.39,83.8,14.64,4.19
33,8/16/14 15:30:00,17.39,83.8,14.64,4.19
34,8/16/14 15:35:00,17.39,83.8,14.64,4.19
35,8/16/14 15:40:00,17.39,83.7,14.62,4.19
36,8/16/14 15:45:00,17.39,83.7,14.62,4.18
37,8/16/14 15:50:00,17.39,83.7,14.62,4.18
38,8/16/14 15:55:00,17.39,83.8,14.64,4.18
39,8/16/14 16:00:00,17.39,83.8,14.64,4.18
40,8/16/14 16:05:00,17.39,83.8,14.64,4.18
41,8/16/14 16:10:00,17.39,83.8,14.64,4.19
42,8/16/14 16:15:00,17.39,83.8,14.64,4.19
43,8/16/14 16:20:00,17.39,83.8,14.64,4.19
44,8/16/14 16:25:00,17.39,83.8,14.64,4.19
45,8/16/14 16:30:00,17.39,83.8,14.64,4.19
46,8/16/14 16:35:00,17.39,83.8,14.64,4.19
47,8/16/14 16:40:00,17.39,83.8,14.64,4.19
