Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "Gyelpozhing"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364427
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4207
Series Info: 
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WDA-XXXX
    OMUnitIndex: 0
    OMChannelType: 20
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Temp, *C","RH, %","DewPt, *C","Wind Speed, m/s","Gust Speed, m/s","Wind Dir, *","PAR, uE","Rain, mm","Batt, V"
1,1/1/16 16:00:00,20.82,51.20,10.39,0.0,0.0,44,111,0.0,4.28
2,1/1/16 16:10:00,20.65,52.30,10.55,0.0,1.8,334,99,0.0,4.31
3,1/1/16 16:20:00,20.36,52.90,10.46,0.0,1.3,305,84,0.0,4.32
4,1/1/16 16:30:00,20.10,54.30,10.61,0.3,1.5,268,69,0.0,4.32
5,1/1/16 16:40:00,19.39,54.60,10.03,0.0,1.3,150,51,0.0,4.33
6,1/1/16 16:50:00,18.94,57.10,10.27,0.0,1.0,17,36,0.0,4.33
7,1/1/16 17:00:00,18.56,58.30,10.23,0.0,1.0,24,24,0.0,4.32
8,1/1/16 17:10:00,18.30,60.30,10.49,0.0,1.0,41,11,0.0,4.32
9,1/1/16 17:20:00,17.68,61.10,10.10,0.0,0.8,41,4,0.0,4.32
10,1/1/16 17:30:00,17.34,62.60,10.15,0.0,0.5,41,1,0.0,4.33
11,1/1/16 17:40:00,17.03,64.60,10.33,0.3,1.0,53,1,0.0,4.33
12,1/1/16 17:50:00,16.92,65.70,10.47,0.3,1.0,60,1,0.0,4.33
13,1/1/16 18:00:00,16.77,66.80,10.58,0.0,1.3,76,1,0.0,4.32
14,1/1/16 18:10:00,16.30,68.30,10.46,0.3,1.8,66,1,0.0,4.32
15,1/1/16 18:20:00,15.46,70.60,10.16,0.5,2.0,60,1,0.0,4.32
16,1/1/16 18:30:00,15.17,73.20,10.43,0.3,1.5,60,1,0.0,4.33
17,1/1/16 18:40:00,14.91,73.90,10.31,0.3,1.3,52,1,0.0,4.33
18,1/1/16 18:50:00,14.55,75.90,10.37,0.3,1.5,42,1,0.0,4.33
19,1/1/16 19:00:00,14.48,76.30,10.38,0.0,1.3,53,1,0.0,4.32
20,1/1/16 19:10:00,14.10,77.80,10.30,0.3,1.0,58,1,0.0,4.32
21,1/1/16 19:20:00,14.03,78.40,10.34,0.3,1.5,49,1,0.0,4.32
22,1/1/16 19:30:00,14.03,78.80,10.42,0.3,1.5,37,1,0.0,4.32
23,1/1/16 19:40:00,13.76,78.90,10.18,0.3,1.3,49,1,0.0,4.32
24,1/1/16 19:50:00,13.33,80.50,10.06,0.3,1.0,41,1,0.0,4.32
25,1/1/16 20:00:00,13.43,81.30,10.30,0.5,1.8,44,1,0.0,4.32
26,1/1/16 20:10:00,13.11,81.90,10.11,0.3,1.5,63,1,0.0,4.32
27,1/1/16 20:20:00,13.16,82.30,10.23,0.3,0.8,62,1,0.0,4.32
28,1/1/16 20:30:00,13.28,81.90,10.27,0.0,1.0,63,1,0.0,4.32
29,1/1/16 20:40:00,12.80,82.40,9.89,0.0,0.8,63,1,0.0,4.32
30,1/1/16 20:50:00,12.77,83.70,10.10,0.0,1.3,58,1,0.0,4.32
31,1/1/16 21:00:00,12.32,84.30,9.76,0.0,1.8,15,1,0.0,4.31
32,1/1/16 21:10:00,12.73,84.40,10.18,0.3,1.5,56,1,0.0,4.32
33,1/1/16 21:20:00,12.51,83.80,9.86,0.3,1.8,32,1,0.0,4.32
34,1/1/16 21:30:00,12.51,84.20,9.93,0.3,1.5,51,1,0.0,4.32
35,1/1/16 21:40:00,12.07,84.60,9.57,0.0,0.8,53,1,0.0,4.32
36,1/1/16 21:50:00,11.83,85.60,9.51,0.0,0.8,53,1,0.0,4.32
37,1/1/16 22:00:00,11.39,86.80,9.29,0.0,0.8,53,1,0.0,4.30
38,1/1/16 22:10:00,11.69,87.80,9.74,0.3,1.0,55,1,0.0,4.32
39,1/1/16 22:20:00,11.30,87.50,9.31,0.3,1.8,48,1,0.0,4.32
40,1/1/16 22:30:00,11.42,88.60,9.62,0.3,1.3,58,1,0.0,4.32
41,1/1/16 22:40:00,11.22,88.20,9.36,0.3,1.0,31,1,0.0,4.32
42,1/1/16 22:50:00,11.64,88.30,9.78,0.3,1.8,37,1,0.0,4.32
43,1/1/16 23:00:00,11.13,87.80,9.19,0.0,0.8,45,1,0.0,4.30
44,1/1/16 23:10:00,10.74,88.40,8.91,0.0,0.3,45,1,0.0,4.31
45,1/1/16 23:20:00,10.81,89.70,9.20,0.0,0.5,45,1,0.0,4.32
46,1/1/16 23:30:00,10.54,89.60,8.91,0.0,0.0,45,1,0.0,4.32
47,1/1/16 23:40:00,10.39,90.60,8.93,0.0,0.8,45,1,0.0,4.32
48,1/1/16 23:50:00,10.17,90.90,8.76,0.0,0.0,45,1,0.0,4.32
49,1/2/16 00:00:00,10.22,91.50,8.91,0.0,1.5,48,1,0.0,4.30
50,1/2/16 00:10:00,10.54,91.60,9.24,0.3,1.3,52,1,0.0,4.31
51,1/2/16 00:20:00,10.69,90.90,9.27,0.8,2.3,37,1,0.0,4.32
52,1/2/16 00:30:00,10.49,90.10,8.95,0.3,1.5,70,1,0.0,4.32
53,1/2/16 00:40:00,10.15,90.20,8.63,0.3,2.0,138,1,0.0,4.32
54,1/2/16 00:50:00,10.17,91.10,8.80,0.0,0.8,139,1,0.0,4.32
55,1/2/16 01:00:00,10.47,91.30,9.12,0.0,0.8,139,1,0.0,4.30
56,1/2/16 01:10:00,10.00,90.40,8.51,0.0,0.3,139,1,0.0,4.30
57,1/2/16 01:20:00,9.73,91.00,8.34,0.0,0.0,139,1,0.0,4.31
58,1/2/16 01:30:00,9.53,91.70,8.26,0.0,0.5,139,1,0.0,4.32
59,1/2/16 01:40:00,9.39,92.40,8.23,0.0,0.0,139,1,0.0,4.32
60,1/2/16 01:50:00,9.39,92.60,8.26,0.0,0.0,139,1,0.0,4.32
61,1/2/16 02:00:00,9.63,92.80,8.53,0.0,0.0,139,1,0.0,4.30
62,1/2/16 02:10:00,9.61,92.60,8.48,0.0,0.5,136,1,0.0,4.30
63,1/2/16 02:20:00,9.58,92.40,8.42,0.0,0.5,121,1,0.0,4.31
64,1/2/16 02:30:00,9.11,92.70,8.00,0.0,0.8,65,1,0.0,4.32
65,1/2/16 02:40:00,8.79,93.30,7.78,0.0,1.3,56,1,0.0,4.32
66,1/2/16 02:50:00,8.84,94.10,7.95,0.0,0.8,49,1,0.0,4.32
67,1/2/16 03:00:00,8.94,94.10,8.05,0.3,1.3,32,1,0.0,4.30
68,1/2/16 03:10:00,9.01,94.20,8.14,0.0,0.8,34,1,0.0,4.30
69,1/2/16 03:20:00,8.84,93.90,7.92,0.0,0.3,45,1,0.0,4.31
70,1/2/16 03:30:00,9.06,93.90,8.14,0.0,0.5,45,1,0.0,4.31
71,1/2/16 03:40:00,8.92,93.80,7.98,0.0,0.3,45,1,0.0,4.32
72,1/2/16 03:50:00,8.89,94.10,8.00,0.0,0.5,45,1,0.0,4.32
73,1/2/16 04:00:00,8.72,94.00,7.81,0.0,0.5,45,1,0.0,4.30
74,1/2/16 04:10:00,8.74,94.20,7.87,0.0,0.5,45,1,0.0,4.30
75,1/2/16 04:20:00,8.57,94.40,7.73,0.0,0.5,45,1,0.0,4.35
76,1/2/16 04:30:00,8.44,94.70,7.65,0.0,1.0,45,1,0.0,4.31
77,1/2/16 04:40:00,8.54,95.10,7.81,0.0,0.0,44,1,0.0,4.31
78,1/2/16 04:50:00,8.54,94.90,7.78,0.0,0.5,44,1,0.0,4.32
79,1/2/16 05:00:00,8.24,95.10,7.51,0.0,0.3,44,1,0.0,4.30
80,1/2/16 05:10:00,8.17,95.30,7.47,0.0,0.5,44,1,0.0,4.30
81,1/2/16 05:20:00,8.19,95.40,7.51,0.0,0.8,44,1,0.0,4.30
82,1/2/16 05:30:00,8.07,95.70,7.43,0.0,0.8,44,1,0.0,4.31
83,1/2/16 05:40:00,8.14,95.90,7.54,0.0,0.8,44,1,0.0,4.32
84,1/2/16 05:50:00,7.87,96.00,7.28,0.0,0.5,45,1,0.0,4.32
85,1/2/16 06:00:00,7.67,96.20,7.11,0.0,0.5,45,1,0.0,4.30
86,1/2/16 06:10:00,7.67,96.50,7.16,0.0,0.5,45,1,0.0,4.30
87,1/2/16 06:20:00,7.74,96.40,7.22,0.0,0.5,45,1,0.0,4.30
88,1/2/16 06:30:00,7.64,96.50,7.13,0.0,1.0,45,1,0.0,4.31
89,1/2/16 06:40:00,7.74,96.70,7.26,0.0,1.0,48,1,0.0,4.31
90,1/2/16 06:50:00,7.77,96.40,7.24,0.0,0.5,49,6,0.0,4.32
91,1/2/16 07:00:00,7.64,96.40,7.12,0.0,1.0,49,16,0.0,4.30
92,1/2/16 07:10:00,7.59,96.50,7.08,0.0,0.8,48,34,0.0,4.30
93,1/2/16 07:20:00,7.74,96.60,7.25,0.0,0.5,48,51,0.0,4.30
94,1/2/16 07:30:00,8.12,96.40,7.59,0.0,0.8,48,76,0.0,4.30
95,1/2/16 07:40:00,8.14,96.00,7.55,0.0,0.3,48,111,0.0,4.31
96,1/2/16 07:50:00,8.29,95.70,7.66,0.0,0.8,48,131,0.0,4.31
97,1/2/16 08:00:00,8.82,95.60,8.16,0.0,0.0,48,221,0.0,4.30
98,1/2/16 08:10:00,9.80,94.30,8.94,0.0,0.5,48,346,0.0,4.30
99,1/2/16 08:20:00,10.69,91.80,9.42,0.0,1.0,48,441,0.0,4.30
100,1/2/16 08:30:00,10.91,90.00,9.34,0.0,0.8,46,494,0.0,4.32
101,1/2/16 08:40:00,12.03,88.50,10.20,0.0,1.0,63,556,0.0,4.30
102,1/2/16 08:50:00,13.16,83.50,10.44,0.0,1.0,66,639,0.0,4.30
103,1/2/16 09:00:00,12.87,81.60,9.81,0.0,0.5,60,696,0.0,4.29
104,1/2/16 09:10:00,13.88,81.10,10.71,0.0,0.5,24,736,0.0,4.30
105,1/2/16 09:20:00,15.03,78.10,11.26,0.0,0.8,24,786,0.0,4.30
106,1/2/16 09:30:00,15.89,74.00,11.28,0.0,0.5,24,849,0.0,4.30
107,1/2/16 09:40:00,15.63,73.30,10.88,0.0,0.8,24,936,0.0,4.30
108,1/2/16 09:50:00,16.42,69.80,10.90,0.0,0.5,22,984,0.0,4.30
109,1/2/16 10:00:00,16.32,65.30,9.81,0.0,0.8,22,794,0.0,4.28
110,1/2/16 10:10:00,17.20,66.90,11.02,0.0,0.5,22,779,0.0,4.29
111,1/2/16 10:20:00,18.41,62.30,11.09,0.0,0.8,355,944,0.0,4.30
112,1/2/16 10:30:00,19.08,58.90,10.87,0.0,0.8,303,1051,0.0,4.30
113,1/2/16 10:40:00,19.58,52.80,9.70,0.3,1.0,298,1234,0.0,4.30
114,1/2/16 10:50:00,20.29,49.80,9.49,0.3,1.3,337,1096,0.0,4.30
115,1/2/16 11:00:00,19.41,50.40,8.86,0.0,1.0,306,841,0.0,4.30
116,1/2/16 11:10:00,20.39,50.00,9.64,0.0,1.0,300,1001,0.0,4.30
117,1/2/16 11:20:00,21.44,47.10,9.71,0.5,1.5,243,1321,0.0,4.30
118,1/2/16 11:30:00,21.94,44.90,9.45,0.3,1.5,254,1206,0.0,4.31
119,1/2/16 11:40:00,22.85,43.00,9.63,0.5,1.5,278,1321,0.0,4.34
120,1/2/16 11:50:00,22.01,42.20,8.60,0.3,1.5,265,1034,0.0,4.34
121,1/2/16 12:00:00,22.90,41.90,9.29,0.5,2.0,268,1281,0.0,4.30
122,1/2/16 12:10:00,24.46,39.70,9.89,0.3,1.0,233,1266,0.0,4.31
123,1/2/16 12:20:00,24.77,37.90,9.47,0.3,1.3,216,1259,0.0,4.32
124,1/2/16 12:30:00,23.59,36.30,7.79,0.5,2.0,188,1251,0.0,4.32
125,1/2/16 12:40:00,24.73,35.90,8.63,0.5,2.3,205,1244,0.0,4.32
126,1/2/16 12:50:00,25.36,35.10,8.85,0.3,1.5,254,1159,0.0,4.29
127,1/2/16 13:00:00,24.80,33.90,7.85,0.5,2.0,212,1201,0.0,4.29
