Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "KMSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364424
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4204
Series Info: 
  - name: "Water Cont"
    type: value
    unitName: ""
    OMClassName: OMWaterContent2_HWS
    OMPartNumber: S-SMD-M005
    OMUnitIndex: 0
    OMChannelType: 18
    OMValuePattern: "#,##0.0000;-#,##0.0000"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Water Cont, m^3/m^3","PAR, uE","Temp, *C","RH, %","DewPt, *C","Rain, mm","Batt, V"
1,4/1/16 10:40:00,0.0893,1641,17.80,46.90,6.32,0.0,4.50
2,4/1/16 10:50:00,0.0887,1644,16.75,47.20,5.45,0.0,4.50
3,4/1/16 11:00:00,0.0893,1626,17.77,46.10,6.05,0.0,4.50
4,4/1/16 11:10:00,0.0902,1704,18.77,44.70,6.51,0.0,4.50
5,4/1/16 11:20:00,0.0893,1751,19.58,41.40,6.13,0.0,4.50
6,4/1/16 11:30:00,0.0893,1651,20.01,39.10,5.69,0.0,4.50
7,4/1/16 11:40:00,0.0896,1516,19.75,38.10,5.08,0.0,4.50
8,4/1/16 11:50:00,0.0881,1426,19.60,37.10,4.57,0.0,4.50
9,4/1/16 12:00:00,0.0887,1521,20.13,37.50,5.19,0.0,4.50
10,4/1/16 12:10:00,0.0893,1679,20.98,35.70,5.24,0.0,4.49
11,4/1/16 12:20:00,0.0896,1811,21.10,32.80,4.13,0.0,4.49
12,4/1/16 12:30:00,0.0896,1854,21.77,35.40,5.82,0.0,4.51
13,4/1/16 12:40:00,0.0893,1944,21.10,35.80,5.39,0.0,4.49
14,4/1/16 12:50:00,0.0887,1906,21.01,37.30,5.90,0.0,4.50
15,4/1/16 13:00:00,0.0887,1844,21.37,38.20,6.56,0.0,4.50
16,4/1/16 13:10:00,0.0863,1814,20.86,37.80,5.96,0.0,4.50
17,4/1/16 13:20:00,0.0857,1756,21.34,39.30,6.95,0.0,4.50
18,4/1/16 13:30:00,0.0844,1734,21.41,38.60,6.75,0.0,4.50
19,4/1/16 13:40:00,0.0844,1691,21.46,39.30,7.06,0.0,4.50
20,4/1/16 13:50:00,0.0822,1434,20.36,39.90,6.30,0.2,4.51
21,4/1/16 14:00:00,0.0803,1361,20.48,41.20,6.87,0.0,4.51
22,4/1/16 14:10:00,0.0816,1414,20.56,41.70,7.11,0.0,4.54
23,4/1/16 14:20:00,0.0762,936,19.41,44.70,7.09,0.0,4.51
24,4/1/16 14:30:00,0.0752,781,18.98,43.80,6.41,0.0,4.51
25,4/1/16 14:40:00,0.0715,459,18.51,45.60,6.56,0.0,4.51
26,4/1/16 14:50:00,0.0702,409,18.22,46.30,6.52,0.0,4.51
27,4/1/16 15:00:00,0.0684,346,17.75,47.60,6.49,0.0,4.51
28,4/1/16 15:10:00,0.0691,369,17.42,48.90,6.58,0.0,4.51
29,4/1/16 15:20:00,0.0671,371,17.39,51.00,7.17,0.0,4.51
30,4/1/16 15:30:00,0.0678,436,17.15,52.00,7.23,0.0,4.51
31,4/1/16 15:40:00,0.0678,366,16.99,52.50,7.22,0.0,4.51
32,4/1/16 15:50:00,0.0660,236,16.06,55.00,7.03,0.0,4.52
33,4/1/16 16:00:00,0.0653,226,15.77,57.10,7.31,0.0,4.33
34,4/1/16 16:10:00,0.0660,271,15.84,58.10,7.64,0.0,4.32
35,4/1/16 16:20:00,0.0660,344,15.75,58.60,7.67,0.0,4.32
36,4/1/16 16:30:00,0.0664,379,15.72,59.50,7.87,0.0,4.30
37,4/1/16 16:40:00,0.0664,389,15.53,59.30,7.64,0.0,4.29
38,4/1/16 16:50:00,0.0660,284,15.25,60.20,7.59,0.0,4.29
39,4/1/16 17:00:00,0.0653,199,14.84,61.50,7.52,0.0,4.29
40,4/1/16 17:10:00,0.0653,186,14.60,63.60,7.79,0.0,4.29
41,4/1/16 17:20:00,0.0646,166,14.67,63.80,7.90,0.0,4.29
42,4/1/16 17:30:00,0.0646,129,14.72,64.10,8.02,0.0,4.29
43,4/1/16 17:40:00,0.0646,99,14.65,63.60,7.84,0.0,4.28
44,4/1/16 17:50:00,0.0646,49,14.53,63.70,7.75,0.0,4.28
45,4/1/16 18:00:00,0.0639,26,14.39,64.40,7.77,0.0,4.28
46,4/1/16 18:10:00,0.0646,11,14.15,64.90,7.66,0.0,4.28
47,4/1/16 18:20:00,0.0639,4,13.86,66.70,7.78,0.0,4.28
48,4/1/16 18:30:00,0.0646,1,13.59,68.60,7.94,0.0,4.28
49,4/1/16 18:40:00,0.0646,1,13.50,69.00,7.94,0.0,4.28
50,4/1/16 18:50:00,0.0646,1,13.23,69.60,7.81,0.0,4.28
51,4/1/16 19:00:00,0.0646,1,12.82,71.10,7.73,0.0,4.28
52,4/1/16 19:10:00,0.0646,1,12.49,72.30,7.65,0.0,4.28
53,4/1/16 19:20:00,0.0639,1,12.56,73.30,7.92,0.0,4.28
54,4/1/16 19:30:00,0.0639,1,12.36,73.50,7.77,0.0,4.28
55,4/1/16 19:40:00,0.0639,1,12.39,76.10,8.31,0.0,4.30
56,4/1/16 19:50:00,0.0646,1,12.41,75.20,8.16,0.0,4.27
57,4/1/16 20:00:00,0.0653,1,12.44,74.90,8.12,0.0,4.27
58,4/1/16 20:10:00,0.0653,1,12.34,75.00,8.05,0.2,4.27
59,4/1/16 20:20:00,0.0653,1,12.41,75.70,8.26,0.0,4.27
60,4/1/16 20:30:00,0.0653,1,12.22,75.90,8.11,0.0,4.27
61,4/1/16 20:40:00,0.0646,1,12.39,76.10,8.31,0.0,4.27
62,4/1/16 20:50:00,0.0653,1,12.36,76.60,8.38,0.0,4.27
63,4/1/16 21:00:00,0.0653,1,12.56,76.40,8.53,0.0,4.27
64,4/1/16 21:10:00,0.0653,1,12.49,76.80,8.54,0.0,4.27
65,4/1/16 21:20:00,0.0660,1,12.58,76.70,8.61,0.0,4.27
66,4/1/16 21:30:00,0.0653,1,12.65,76.60,8.66,0.0,4.27
67,4/1/16 21:40:00,0.0660,1,12.70,76.30,8.65,0.0,4.27
68,4/1/16 21:50:00,0.0660,1,12.49,75.80,8.35,0.0,4.27
69,4/1/16 22:00:00,0.0660,1,12.34,76.60,8.36,0.0,4.27
70,4/1/16 22:10:00,0.0660,1,12.58,77.70,8.80,0.0,4.27
71,4/1/16 22:20:00,0.0660,1,12.58,77.10,8.69,0.0,4.27
72,4/1/16 22:30:00,0.0639,1,12.63,76.90,8.70,0.0,4.27
73,4/1/16 22:40:00,0.0660,1,12.65,76.80,8.70,0.0,4.27
74,4/1/16 22:50:00,0.0660,1,12.53,77.20,8.66,0.0,4.27
75,4/1/16 23:00:00,0.0660,1,12.49,77.70,8.71,0.0,4.27
76,4/1/16 23:10:00,0.0660,1,12.46,77.80,8.71,0.0,4.27
77,4/1/16 23:20:00,0.0671,1,12.17,79.20,8.69,0.0,4.27
78,4/1/16 23:30:00,0.0678,1,11.98,80.90,8.81,0.0,4.27
79,4/1/16 23:40:00,0.0678,1,11.73,82.10,8.79,0.0,4.25
80,4/1/16 23:50:00,0.0664,1,11.78,83.60,9.11,0.0,4.30
81,4/2/16 00:00:00,0.0678,1,11.61,85.00,9.19,0.0,4.27
82,4/2/16 00:10:00,0.0684,1,11.59,84.90,9.15,0.0,4.27
83,4/2/16 00:20:00,0.0678,1,11.56,84.90,9.12,0.0,4.27
84,4/2/16 00:30:00,0.0671,1,11.61,85.10,9.21,0.0,4.27
85,4/2/16 00:40:00,0.0678,1,11.49,84.90,9.05,0.0,4.25
86,4/2/16 00:50:00,0.0671,1,11.37,85.60,9.06,0.0,4.26
87,4/2/16 01:00:00,0.0671,1,11.25,86.10,9.02,0.0,4.27
88,4/2/16 01:10:00,0.0671,1,11.52,85.80,9.23,0.0,4.27
89,4/2/16 01:20:00,0.0671,1,11.44,85.50,9.11,0.0,4.27
90,4/2/16 01:30:00,0.0671,1,11.52,85.40,9.16,0.0,4.27
91,4/2/16 01:40:00,0.0671,1,11.39,84.80,8.94,0.0,4.25
92,4/2/16 01:50:00,0.0671,1,11.56,82.70,8.74,0.0,4.26
93,4/2/16 02:00:00,0.0671,1,11.47,81.00,8.33,0.0,4.26
94,4/2/16 02:10:00,0.0671,1,11.27,81.90,8.31,0.0,4.26
95,4/2/16 02:20:00,0.0671,1,11.39,81.70,8.39,0.0,4.26
96,4/2/16 02:30:00,0.0671,1,11.35,80.70,8.16,0.0,4.26
97,4/2/16 02:40:00,0.0671,1,10.83,81.90,7.88,0.0,4.25
98,4/2/16 02:50:00,0.0671,1,11.18,83.50,8.50,0.0,4.25
99,4/2/16 03:00:00,0.0671,1,11.13,82.40,8.25,0.0,4.25
100,4/2/16 03:10:00,0.0684,1,11.00,83.00,8.24,0.0,4.25
101,4/2/16 03:20:00,0.0678,1,11.18,83.50,8.50,0.0,4.25
102,4/2/16 03:30:00,0.0678,1,10.98,83.10,8.23,0.0,4.25
103,4/2/16 03:40:00,0.0671,1,10.81,83.70,8.17,0.0,4.25
104,4/2/16 03:50:00,0.0664,1,10.61,84.60,8.14,0.0,4.25
105,4/2/16 04:00:00,0.0664,1,10.32,84.90,7.90,0.0,4.25
106,4/2/16 04:10:00,0.0671,1,9.88,86.40,7.73,0.0,4.29
107,4/2/16 04:20:00,0.0664,1,9.80,87.40,7.82,0.0,4.25
108,4/2/16 04:30:00,0.0664,1,9.68,87.30,7.68,0.0,4.25
109,4/2/16 04:40:00,0.0671,1,9.61,87.60,7.66,0.0,4.25
110,4/2/16 04:50:00,0.0664,1,9.44,88.20,7.59,0.0,4.25
111,4/2/16 05:00:00,0.0671,1,9.36,88.90,7.63,0.0,4.25
112,4/2/16 05:10:00,0.0671,1,9.36,89.80,7.78,0.0,4.25
113,4/2/16 05:20:00,0.0664,1,9.24,89.90,7.68,0.0,4.25
114,4/2/16 05:30:00,0.0671,1,9.16,89.90,7.60,0.0,4.25
115,4/2/16 05:40:00,0.0671,1,8.99,90.00,7.45,0.0,4.25
116,4/2/16 05:50:00,0.0671,1,8.97,90.50,7.50,0.0,4.25
117,4/2/16 06:00:00,0.0678,6,9.21,90.80,7.80,0.0,4.25
118,4/2/16 06:10:00,0.0678,11,9.44,90.70,8.00,0.0,4.25
119,4/2/16 06:20:00,0.0691,16,9.53,90.70,8.10,0.0,4.25
120,4/2/16 06:30:00,0.0691,34,9.63,89.80,8.05,0.0,4.25
121,4/2/16 06:40:00,0.0691,61,9.66,89.10,7.96,0.0,4.25
122,4/2/16 06:50:00,0.0691,91,10.15,88.20,8.29,0.0,4.25
123,4/2/16 07:00:00,0.0691,116,10.47,87.30,8.46,0.0,4.25
124,4/2/16 07:10:00,0.0695,141,10.42,86.50,8.27,0.0,4.25
125,4/2/16 07:20:00,0.0691,159,10.59,85.90,8.34,0.0,4.25
126,4/2/16 07:30:00,0.0691,189,10.96,85.90,8.70,0.0,4.25
127,4/2/16 07:40:00,0.0695,241,11.05,85.40,8.71,0.0,4.25
128,4/2/16 07:50:00,0.0691,319,11.66,83.90,9.04,0.0,4.25
129,4/2/16 08:00:00,0.0695,356,11.78,81.80,8.79,0.0,4.25
130,4/2/16 08:10:00,0.0695,444,12.61,80.00,9.26,0.0,4.25
131,4/2/16 08:20:00,0.0695,574,12.97,77.60,9.16,0.0,4.25
132,4/2/16 08:30:00,0.0695,511,13.40,75.30,9.13,0.0,4.25
133,4/2/16 08:40:00,0.0702,1071,15.65,72.30,10.70,0.0,4.25
134,4/2/16 08:50:00,0.0708,1516,15.94,65.20,9.43,0.0,4.25
135,4/2/16 09:00:00,0.0708,1594,17.70,60.30,9.93,0.0,4.25
136,4/2/16 09:10:00,0.0715,1266,16.92,58.70,8.79,0.0,4.25
137,4/2/16 09:20:00,0.0695,789,16.65,57.80,8.32,0.0,4.25
138,4/2/16 09:30:00,0.0684,566,16.34,56.00,7.56,0.0,4.25
139,4/2/16 09:40:00,0.0684,806,16.77,55.70,7.88,0.0,4.25
140,4/2/16 09:50:00,0.0702,1266,17.99,52.30,8.09,0.0,4.25
141,4/2/16 10:00:00,0.0702,1234,19.34,50.50,8.82,0.0,4.25
142,4/2/16 10:10:00,0.0732,1914,20.98,45.00,8.62,0.0,4.25
143,4/2/16 10:20:00,0.0738,1849,20.36,41.90,7.01,0.0,4.25
144,4/2/16 10:30:00,0.0702,1371,19.51,42.60,6.48,0.0,4.25
145,4/2/16 10:40:00,0.0695,1491,20.51,42.80,7.45,0.0,4.24
146,4/2/16 10:50:00,0.0691,1701,20.77,43.10,7.79,0.0,4.25
147,4/2/16 11:00:00,0.0671,884,19.41,42.20,6.25,0.0,4.27
148,4/2/16 11:10:00,0.0678,1209,19.34,43.70,6.70,0.0,4.25
