Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "KMSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364424
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4204
Series Info: 
  - name: "Water Cont"
    type: value
    unitName: ""
    OMClassName: OMWaterContent2_HWS
    OMPartNumber: S-SMD-M005
    OMUnitIndex: 0
    OMChannelType: 4
    OMValuePattern: "#,##0.0000;-#,##0.0000"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Water Cont, m^3/m^3","PAR, uE","Temp, *C","RH, %","DewPt, *C","Batt, V"
1,3/11/15 13:10:00,0.0547,1684,23.14,24.30,1.65,3.84
2,3/11/15 13:20:00,0.0528,1676,22.03,23.80,0.43,3.85
3,3/11/15 13:30:00,0.0517,1664,21.96,24.80,0.94,3.85
4,3/11/15 13:40:00,0.0501,1626,22.27,25.50,1.59,3.85
5,3/11/15 13:50:00,0.0501,1601,21.25,25.60,0.78,3.85
6,3/11/15 14:00:00,0.0490,1449,22.13,25.90,1.69,3.85
7,3/11/15 14:10:00,0.0474,1519,21.75,26.70,1.79,3.85
8,3/11/15 14:20:00,0.0470,1454,21.80,26.70,1.83,3.85
9,3/11/15 14:30:00,0.0454,1401,22.18,27.90,2.77,3.85
10,3/11/15 14:40:00,0.0425,1324,21.01,28.60,2.12,3.85
11,3/11/15 14:50:00,0.0421,1261,21.15,29.70,2.77,3.85
12,3/11/15 15:00:00,0.0405,1204,20.86,30.50,2.90,3.85
13,3/11/15 15:10:00,0.0401,1129,20.44,31.70,3.07,3.85
14,3/11/15 15:20:00,0.0392,1056,20.53,32.50,3.50,3.86
15,3/11/15 15:30:00,0.0375,984,20.13,33.00,3.37,3.86
16,3/11/15 15:40:00,0.0371,901,19.86,33.00,3.14,3.86
17,3/11/15 15:50:00,0.0363,839,19.17,33.90,2.91,3.86
18,3/11/15 16:00:00,0.0354,759,19.51,33.60,3.08,3.86
19,3/11/15 16:10:00,0.0341,679,18.84,34.80,2.99,3.86
20,3/11/15 16:20:00,0.0328,544,18.60,36.20,3.34,3.86
21,3/11/15 16:30:00,0.0328,516,18.41,37.00,3.48,3.86
22,3/11/15 16:40:00,0.0319,306,17.44,38.70,3.24,3.86
23,3/11/15 16:50:00,0.0306,179,16.89,40.70,3.47,3.86
24,3/11/15 17:00:00,0.0306,156,16.58,41.80,3.57,3.86
25,3/11/15 17:10:00,0.0297,136,16.13,43.40,3.69,3.86
26,3/11/15 17:20:00,0.0288,114,15.70,45.60,4.00,3.89
