Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "PMSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364428
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4208
Series Info: 
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WDA-XXXX
    OMUnitIndex: 0
    OMChannelType: 4
    OMValuePattern: "#,##0.;-#,##0."
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0.;-#,##0."
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 BATTERY
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Temp, *C","RH, %","DewPt, *C","Wind Speed, m/s","Gust Speed, m/s","Wind Dir, *","PAR, uE","Rain, mm","Batt, V"
1,9/23/14 23:00:00,24.05,95.6,23.33,0.0,0.0,14.,1.,0.0,4.15
2,9/23/14 23:10:00,24.00,95.8,23.32,0.0,0.0,14.,1.,0.0,4.15
3,9/23/14 23:20:00,23.91,96.4,23.33,0.0,0.0,14.,1.,0.0,4.15
4,9/23/14 23:30:00,23.91,96.7,23.38,0.0,0.0,14.,1.,0.0,4.15
5,9/23/14 23:40:00,23.88,97.0,23.41,0.0,0.0,14.,1.,0.0,4.15
6,9/23/14 23:50:00,23.93,97.1,23.47,0.0,0.3,14.,1.,0.0,4.15
7,9/24/14 00:00:00,23.93,97.0,23.46,0.0,0.0,14.,1.,0.0,4.15
8,9/24/14 00:10:00,23.86,97.0,23.39,0.0,0.0,14.,1.,0.0,4.15
9,9/24/14 00:20:00,23.79,97.3,23.37,0.0,0.0,14.,1.,0.0,4.15
10,9/24/14 00:30:00,23.71,97.5,23.32,0.0,0.0,14.,1.,0.0,4.15
11,9/24/14 00:40:00,23.71,97.6,23.34,0.0,0.0,14.,1.,0.0,4.15
12,9/24/14 00:50:00,23.66,97.7,23.31,0.0,0.0,14.,1.,0.0,4.15
13,9/24/14 01:00:00,23.62,97.7,23.27,0.0,0.0,14.,1.,0.0,4.19
14,9/24/14 01:10:00,23.62,97.7,23.27,0.0,0.0,14.,1.,0.0,4.15
15,9/24/14 01:20:00,23.62,97.8,23.28,0.0,0.0,14.,1.,0.0,4.15
16,9/24/14 01:30:00,23.62,97.9,23.30,0.0,0.0,14.,1.,0.0,4.15
17,9/24/14 01:40:00,23.57,98.1,23.28,0.0,0.0,14.,1.,0.0,4.15
18,9/24/14 01:50:00,23.57,98.1,23.28,0.0,0.0,14.,1.,0.0,4.15
19,9/24/14 02:00:00,23.57,98.1,23.28,0.0,0.0,14.,1.,0.0,4.15
20,9/24/14 02:10:00,23.59,98.2,23.32,0.0,0.0,14.,1.,0.0,4.15
21,9/24/14 02:20:00,23.54,98.2,23.27,0.0,0.0,14.,1.,0.0,4.15
22,9/24/14 02:30:00,23.52,98.4,23.28,0.0,0.0,14.,1.,0.0,4.15
23,9/24/14 02:40:00,23.50,98.4,23.26,0.0,0.0,14.,1.,0.0,4.15
24,9/24/14 02:50:00,23.47,98.4,23.23,0.0,0.0,14.,1.,0.0,4.15
25,9/24/14 03:00:00,23.50,98.5,23.28,0.0,0.0,14.,1.,0.0,4.15
26,9/24/14 03:10:00,23.47,98.6,23.27,0.0,0.0,14.,1.,0.0,4.15
27,9/24/14 03:20:00,23.45,98.7,23.27,0.0,0.0,14.,1.,0.0,4.16
28,9/24/14 03:30:00,23.42,98.5,23.20,0.0,0.0,14.,1.,0.0,4.15
29,9/24/14 03:40:00,23.47,98.4,23.23,0.0,0.0,14.,1.,0.0,4.18
30,9/24/14 03:50:00,23.45,98.5,23.23,0.0,0.0,14.,1.,0.0,4.15
31,9/24/14 04:00:00,23.47,98.6,23.27,0.0,0.0,14.,1.,0.0,4.15
32,9/24/14 04:10:00,23.45,98.7,23.27,0.0,0.0,14.,1.,0.0,4.15
33,9/24/14 04:20:00,23.47,98.7,23.29,0.0,0.0,14.,1.,0.0,4.15
34,9/24/14 04:30:00,23.47,98.8,23.30,0.0,0.0,14.,1.,0.0,4.15
35,9/24/14 04:40:00,23.42,98.9,23.27,0.0,0.0,14.,1.,0.0,4.16
36,9/24/14 04:50:00,23.45,98.9,23.30,0.0,0.0,14.,1.,0.0,4.16
37,9/24/14 05:00:00,23.40,98.9,23.25,0.0,0.0,14.,1.,0.0,4.16
38,9/24/14 05:10:00,23.40,98.9,23.25,0.0,0.0,14.,1.,0.0,4.16
39,9/24/14 05:20:00,23.35,99.0,23.22,0.0,0.0,14.,1.,0.0,4.15
40,9/24/14 05:30:00,23.26,99.0,23.13,0.0,0.0,14.,1.,0.0,4.15
41,9/24/14 05:40:00,23.28,99.1,23.16,0.0,0.0,14.,1.,0.0,4.15
42,9/24/14 05:50:00,23.23,99.2,23.13,0.0,0.0,14.,6.,0.0,4.16
43,9/24/14 06:00:00,23.26,99.3,23.18,0.0,0.0,14.,14.,0.0,4.15
44,9/24/14 06:10:00,23.35,99.3,23.27,0.0,0.0,14.,26.,0.0,4.16
45,9/24/14 06:20:00,23.47,99.4,23.40,0.0,0.0,14.,24.,0.0,4.16
46,9/24/14 06:30:00,23.50,99.4,23.43,0.0,0.5,14.,16.,0.0,4.15
47,9/24/14 06:40:00,23.52,99.4,23.45,0.0,0.0,14.,34.,0.0,4.16
48,9/24/14 06:50:00,23.62,99.2,23.52,0.0,0.0,14.,66.,0.0,4.16
49,9/24/14 07:00:00,23.79,98.8,23.62,0.0,0.0,14.,111.,0.0,4.16
50,9/24/14 07:10:00,23.86,98.3,23.61,0.0,0.0,14.,111.,0.0,4.16
