Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "Tangmachu MSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364421
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4201
Series Info: 
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WDA-XXXX
    OMUnitIndex: 0
    OMChannelType: 4
    OMValuePattern: "#,##0.;-#,##0."
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0.;-#,##0."
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 BATTERY
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Temp, *C","RH, %","DewPt, *C","Wind Speed, m/s","Gust Speed, m/s","Wind Dir, *","PAR, uE","Rain, mm","Batt, V"
1,9/6/14 17:50:00,21.99,74.3,17.23,6.5,11.8,14.,24.,0.0,4.15
2,9/6/14 18:00:00,22.27,72.3,17.07,5.5,10.1,7.,19.,0.0,4.15
3,9/6/14 18:10:00,22.20,72.2,16.98,5.3,10.8,6.,9.,0.0,4.15
4,9/6/14 18:20:00,21.82,73.5,16.89,6.3,10.3,4.,1.,0.0,4.16
5,9/6/14 18:30:00,21.82,73.7,16.94,5.5,12.8,1.,1.,0.0,4.16
6,9/6/14 18:40:00,21.87,74.4,17.13,4.0,8.3,0.,1.,0.0,4.16
7,9/6/14 18:50:00,21.53,75.3,17.00,2.8,6.8,1.,1.,0.0,4.15
8,9/6/14 19:00:00,21.32,76.0,16.94,3.5,7.8,355.,1.,0.0,4.15
9,9/6/14 19:10:00,21.32,77.2,17.19,2.0,4.3,4.,1.,0.0,4.15
10,9/6/14 19:20:00,20.86,77.7,16.84,0.8,4.0,352.,1.,0.0,4.16
11,9/6/14 19:30:00,20.53,80.4,17.06,0.8,3.8,277.,1.,0.0,4.16
12,9/6/14 19:40:00,20.39,82.7,17.37,0.5,2.8,253.,1.,0.0,4.16
13,9/6/14 19:50:00,20.15,83.8,17.35,0.5,2.8,34.,1.,0.0,4.16
14,9/6/14 20:00:00,19.98,85.0,17.40,0.3,2.5,198.,1.,0.0,4.16
15,9/6/14 20:10:00,19.89,85.6,17.43,0.0,1.5,142.,1.,0.0,4.16
16,9/6/14 20:20:00,19.96,85.5,17.48,0.0,1.3,97.,1.,0.0,4.16
17,9/6/14 20:30:00,19.70,86.4,17.39,0.0,0.0,88.,1.,0.0,4.16
18,9/6/14 20:40:00,19.86,85.8,17.43,0.0,0.0,88.,1.,0.0,4.16
19,9/6/14 20:50:00,19.63,85.4,17.13,0.0,0.0,88.,1.,0.0,4.16
20,9/6/14 21:00:00,19.67,86.9,17.45,0.0,1.3,93.,1.,0.0,4.16
21,9/6/14 21:10:00,19.41,89.4,17.64,0.8,2.3,226.,1.,0.0,4.16
22,9/6/14 21:20:00,19.65,88.7,17.76,0.0,1.5,278.,1.,0.0,4.16
23,9/6/14 21:30:00,19.56,89.6,17.83,0.0,1.3,278.,1.,0.0,4.16
24,9/6/14 21:40:00,19.58,89.8,17.88,0.3,2.3,275.,1.,0.0,4.16
25,9/6/14 21:50:00,19.51,89.5,17.76,0.0,1.5,215.,1.,0.0,4.16
26,9/6/14 22:00:00,19.48,90.3,17.87,0.0,0.0,216.,1.,0.0,4.16
27,9/6/14 22:10:00,19.29,91.5,17.89,0.0,0.3,216.,1.,0.0,4.16
28,9/6/14 22:20:00,19.22,92.3,17.96,0.0,0.8,216.,1.,0.0,4.16
29,9/6/14 22:30:00,19.17,92.5,17.95,0.0,1.3,216.,1.,0.0,4.16
30,9/6/14 22:40:00,19.22,92.5,18.00,0.0,1.3,216.,1.,0.0,4.15
31,9/6/14 22:50:00,19.34,91.9,18.01,0.0,1.0,233.,1.,0.0,4.16
32,9/6/14 23:00:00,19.03,92.8,17.86,0.0,1.0,265.,1.,0.0,4.16
33,9/6/14 23:10:00,19.03,93.7,18.01,0.0,0.8,18.,1.,0.0,4.16
34,9/6/14 23:20:00,19.17,92.9,18.02,0.3,1.5,272.,1.,0.0,4.16
35,9/6/14 23:30:00,18.98,93.8,17.98,0.5,2.5,261.,1.,0.0,4.16
36,9/6/14 23:40:00,18.98,92.3,17.73,0.3,2.0,279.,1.,0.0,4.15
37,9/6/14 23:50:00,18.82,94.8,17.99,0.5,2.3,250.,1.,0.0,4.15
38,9/7/14 00:00:00,18.72,96.1,18.11,1.0,2.5,253.,1.,0.0,4.16
39,9/7/14 00:10:00,18.68,96.2,18.09,0.0,1.0,258.,1.,0.0,4.16
40,9/7/14 00:20:00,18.51,97.0,18.05,0.0,0.0,286.,1.,0.0,4.16
41,9/7/14 00:30:00,18.30,97.5,17.92,0.0,0.3,286.,1.,0.0,4.16
42,9/7/14 00:40:00,18.37,97.2,17.94,0.0,0.5,286.,1.,0.0,4.15
43,9/7/14 00:50:00,18.41,96.7,17.90,0.0,0.8,286.,1.,0.0,4.16
44,9/7/14 01:00:00,18.32,96.8,17.83,0.0,1.0,285.,1.,0.0,4.16
45,9/7/14 01:10:00,18.25,98.0,17.95,0.0,1.3,285.,1.,0.0,4.16
46,9/7/14 01:20:00,18.34,98.1,18.06,0.0,0.3,284.,1.,0.0,4.16
47,9/7/14 01:30:00,18.56,96.4,18.00,0.0,1.3,136.,1.,0.0,4.16
48,9/7/14 01:40:00,18.39,95.8,17.73,0.0,0.0,125.,1.,0.0,4.15
49,9/7/14 01:50:00,18.15,96.8,17.66,0.0,0.3,125.,1.,0.0,4.15
50,9/7/14 02:00:00,18.25,97.4,17.85,0.0,0.5,125.,1.,0.0,4.16
51,9/7/14 02:10:00,18.22,97.0,17.76,0.0,0.5,125.,1.,0.0,4.16
52,9/7/14 02:20:00,18.15,96.9,17.67,0.0,0.0,125.,1.,0.0,4.16
53,9/7/14 02:30:00,18.34,95.7,17.66,0.0,0.8,125.,1.,0.0,4.16
54,9/7/14 02:40:00,18.32,95.5,17.61,0.0,0.0,125.,1.,0.0,4.15
55,9/7/14 02:50:00,18.22,96.2,17.63,0.0,0.0,125.,1.,0.0,4.16
56,9/7/14 03:00:00,18.10,96.4,17.54,0.0,0.0,125.,1.,0.0,4.16
57,9/7/14 03:10:00,18.08,95.5,17.37,0.0,0.0,125.,1.,0.0,4.16
58,9/7/14 03:20:00,18.37,95.2,17.61,0.0,0.0,125.,1.,0.0,4.16
59,9/7/14 03:30:00,18.20,95.6,17.51,0.0,0.5,125.,1.,0.0,4.16
60,9/7/14 03:40:00,18.03,97.2,17.60,0.0,0.8,125.,1.,0.0,4.15
61,9/7/14 03:50:00,17.89,98.7,17.71,0.5,1.5,184.,1.,0.0,4.15
62,9/7/14 04:00:00,17.87,99.4,17.80,0.0,0.8,197.,1.,0.0,4.15
63,9/7/14 04:10:00,17.77,99.5,17.71,0.0,0.3,197.,1.,0.0,4.16
64,9/7/14 04:20:00,17.82,99.4,17.75,0.0,0.0,197.,1.,0.0,4.16
65,9/7/14 04:30:00,17.75,99.1,17.63,0.0,0.0,197.,1.,0.0,4.16
66,9/7/14 04:40:00,18.13,96.8,17.64,0.0,0.8,195.,1.,0.0,4.15
67,9/7/14 04:50:00,18.08,95.3,17.34,0.0,0.3,195.,1.,0.0,4.15
68,9/7/14 05:00:00,17.84,97.9,17.53,0.0,0.0,195.,1.,0.0,4.16
69,9/7/14 05:10:00,17.80,99.4,17.73,0.3,1.3,197.,1.,0.0,4.16
70,9/7/14 05:20:00,17.72,99.9,17.73,1.0,2.5,208.,1.,0.0,4.15
71,9/7/14 05:30:00,17.49,99.9,17.50,0.0,1.5,222.,1.,0.0,4.15
72,9/7/14 05:40:00,17.44,99.8,17.43,0.0,0.5,222.,4.,0.0,4.15
73,9/7/14 05:50:00,17.46,99.8,17.45,0.3,1.3,139.,14.,0.0,4.15
74,9/7/14 06:00:00,17.70,99.9,17.71,0.0,1.5,215.,26.,0.0,4.15
75,9/7/14 06:10:00,17.68,100.0,17.70,0.0,1.3,215.,44.,0.0,4.15
76,9/7/14 06:20:00,17.80,99.7,17.78,0.0,1.0,220.,66.,0.0,4.15
77,9/7/14 06:30:00,17.72,97.2,17.29,0.3,1.3,291.,94.,0.0,4.15
78,9/7/14 06:40:00,17.94,97.0,17.48,0.0,0.5,320.,149.,0.0,4.15
79,9/7/14 06:50:00,18.58,95.3,17.84,0.0,0.3,320.,256.,0.0,4.15
80,9/7/14 07:00:00,18.10,97.2,17.67,0.3,2.0,247.,249.,0.0,4.15
81,9/7/14 07:10:00,18.20,98.1,17.92,1.0,3.3,219.,436.,0.0,4.15
82,9/7/14 07:20:00,19.27,95.1,18.49,0.0,1.3,222.,426.,0.0,4.15
83,9/7/14 07:30:00,20.15,92.0,18.83,0.0,0.3,222.,569.,0.0,4.15
84,9/7/14 07:40:00,20.27,91.3,18.83,0.0,0.8,223.,641.,0.0,4.15
85,9/7/14 07:50:00,20.60,90.1,18.94,0.0,0.5,225.,679.,0.0,4.15
86,9/7/14 08:00:00,20.53,90.2,18.89,0.0,1.5,264.,736.,0.0,4.19
87,9/7/14 08:10:00,21.25,89.4,19.46,0.0,1.0,334.,891.,0.0,4.17
88,9/7/14 08:20:00,21.27,87.8,19.19,0.0,1.0,319.,801.,0.0,4.15
89,9/7/14 08:30:00,20.34,89.2,18.53,0.0,1.0,187.,469.,0.0,4.15
90,9/7/14 08:40:00,20.65,88.8,18.76,0.0,1.3,343.,644.,0.0,4.16
91,9/7/14 08:50:00,20.79,88.0,18.75,0.0,1.5,344.,716.,0.0,4.19
92,9/7/14 09:00:00,20.91,88.5,18.96,0.0,1.3,250.,686.,0.0,4.17
93,9/7/14 09:10:00,20.79,88.6,18.86,0.0,1.5,244.,716.,0.0,4.15
94,9/7/14 09:20:00,21.53,88.1,19.50,0.0,0.8,244.,814.,0.0,4.15
95,9/7/14 09:30:00,22.44,85.4,19.89,0.0,0.8,244.,921.,0.0,4.15
96,9/7/14 09:40:00,22.82,84.0,20.00,0.0,1.3,246.,1024.,0.0,4.15
97,9/7/14 09:50:00,22.54,83.0,19.53,0.0,1.3,284.,1086.,0.0,4.15
98,9/7/14 10:00:00,22.75,81.7,19.48,0.0,1.5,292.,1109.,0.0,4.15
99,9/7/14 10:10:00,23.11,83.2,20.13,0.3,1.5,293.,1196.,0.0,4.15
100,9/7/14 10:20:00,22.37,81.9,19.15,0.3,1.5,288.,1171.,0.0,4.15
101,9/7/14 10:30:00,22.13,82.6,19.05,0.3,2.0,227.,1254.,0.0,4.15
102,9/7/14 10:40:00,23.21,80.1,19.61,0.3,2.8,250.,1291.,0.0,4.15
103,9/7/14 10:50:00,23.45,79.0,19.62,0.0,1.5,329.,1249.,0.0,4.15
104,9/7/14 11:00:00,22.82,78.2,18.85,0.5,1.8,278.,1231.,0.2,4.15
105,9/7/14 11:10:00,23.11,79.4,19.37,0.5,2.3,267.,1334.,0.0,4.15
106,9/7/14 11:20:00,23.98,74.0,19.08,0.3,1.8,291.,1364.,0.0,4.15
107,9/7/14 11:30:00,22.39,77.8,18.35,0.8,2.3,229.,1206.,0.0,4.15
108,9/7/14 11:40:00,22.58,76.1,18.18,0.8,3.5,282.,1069.,0.0,4.15
109,9/7/14 11:50:00,23.33,73.8,18.41,0.8,2.8,4.,1034.,0.0,4.15
110,9/7/14 12:00:00,22.99,73.7,18.06,0.3,2.3,341.,1016.,0.0,4.15
111,9/7/14 12:10:00,22.63,73.5,17.67,1.0,3.8,330.,1031.,0.0,4.15
112,9/7/14 12:20:00,23.04,73.0,17.96,0.8,4.0,13.,1064.,0.0,4.15
113,9/7/14 12:30:00,23.04,72.6,17.87,0.8,3.0,348.,1014.,0.0,4.15
114,9/7/14 12:40:00,23.38,72.1,18.09,0.5,2.8,0.,974.,0.0,4.15
115,9/7/14 12:50:00,22.80,72.6,17.64,0.8,3.0,338.,976.,0.0,4.15
116,9/7/14 13:00:00,23.02,72.7,17.88,0.5,2.3,350.,1011.,0.0,4.15
117,9/7/14 13:10:00,23.50,73.0,18.40,0.5,2.5,0.,954.,0.0,4.15
118,9/7/14 13:20:00,24.34,72.1,19.01,0.0,1.3,341.,911.,0.0,4.15
119,9/7/14 13:30:00,23.50,70.9,17.94,0.0,1.8,337.,914.,0.0,4.15
120,9/7/14 13:40:00,24.03,72.8,18.87,0.0,1.3,163.,1069.,0.0,4.15
121,9/7/14 13:50:00,24.10,72.4,18.85,0.0,1.0,136.,1131.,0.0,4.15
