Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "THSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364429
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4209
Series Info: 
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WDA-XXXX
    OMUnitIndex: 0
    OMChannelType: 20
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Temp, *C","RH, %","DewPt, *C","Wind Speed, m/s","Gust Speed, m/s","Wind Dir, *","PAR, uE","Rain, mm","Batt, V"
1,7/7/15 11:40:00,26.96,83.20,23.90,0.0,1.0,218,829,0.0,4.16
2,7/7/15 11:50:00,26.99,81.70,23.62,0.3,2.8,247,926,0.0,4.17
3,7/7/15 12:00:00,27.19,81.50,23.77,0.5,2.8,239,936,0.0,4.17
4,7/7/15 12:10:00,27.48,80.40,23.83,0.0,1.5,222,1004,0.0,4.17
5,7/7/15 12:20:00,27.23,82.20,23.96,0.0,2.3,327,781,0.0,4.17
6,7/7/15 12:30:00,26.87,82.70,23.70,0.3,2.3,219,749,0.0,4.17
7,7/7/15 12:40:00,27.14,83.10,24.05,0.0,1.5,220,726,0.0,4.16
8,7/7/15 12:50:00,27.43,82.70,24.26,0.0,1.8,225,791,0.0,4.17
9,7/7/15 13:00:00,27.06,83.50,24.06,0.0,1.8,237,509,0.0,4.17
10,7/7/15 13:10:00,24.63,87.20,22.39,1.0,4.3,55,424,0.0,4.17
11,7/7/15 13:20:00,24.05,91.30,22.57,1.8,4.8,41,481,0.0,4.18
12,7/7/15 13:30:00,24.00,91.40,22.54,0.8,3.5,70,531,0.0,4.18
13,7/7/15 13:40:00,24.58,91.50,23.13,0.3,1.8,80,604,0.0,4.17
14,7/7/15 13:50:00,25.14,91.90,23.76,0.5,2.0,37,669,0.0,4.17
15,7/7/15 14:00:00,25.21,92.10,23.87,0.5,2.3,15,766,0.0,4.21
16,7/7/15 14:10:00,25.67,92.60,24.41,0.8,2.0,18,871,0.0,4.20
17,7/7/15 14:20:00,27.31,90.30,25.61,0.5,2.5,45,1284,0.0,4.17
18,7/7/15 14:30:00,28.27,81.90,24.91,0.5,3.3,1,1806,0.0,4.17
19,7/7/15 14:40:00,28.77,78.60,24.71,1.0,3.0,4,1856,0.0,4.16
20,7/7/15 14:50:00,29.16,77.60,24.88,1.0,2.5,1,1664,0.0,4.16
21,7/7/15 15:00:00,30.87,72.30,25.34,0.3,2.3,343,1636,0.0,4.16
22,7/7/15 15:10:00,31.54,67.80,24.89,0.0,1.3,95,1709,0.0,4.16
23,7/7/15 15:20:00,31.54,63.90,23.90,0.0,1.8,188,1571,0.0,4.16
24,7/7/15 15:30:00,29.44,74.10,24.37,1.0,3.5,202,1239,0.0,4.16
25,7/7/15 15:40:00,28.17,81.20,24.67,1.0,3.0,188,849,0.0,4.16
26,7/7/15 15:50:00,28.72,81.20,25.20,0.3,2.3,183,1029,0.0,4.16
27,7/7/15 16:00:00,28.12,82.20,24.83,0.3,2.0,188,649,0.0,4.17
28,7/7/15 16:10:00,28.47,81.30,24.98,0.3,2.0,219,599,0.0,4.17
29,7/7/15 16:20:00,27.85,82.00,24.52,0.0,1.8,184,486,0.0,4.17
30,7/7/15 16:30:00,27.36,83.60,24.36,0.0,1.3,201,391,0.0,4.19
31,7/7/15 16:40:00,27.23,84.90,24.50,0.0,1.0,191,311,0.0,4.17
32,7/7/15 16:50:00,26.40,87.40,24.17,0.3,1.8,334,281,0.0,4.17
33,7/7/15 17:00:00,25.91,89.90,24.16,0.0,2.0,205,241,0.0,4.21
34,7/7/15 17:10:00,25.65,90.10,23.93,0.5,2.8,219,186,0.0,4.18
35,7/7/15 17:20:00,25.62,88.90,23.69,0.0,2.0,206,166,0.0,4.20
36,7/7/15 17:30:00,24.63,91.50,23.18,0.0,1.5,223,91,0.0,4.17
37,7/7/15 17:40:00,24.00,94.60,23.11,0.5,2.8,195,54,-888.9,4.17
38,7/7/15 17:50:00,23.02,96.00,22.37,0.8,3.8,216,51,-888.9,4.21
39,7/7/15 18:00:00,22.42,96.50,21.86,0.3,2.3,208,14,-888.9,4.19
40,7/7/15 18:10:00,22.27,96.90,21.79,0.3,2.8,187,16,-888.9,4.20
41,7/7/15 18:20:00,21.99,97.10,21.53,0.3,2.3,199,6,-888.9,4.18
42,7/7/15 18:30:00,22.01,97.80,21.68,0.3,3.0,202,4,-888.9,4.18
43,7/7/15 18:40:00,22.32,97.30,21.90,0.0,0.0,206,1,-888.9,4.17
44,7/7/15 18:50:00,22.35,97.10,21.89,0.0,0.5,205,1,-888.9,4.18
45,7/7/15 19:00:00,22.18,97.20,21.74,0.0,0.8,129,1,-888.9,4.18
46,7/7/15 19:10:00,22.13,97.20,21.69,0.0,0.0,156,1,-888.9,4.17
47,7/7/15 19:20:00,22.11,97.30,21.69,0.0,1.5,153,1,-888.9,4.17
48,7/7/15 19:30:00,21.82,98.00,21.52,0.5,1.8,10,1,-888.9,4.17
49,7/7/15 19:40:00,21.77,98.60,21.57,0.8,2.0,7,1,-888.9,4.17
50,7/7/15 19:50:00,21.94,98.60,21.74,0.5,1.8,20,1,-888.9,4.17
51,7/7/15 20:00:00,21.89,97.70,21.54,0.0,1.5,37,1,-888.9,4.17
52,7/7/15 20:10:00,21.89,97.80,21.56,0.0,1.0,115,1,-888.9,4.17
53,7/7/15 20:20:00,21.80,97.80,21.46,0.5,2.0,17,1,-888.9,4.17
54,7/7/15 20:30:00,21.80,98.00,21.49,0.3,1.5,20,1,-888.9,4.17
55,7/7/15 20:40:00,21.72,97.70,21.37,0.0,0.8,34,1,-888.9,4.17
56,7/7/15 20:50:00,21.60,97.40,21.20,0.3,1.5,18,1,-888.9,4.17
57,7/7/15 21:00:00,21.49,97.70,21.13,0.0,1.0,13,1,-888.9,4.17
58,7/7/15 21:10:00,21.46,97.70,21.11,0.0,1.0,20,1,-888.9,4.17
59,7/7/15 21:20:00,21.46,97.60,21.09,0.0,1.0,24,1,-888.9,4.17
60,7/7/15 21:30:00,21.37,97.50,20.98,0.3,1.0,38,1,-888.9,4.17
61,7/7/15 21:40:00,21.39,98.00,21.09,0.0,1.5,80,1,-888.9,4.17
62,7/7/15 21:50:00,21.34,97.80,21.01,0.3,1.3,34,1,-888.9,4.17
63,7/7/15 22:00:00,21.32,97.50,20.93,0.3,1.5,3,1,-888.9,4.17
64,7/7/15 22:10:00,21.29,97.30,20.88,0.5,2.5,11,1,-888.9,4.17
65,7/7/15 22:20:00,21.37,96.90,20.88,0.3,2.0,7,1,-888.9,4.17
66,7/7/15 22:30:00,21.44,96.60,20.90,0.3,1.3,13,1,-888.9,4.17
67,7/7/15 22:40:00,21.37,96.30,20.78,0.3,1.5,24,1,-888.9,4.17
68,7/7/15 22:50:00,21.39,96.00,20.75,0.3,2.0,15,1,-888.9,4.17
69,7/7/15 23:00:00,21.39,95.60,20.68,0.5,2.8,18,1,-888.9,4.16
70,7/7/15 23:10:00,21.39,95.70,20.70,0.8,2.5,10,1,-888.9,4.17
71,7/7/15 23:20:00,21.49,95.20,20.71,0.8,2.5,11,1,-888.9,4.17
72,7/7/15 23:30:00,21.44,94.80,20.60,1.0,2.8,14,1,-888.9,4.17
73,7/7/15 23:40:00,21.34,95.60,20.64,0.5,1.8,29,1,-888.9,4.17
74,7/7/15 23:50:00,21.75,95.40,21.01,0.5,1.8,14,1,-888.9,4.17
75,7/8/15 00:00:00,21.68,94.40,20.76,0.3,2.0,7,1,-888.9,4.17
76,7/8/15 00:10:00,21.63,94.80,20.79,0.0,1.3,59,1,-888.9,4.17
77,7/8/15 00:20:00,22.68,93.10,21.54,0.0,0.8,45,1,-888.9,4.17
78,7/8/15 00:30:00,22.35,91.20,20.87,0.0,0.8,108,1,-888.9,4.17
79,7/8/15 00:40:00,22.42,89.50,20.63,0.0,1.3,1,1,-888.9,4.17
80,7/8/15 00:50:00,21.82,91.70,20.44,0.0,0.0,25,1,-888.9,4.17
81,7/8/15 01:00:00,22.49,91.80,21.12,0.0,1.0,83,1,-888.9,4.17
82,7/8/15 01:10:00,22.35,90.00,20.65,0.0,0.5,45,1,-888.9,4.17
83,7/8/15 01:20:00,22.85,88.50,20.87,0.0,2.3,13,1,-888.9,4.17
84,7/8/15 01:30:00,22.20,88.70,20.27,0.0,0.0,132,1,-888.9,4.17
85,7/8/15 01:40:00,22.13,90.70,20.56,0.0,0.0,132,1,-888.9,4.17
86,7/8/15 01:50:00,22.32,90.70,20.75,0.0,0.0,132,1,-888.9,4.17
87,7/8/15 02:00:00,22.32,89.10,20.46,0.0,0.5,6,1,-888.9,4.17
88,7/8/15 02:10:00,22.56,88.00,20.50,0.0,0.3,79,1,-888.9,4.17
89,7/8/15 02:20:00,22.35,88.70,20.42,0.0,1.3,10,1,-888.9,4.17
90,7/8/15 02:30:00,22.44,88.80,20.53,0.0,0.8,39,1,-888.9,4.17
91,7/8/15 02:40:00,22.63,86.90,20.37,0.0,0.5,25,1,-888.9,4.17
92,7/8/15 02:50:00,22.58,86.00,20.15,0.0,2.3,351,1,-888.9,4.17
93,7/8/15 03:00:00,22.66,86.00,20.22,0.0,1.0,21,1,-888.9,4.17
94,7/8/15 03:10:00,22.44,85.60,19.93,0.0,1.3,336,1,-888.9,4.17
95,7/8/15 03:20:00,22.32,86.80,20.04,0.0,0.0,74,1,-888.9,4.17
96,7/8/15 03:30:00,22.82,86.10,20.40,0.0,0.0,74,1,-888.9,4.17
97,7/8/15 03:40:00,22.85,84.90,20.20,0.0,1.0,49,1,-888.9,4.17
98,7/8/15 03:50:00,23.38,83.30,20.41,0.0,1.5,10,1,-888.9,4.17
99,7/8/15 04:00:00,22.63,82.60,19.55,0.0,0.5,354,1,-888.9,4.17
100,7/8/15 04:10:00,22.94,83.50,20.02,0.0,0.3,32,1,-888.9,4.17
101,7/8/15 04:20:00,22.75,83.20,19.78,0.0,0.3,20,1,-888.9,4.17
102,7/8/15 04:30:00,23.14,83.20,20.15,0.0,0.5,20,1,-888.9,4.17
103,7/8/15 04:40:00,24.00,81.10,20.59,0.0,1.3,25,1,-888.9,4.17
104,7/8/15 04:50:00,23.45,78.60,19.54,0.0,1.5,281,1,-888.9,4.17
105,7/8/15 05:00:00,23.45,79.90,19.80,0.5,2.0,24,1,-888.9,4.17
106,7/8/15 05:10:00,23.18,81.10,19.79,0.0,0.5,58,1,-888.9,4.17
107,7/8/15 05:20:00,22.97,81.60,19.68,0.0,0.3,25,1,-888.9,4.17
108,7/8/15 05:30:00,22.90,82.20,19.72,0.0,0.3,22,11,-888.9,4.17
109,7/8/15 05:40:00,23.11,81.90,19.88,0.0,1.3,32,26,-888.9,4.21
110,7/8/15 05:50:00,23.21,81.40,19.87,0.0,0.0,32,49,-888.9,4.19
111,7/8/15 06:00:00,22.85,83.00,19.83,0.0,0.0,32,61,-888.9,4.17
112,7/8/15 06:10:00,23.30,82.70,20.22,0.0,0.8,8,79,-888.9,4.17
113,7/8/15 06:20:00,23.02,83.50,20.10,0.0,0.0,354,109,-888.9,4.17
114,7/8/15 06:30:00,23.62,82.10,20.41,0.0,0.8,42,126,-888.9,4.17
115,7/8/15 06:40:00,23.86,81.40,20.50,0.0,1.0,101,159,-888.9,4.17
116,7/8/15 06:50:00,23.76,81.90,20.51,0.0,0.0,72,204,-888.9,4.17
117,7/8/15 07:00:00,24.48,81.40,21.12,0.0,0.0,347,271,-888.9,4.17
118,7/8/15 07:10:00,24.80,79.50,21.04,0.0,0.8,44,361,-888.9,4.17
119,7/8/15 07:20:00,25.14,79.60,21.39,0.0,0.0,46,351,-888.9,4.17
120,7/8/15 07:30:00,25.31,78.40,21.30,0.0,0.0,46,361,-888.9,4.17
121,7/8/15 07:40:00,26.92,77.10,22.59,0.0,0.0,46,531,-888.9,4.17
122,7/8/15 07:50:00,26.67,73.60,21.59,0.0,0.0,351,481,-888.9,4.17
123,7/8/15 08:00:00,27.38,72.60,22.05,0.0,0.0,347,536,-888.9,4.17
124,7/8/15 08:10:00,26.72,72.90,21.48,0.0,0.0,345,404,-888.9,4.17
125,7/8/15 08:20:00,26.40,74.80,21.59,0.0,0.8,209,469,-888.9,4.17
