"#","Time, Bangladesh Time","Temp, *C","RH, %","DewPt, *C","Water Cont, m^3/m^3","PAR, uE","Rain, mm","Batt, V"
1,7/6/15 21:30:00,13.93,96.80,13.45,0.2955,1,0.0,4.32
2,7/6/15 21:40:00,13.86,96.80,13.37,0.2959,1,0.0,4.33
3,7/6/15 21:50:00,13.76,96.80,13.28,0.2952,1,0.0,4.34
4,7/6/15 22:00:00,13.83,96.30,13.27,0.2952,1,0.0,4.34
5,7/6/15 22:10:00,13.76,96.10,13.17,0.2952,1,0.0,4.34
6,7/6/15 22:20:00,13.57,96.40,13.02,0.2949,1,0.0,4.33
7,7/6/15 22:30:00,13.64,95.80,13.00,0.2949,1,0.0,4.34
8,7/6/15 22:40:00,13.47,96.10,12.88,0.2949,1,0.0,4.34
9,7/6/15 22:50:00,13.40,96.10,12.81,0.2946,1,0.0,4.34
10,7/6/15 23:00:00,13.91,95.40,13.20,0.2946,1,0.0,4.34
11,7/6/15 23:10:00,13.79,96.00,13.18,0.2946,1,0.0,4.34
12,7/6/15 23:20:00,13.55,95.90,12.92,0.2942,1,0.0,4.33
13,7/6/15 23:30:00,13.64,95.90,13.02,0.2942,1,0.0,4.34
14,7/6/15 23:40:00,13.33,96.00,12.72,0.2946,1,0.0,4.34
15,7/6/15 23:50:00,13.69,96.10,13.10,0.2938,1,0.0,4.34
16,7/7/15 00:00:00,12.92,96.20,12.34,0.2938,1,0.0,4.34
17,7/7/15 00:10:00,13.23,95.80,12.59,0.2938,1,0.0,4.34
18,7/7/15 00:20:00,13.81,95.90,13.18,0.2938,1,0.0,4.34
19,7/7/15 00:30:00,13.06,96.10,12.47,0.2938,1,0.0,4.34
20,7/7/15 00:40:00,12.99,96.00,12.38,0.2938,1,0.0,4.34
21,7/7/15 00:50:00,13.28,95.70,12.62,0.2938,1,0.0,4.36
22,7/7/15 01:00:00,13.14,95.50,12.45,0.2938,1,0.0,4.34
23,7/7/15 01:10:00,13.04,95.70,12.38,0.2938,1,0.0,4.34
24,7/7/15 01:20:00,13.23,95.70,12.58,0.2935,1,0.0,4.33
25,7/7/15 01:30:00,12.99,95.40,12.29,0.2938,1,0.0,4.34
26,7/7/15 01:40:00,12.99,95.80,12.35,0.2938,1,0.0,4.34
27,7/7/15 01:50:00,13.26,95.70,12.60,0.2935,1,0.0,4.34
28,7/7/15 02:00:00,13.16,96.20,12.58,0.2935,1,0.0,4.34
29,7/7/15 02:10:00,12.99,96.50,12.46,0.2938,1,0.0,4.34
30,7/7/15 02:20:00,13.31,96.50,12.78,0.2935,1,0.0,4.34
31,7/7/15 02:30:00,12.94,96.70,12.45,0.2935,1,0.0,4.34
32,7/7/15 02:40:00,13.02,96.70,12.52,0.2938,1,0.0,4.34
33,7/7/15 02:50:00,13.16,96.70,12.66,0.2935,1,0.0,4.34
34,7/7/15 03:00:00,13.02,95.70,12.36,0.2935,1,0.0,4.34
35,7/7/15 03:10:00,13.16,95.50,12.47,0.2935,1,0.0,4.32
36,7/7/15 03:20:00,13.23,95.60,12.56,0.2932,1,0.0,4.33
37,7/7/15 03:30:00,13.23,95.80,12.59,0.2935,1,0.0,4.34
38,7/7/15 03:40:00,12.99,96.30,12.43,0.2935,1,0.0,4.34
39,7/7/15 03:50:00,13.06,96.10,12.47,0.2932,1,0.0,4.34
40,7/7/15 04:00:00,12.87,95.40,12.17,0.2932,1,0.0,4.34
41,7/7/15 04:10:00,12.68,94.40,11.82,0.2935,1,0.0,4.33
42,7/7/15 04:20:00,13.06,94.60,12.23,0.2932,1,0.0,4.34
43,7/7/15 04:30:00,12.85,94.90,12.06,0.2932,1,0.0,4.34
44,7/7/15 04:40:00,13.06,94.40,12.20,0.2935,1,0.0,4.34
45,7/7/15 04:50:00,12.65,95.40,11.95,0.2928,1,0.0,4.34
46,7/7/15 05:00:00,12.90,95.50,12.21,0.2928,1,0.0,4.34
47,7/7/15 05:10:00,12.49,94.80,11.69,0.2932,1,0.0,4.33
48,7/7/15 05:20:00,12.75,95.60,12.08,0.2928,6,0.0,4.34
49,7/7/15 05:30:00,12.58,95.90,11.96,0.2928,16,0.0,4.34
50,7/7/15 05:40:00,13.47,96.00,12.86,0.2928,34,0.0,4.34
51,7/7/15 05:50:00,13.43,95.50,12.74,0.2925,61,0.0,4.34
52,7/7/15 06:00:00,14.03,96.00,13.41,0.2928,94,0.0,4.34
53,7/7/15 06:10:00,13.35,96.20,12.78,0.2928,144,0.0,4.33
54,7/7/15 06:20:00,13.69,95.30,12.97,0.2925,186,0.0,4.33
55,7/7/15 06:30:00,13.43,94.80,12.62,0.2925,169,0.0,4.34
56,7/7/15 06:40:00,13.64,95.00,12.87,0.2925,189,0.0,4.34
57,7/7/15 06:50:00,13.50,94.90,12.71,0.2922,231,0.0,4.34
58,7/7/15 07:00:00,13.81,94.20,12.91,0.2922,294,0.0,4.34
59,7/7/15 07:10:00,14.12,93.50,13.11,0.2925,349,0.0,4.33
60,7/7/15 07:20:00,15.22,92.10,13.97,0.2919,476,0.0,4.33
61,7/7/15 07:30:00,14.79,90.70,13.30,0.2922,526,0.0,4.34
62,7/7/15 07:40:00,14.82,90.50,13.29,0.2922,524,0.0,4.34
63,7/7/15 07:50:00,15.25,90.00,13.63,0.2919,584,0.0,4.34
64,7/7/15 08:00:00,15.60,88.90,13.80,0.2919,589,0.0,4.34
65,7/7/15 08:10:00,15.89,88.40,13.99,0.2919,571,0.0,4.33
66,7/7/15 08:20:00,15.53,87.80,13.54,0.2911,659,0.0,4.33
67,7/7/15 08:30:00,16.18,86.60,13.96,0.2911,751,0.0,4.34
68,7/7/15 08:40:00,16.46,86.00,14.13,0.2914,871,0.0,4.34
69,7/7/15 08:50:00,17.51,82.90,14.59,0.2908,1151,0.0,4.34
70,7/7/15 09:00:00,17.80,80.00,14.32,0.2908,1166,0.0,4.31
71,7/7/15 09:10:00,18.30,78.40,14.49,0.2908,1206,0.0,4.33
72,7/7/15 09:20:00,19.01,73.40,14.16,0.2901,1759,0.0,4.33
73,7/7/15 09:30:00,19.53,73.00,14.58,0.2898,1819,0.0,4.34
74,7/7/15 09:40:00,20.03,71.10,14.65,0.2898,1816,0.0,4.34
